,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
321,HAT-P-21 b,HAT-P-21,4.12448,0.0494,12.442,1547.8321,4.6,0.23,1283.0,9.65,5588.0,1.21,1.24,277.2780000,1,459.54,4.33,10.2
322,HAT-P-22 b,HAT-P-22,3.21222,0.0414,12.89,785.0401,2.14,0.02,1463.0,8.58,5302.0,1.11,1.13,81.7647000,1,325.57,4.36,12.4
323,HAT-P-23 b,HAT-P-23,1.21288,0.0232,12.218,425.8922,1.406,0.11,1951.0,4.16,5905.0,0.96,0.58,364.8130000,1,2796.38,4.33,4.0
324,HAT-P-24 b,HAT-P-24,3.35524,0.04651,14.572,238.3725,0.44,0.07,1637.0,7.61,6373.0,1.38,1.37,415.3440000,1,1047.12,4.27,2.8
325,HAT-P-25 b,HAT-P-25,3.65281514,0.0466,12.722,180.84527,0.483,0.023,1182.0,10.9,5519.0,0.92,1.01,300.3840000,1,325.0,4.52,3.2
326,HAT-P-26 b,HAT-P-26,4.23452,0.0479,7.062,22.2481,0.4,0.12,1001.0,13.09,5079.0,0.87,1.12,141.8370000,1,185.07,4.56,9.0
327,HAT-P-27 b,HAT-P-27,3.039577,0.04,11.43,197.05,0.76,0.0,1092.0,9.804,5316.0,0.86,0.92,199.1730000,1,336.04,4.53,4.4
328,HAT-P-28 b,HAT-P-28,3.257215,0.0434,13.585,198.953,0.44,0.051,1384.0,8.43,5680.0,1.1,1.03,401.3190000,1,554.71,4.36,6.1
329,HAT-P-29 b,HAT-P-29,5.72319,0.0667,13.115,279.6904,0.79,0.09,1271.0,11.74,6087.0,1.3,1.45,313.5760000,1,433.0,4.34,2.2
330,HAT-P-3 b,HAT-P-3,2.8997,0.03866,10.536,206.5895,0.855,0.0,1189.0,10.05,5185.0,0.87,1.06,134.5540000,1,176.59,4.56,1.6
331,HAT-P-30 b,HAT-P-30,2.8106,0.0419,16.141,263.7989,0.309,0.04,1630.0,7.43,6304.0,1.31,1.55,213.9850000,1,1467.96,4.36,1.0
332,HAT-P-31 b,HAT-P-31,5.00542,0.061,12.218,721.4741,2.18,0.25,1450.0,9.7,6065.0,1.39,1.31,344.0500000,1,746.9,4.26,3.17
333,HAT-P-32 b,HAT-P-32,2.1500082,0.03397,22.194,216.1244,0.108,0.159,1836.0,5.344,6001.0,1.37,1.13,289.2050000,1,1841.0,4.22,2.7
334,HAT-P-33 b,HAT-P-33,3.47447,0.04995,20.737,292.4036,0.2,0.0,1782.0,6.57,6446.0,1.79,1.82,396.1100000,1,1701.38,4.15,2.3
335,HAT-P-34 b,HAT-P-34,5.452654,0.06774,13.417,1058.3739,2.5,0.432,1520.0,9.86,6442.0,1.53,1.39,249.3250000,1,433.78,4.21,1.7
336,HAT-P-35 b,HAT-P-35,3.646706,0.04978,14.93,335.62848,0.55,0.02,1581.0,7.45,6096.0,1.44,1.24,506.9650000,1,999.67,4.21,3.5
337,HAT-P-36 b,HAT-P-36,1.32734683,0.0241,14.314,587.41341,1.175,0.063,1781.0,4.95,5620.0,1.04,1.03,294.4190000,1,1821.0,4.42,6.6
338,HAT-P-37 b,HAT-P-37,2.797436,0.0379,13.204,371.528,0.89,0.058,1271.0,9.32,5500.0,0.88,0.93,390.5940000,1,412.4,4.51,3.6
339,HAT-P-38 b,HAT-P-38,4.640382,0.0523,9.247,84.857,0.59,0.067,1082.0,12.17,5330.0,0.92,0.89,255.2060000,1,187.99,4.37,10.1
340,HAT-P-39 b,HAT-P-39,3.54387,0.0509,17.609,190.372,0.19,0.0,1752.0,6.74,6430.0,1.62,1.4,697.0040000,1,1319.04,4.07,2.0
341,HAT-P-4 b,HAT-P-4,3.056536,0.04438,14.28,213.255,0.403,0.0,1686.0,6.04,5860.0,1.62,0.56,320.4510000,1,1438.0,4.14,3.9
342,HAT-P-40 b,HAT-P-40,4.45724,0.0608,17.038,152.5584,0.15,0.0,1770.0,5.94,6080.0,1.94,1.03,464.4690000,1,1747.42,3.93,2.7
343,HAT-P-41 b,HAT-P-41,2.69405,0.04258,22.978,378.2177,0.204,0.0,1941.0,5.45,6390.0,2.05,2.56,348.1850000,1,2485.07,4.14,2.2
344,HAT-P-42 b,HAT-P-42,4.641878,0.0575,14.348,331.801,0.61,0.0,1428.0,8.08,5743.0,1.53,1.18,405.2380000,1,469.05,4.14,5.2
345,HAT-P-43 b,HAT-P-43,3.3326414,0.0444,13.63,210.395,0.39,0.21,1353.0,8.86,5693.0,1.08,1.03,528.8250000,1,524.35,4.38,5.7
346,HAT-P-44 b,HAT-P-44,4.301219,0.0507,13.922,111.871,0.23,0.044,1108.0,11.49,5295.0,0.95,0.94,347.8500000,2,185.12,4.46,7.5
347,HAT-P-44 c,HAT-P-44,872.2,1.752,13.0,1271.3,3.18,0.494,311.6025017546999,396.564331415059,5295.0,0.95,0.94,347.8500000,2,29290.077907638894,4.46,7.5
348,HAT-P-45 b,HAT-P-45,3.128992,0.0452,15.984,283.492,0.38,0.049,1652.0,7.36,6330.0,1.32,1.26,298.6400000,1,29286.41423763889,4.3,2.0
349,HAT-P-46 b,HAT-P-46,4.463129,0.0577,14.392,156.684,0.28,0.123,1458.0,8.86,6120.0,1.4,1.28,290.7360000,1,29286.41423763889,4.25,2.5
350,HAT-P-49 b,HAT-P-49,2.69155,0.04378,17.822,699.226,0.75,0.0,2131.0,5.15,6820.0,2.06,2.22,350.3510000,1,6508.84,4.1,1.5
351,HAT-P-5 b,HAT-P-5,2.78849,0.04073,13.563,311.4734,0.642,0.0,1539.0,7.53,5960.0,1.12,1.04,303.3360000,1,653.75,4.37,2.6
352,HAT-P-50 b,HAT-P-50,3.1220109,0.0453,14.437,429.0705,0.78,0.115,1862.0,5.68,6280.0,1.7,1.27,515.4580000,1,1198.68,4.07,3.37
353,HAT-P-51 b,HAT-P-51,4.2180278,0.05069,14.493,98.20947,0.178,0.123,1192.0,10.48,5449.0,1.04,0.98,440.0890000,1,311.71,4.39,8.2
354,HAT-P-52 b,HAT-P-52,2.7535953,0.03694,11.31,259.98494,0.98,0.047,1218.0,8.89,5131.0,0.89,0.89,361.1550000,1,227.76,4.48,9.4
355,HAT-P-53 b,HAT-P-53,1.9616241,0.03159,14.773,471.65972,0.8,0.134,1778.0,5.61,5956.0,1.21,1.09,666.8020000,1,1611.53,4.31,4.67
356,HAT-P-54 b,HAT-P-54,3.799847,0.04117,10.581,241.5508,1.118,0.074,818.0,14.34,4390.0,0.62,0.65,143.6510000,1,22.2,4.67,3.9
357,HAT-P-55 b,HAT-P-55,3.5852467,0.04604,13.249,184.97706,0.435,0.139,1313.0,9.79,5808.0,1.01,1.01,511.3880000,1,410.03,4.43,4.2
358,HAT-P-56 b,HAT-P-56,2.79083,0.0423,16.926,734.1873,0.75,0.29,1840.0,6.37,6566.0,1.47,1.42,320.6390000,1,3515.0,3.39,2.01
359,HAT-P-57 b,HAT-P-57,2.4653,0.0406,19.504,448.1403,0.332,0.0,2200.0,5.82,6330.0,1.85,2.77,279.8600000,1,29281.62322763889,4.25,1.0
360,HAT-P-58 b,HAT-P-58,4.0138379,0.04994,14.93,118.23217,0.194,0.073,1622.0,7.02,6078.0,1.53,1.03,515.5900000,1,1146.0,4.08,7.11
361,HAT-P-59 b,HAT-P-59,4.1419771,0.05064,12.588,489.45575,1.347,0.03,1278.0,9.87,5678.0,1.1,1.01,265.4710000,1,441.4,4.36,7.3
362,HAT-P-6 b,HAT-P-6,3.85298,0.05239,16.589,419.5356,0.558,0.0,1675.0,7.73,6570.0,1.62,1.79,275.3580000,1,1669.87,4.22,2.3
363,HAT-P-60 b,HAT-P-60,4.7947813,0.06277,18.282,182.43351,0.164,0.25,1772.0,6.146,6212.0,2.2,1.44,233.2200000,1,1634.0,3.91,2.765
364,HAT-P-61 b,HAT-P-61,1.90231289,0.0301,10.077,335.94463,1.8,0.113,1505.0,6.9,5587.0,0.94,1.0,338.8400000,1,849.5,4.5,2.6
365,HAT-P-62 b,HAT-P-62,2.6453235,0.03772,12.027,241.86742,0.77,0.101,1512.0,6.93,5629.0,1.17,1.02,348.8150000,1,867.2,4.31,8.1
366,HAT-P-63 b,HAT-P-63,3.377728,0.04294,12.543,195.14664,0.54,0.069,1237.0,9.56,5400.0,0.97,0.93,4483.0500000,1,387.4,4.43,9.0
367,HAT-P-64 b,HAT-P-64,4.007232,0.05387,19.089,184.34048,0.144,0.101,1766.0,6.67,6457.0,1.74,1.3,651.8970000,1,1611.0,4.07,2.88
368,HAT-P-65 b,HAT-P-65,2.6054552,0.03951,21.185,167.49641,0.096,0.304,1930.0,4.57,5835.0,1.86,1.21,738.5190000,1,2114.86,3.98,5.46
369,HAT-P-66 b,HAT-P-66,2.972086,0.04363,17.822,248.86089,0.242,0.09,1896.0,5.01,6002.0,1.88,1.26,935.4560000,1,1939.51,3.99,4.66
370,HAT-P-67 b,HAT-P-67,4.8101025,0.06505,23.371,108.0622,0.052,0.0,1903.0,5.691,6406.0,2.55,1.64,371.6860000,1,2884.55,3.85,1.24
371,HAT-P-68 b,HAT-P-68,2.29840551,0.02996,12.016,230.10892,0.727,0.041,1028.0,9.6,4508.0,0.67,0.68,202.1520000,1,184.8,4.62,11.1
372,HAT-P-69 b,HAT-P-69,4.7869491,0.06555,18.786,1137.8314,1.02,0.0,1930.0,7.32,7394.0,1.93,1.65,341.2630000,1,2238.59,4.11,1.27
373,HAT-P-7 b,HAT-P-7,2.20474,0.03676,16.926,584.8072,0.712,0.0,2733.0,4.13,6389.0,2.0,1.56,341.0790000,1,4353.41,4.07,2.07
374,HAT-P-70 b,HAT-P-70,2.74432452,0.04739,20.961,2154.8874,1.54,0.0,2562.0,5.45,8450.0,1.86,1.89,330.7390000,1,5626.34,4.18,0.6
375,HAT-P-8 b,HAT-P-8,3.07634,0.04496,15.693,406.8224,0.568,0.0,1700.0,6.13,6200.0,1.57,1.27,211.5530000,1,1519.96,4.15,3.4
376,HAT-P-9 b,HAT-P-9,3.92281072,0.05287,15.614,238.05467,0.342,0.084,1540.0,8.5,6350.0,1.34,1.28,455.2030000,1,931.0,4.29,1.6
377,HATS-1 b,HATS-1,3.446459,0.0444,14.594,589.55,1.03,0.12,1359.0,9.2,5870.0,1.04,0.99,283.9710000,1,489.95,4.4,6.0
378,HATS-10 b,HATS-10,3.312846,0.04491,10.862,167.17858,0.7,0.501,1407.0,8.73,5880.0,1.1,1.1,534.8890000,1,29306.735907638893,4.39,3.3
379,HATS-11 b,HATS-11,3.619188,0.0507,18.03,263.7989,0.315,0.34,1596.0,6.92,6563.0,1.54,1.33,944.6030000,1,29286.41423763889,4.19,7.7
380,HATS-12 b,HATS-12,3.142702,0.0441,7.76,759.6137,1.12,0.085,1446.0,5.2,6357.0,1.17,1.16,746.1380000,1,29306.735907638893,4.36,2.36
381,HATS-13 b,HATS-13,3.0440499,0.04057,13.585,172.58169,0.377,0.181,1244.0,9.82,5523.0,0.89,0.96,421.8550000,1,315.99,4.52,2.5
382,HATS-14 b,HATS-14,2.7667641,0.03815,11.646,340.39593,1.191,0.142,1276.0,8.8,5346.0,0.93,0.97,513.0110000,1,505.89,4.48,4.9
383,HATS-15 b,HATS-15,1.74748753,0.02712,12.386,689.6911,1.97,0.126,1505.0,6.33,5311.0,0.92,0.87,1139.5500000,1,29290.077907638894,4.45,11.0
384,HATS-16 b,HATS-16,2.686502,0.03744,14.572,1039.3041,1.86,0.0,1592.0,6.5,5738.0,1.24,0.97,757.0440000,1,994.81,4.24,9.5
385,HATS-17 b,HATS-17,16.254611,0.1308,8.709,425.25654,3.5,0.029,814.0,25.8,5846.0,1.09,1.13,400.3310000,1,72.7,4.42,2.1
386,HATS-18 b,HATS-18,0.83784,0.0174,14.897,629.14449,1.1169,0.166,2069.0,3.658,5600.0,1.02,1.04,624.3680000,1,2990.0,4.44,4.2
387,HATS-2 b,HATS-2,1.354133,0.023,13.092,427.463,1.05,0.0,1577.0,5.5,5227.0,0.9,0.88,341.9250000,1,667.12,4.48,9.7
388,HATS-22 b,HATS-22,4.7228124,0.05025,10.682,870.8542,3.89,0.079,858.0,15.7,4803.0,0.69,0.76,229.5180000,1,111.3,4.64,0.1502948216960628
389,HATS-23 b,HATS-23,2.1605156,0.03397,20.849,467.2101,0.29,0.114,1654.0,6.08,5780.0,1.2,1.12,639.0040000,1,29306.735907638893,4.33,4.2
390,HATS-24 b,HATS-24,1.3484978,0.0238,15.637,718.2958,1.03,0.0,2166.0,4.561,6125.0,1.12,1.07,494.1820000,1,2706.96,4.37,3.7
391,HATS-25 b,HATS-25,4.2986432,0.05163,14.123,194.82979,0.38,0.176,1277.0,10.03,5715.0,1.11,0.99,471.1580000,1,326.89,4.35,7.5
392,HATS-26 b,HATS-26,3.3023881,0.04735,19.616,206.5895,0.153,0.245,1918.0,5.01,6071.0,2.04,1.3,861.8430000,1,2236.58,3.94,4.04
393,HATS-27 b,HATS-27,4.637038,0.0611,16.814,168.4499,0.18,0.581,1659.0,7.55,6438.0,1.74,1.42,816.9880000,1,1342.57,4.11,2.3
394,HATS-28 b,HATS-28,3.1810781,0.04131,13.384,213.58176,0.48,0.202,1253.0,9.63,5498.0,0.92,0.93,535.3830000,1,29290.077907638894,4.48,6.2
395,HATS-29 b,HATS-29,4.6058749,0.05475,14.022,207.54299,0.411,0.158,1212.0,10.96,5670.0,1.07,1.03,353.8910000,1,29306.735907638893,4.39,5.5
396,HATS-3 b,HATS-3,3.547851,0.0485,15.48,340.382,0.51,0.0,1648.0,7.42,6351.0,1.4,1.21,411.2110000,1,1212.0,4.22,3.2
397,HATS-30 b,HATS-30,3.1743516,0.04354,13.171,224.38798,0.543,0.096,1414.0,8.82,5943.0,1.06,1.09,342.1400000,1,718.91,4.42,2.3
398,HATS-31 b,HATS-31,3.37796,0.0478,18.383,279.6904,0.243,0.233,1823.0,5.49,6050.0,1.87,1.27,773.9740000,1,29281.62322763889,4.0,4.3
399,HATS-32 b,HATS-32,2.8126548,0.04024,14.0,292.4036,0.58,0.471,1437.0,7.88,5700.0,1.1,1.1,745.1160000,1,614.59,4.4,3.5
400,HATS-33 b,HATS-33,2.5495551,0.03727,13.787,378.85336,0.79,0.08,1429.0,7.83,5659.0,1.02,1.06,248.4600000,1,757.13,4.45,3.0
401,HATS-34 b,HATS-34,2.1061607,0.03166,16.029,299.07803,0.4,0.108,1445.0,6.96,5380.0,0.98,0.96,508.8420000,1,691.84,4.44,7.7
402,HATS-35 b,HATS-35,1.8209993,0.03199,16.41,388.38826,0.484,0.306,2037.0,4.79,6300.0,1.43,1.32,514.5550000,1,2440.7,4.24,2.13
403,HATS-36 b,HATS-36,4.175186,0.0523,12.92,1022.14128,2.12,0.105,1203.0,10.32,5950.0,1.1,1.1,856.4360000,1,561.0,4.4,0.62
404,HATS-37 A b,HATS-37 A,4.3315366,0.04913,6.793,31.46517,0.55,0.0,1085.0,12.05,5326.0,0.88,0.84,211.8960000,1,229.7,4.48,11.46
405,HATS-38 b,HATS-38,4.375021,0.05036,6.882,23.51942,0.403,0.0,1294.0,9.81,5732.0,1.1,0.89,343.5250000,1,464.7,4.3,11.89
406,HATS-39 b,HATS-39,4.5776348,0.06007,17.598,200.2329,0.202,0.275,1645.0,7.97,6572.0,1.62,1.38,878.5210000,1,1547.1,4.16,2.06
407,HATS-4 b,HATS-4,2.516729,0.0362,11.433,420.471,1.55,0.013,1315.0,8.43,5403.0,0.93,1.0,416.4590000,1,558.83,4.51,2.1
408,HATS-40 b,HATS-40,3.2642736,0.04997,17.71,505.3497,0.49,0.312,2101.0,4.74,6460.0,2.26,1.56,1342.2900000,1,3163.38,3.92,2.07
409,HATS-41 b,HATS-41,4.193649,0.0583,14.908,3082.951,5.1,0.38,1710.0,7.31,6424.0,1.71,1.5,737.6680000,1,1300.31,4.14,1.34
410,HATS-42 b,HATS-42,2.292102,0.03689,15.693,597.5204,0.83,0.229,1856.0,5.36,6060.0,1.48,1.27,800.3770000,1,1637.21,4.2,3.26
411,HATS-43 b,HATS-43,4.3888497,0.04944,13.227,82.95363,0.191,0.173,1003.0,13.04,5099.0,0.81,0.84,362.2730000,1,192.23,4.54,8.6
412,HATS-44 b,HATS-44,2.7439004,0.03649,11.96,177.9848,0.56,0.279,1161.0,9.24,5080.0,0.85,0.86,446.0350000,1,306.42,4.51,9.7
413,HATS-45 b,HATS-45,4.1876244,0.05511,14.415,222.481,0.41,0.24,1518.0,9.02,6450.0,1.32,1.27,772.1100000,1,811.35,4.31,1.52
414,HATS-46 b,HATS-46,4.7423729,0.05367,10.122,54.98459,0.28,0.559,1054.0,13.55,5495.0,0.85,0.92,453.8080000,1,209.77,4.54,3.0
415,HATS-47 b,HATS-47,3.9228038,0.04269,12.52,117.27927,0.331,0.088,853.0,13.98,4512.0,0.66,0.67,300.6700000,1,87.73,4.63,8.1
416,HATS-48 A b,HATS-48 A,3.1316666,0.03769,8.967,77.23269,0.589,0.162,955.0,11.33,4546.0,0.72,0.73,263.6090000,1,137.6,4.59,11.97
417,HATS-49 b,HATS-49,4.1480467,0.04515,8.575,112.19399,0.986,0.071,835.0,13.91,4405.0,0.7,0.71,324.4130000,1,80.45,4.6,10.5
418,HATS-5 b,HATS-5,4.763387,0.0542,10.223,75.323,0.39,0.019,1025.0,13.38,5304.0,0.87,0.94,246.3840000,1,183.24,4.53,3.6
419,HATS-50 b,HATS-50,3.8297015,0.05046,12.666,123.9537,0.33,0.516,331.0546353683261,9.72,5990.0,1.12,1.17,756.7420000,1,29306.735907638893,4.41,1.2
420,HATS-51 b,HATS-51,3.3488702,0.04639,15.805,244.09344,0.34,0.33,1553.0,6.94,5758.0,1.44,1.19,389.5700000,1,740.22,4.2,4.74
421,HATS-52 b,HATS-52,1.36665436,0.02498,15.491,711.9392,1.06,0.246,1834.0,5.14,6010.0,1.05,1.11,555.1340000,1,1310.22,4.45,1.2
422,HATS-53 b,HATS-53,3.8537768,0.04753,15.02,189.10885,0.303,0.33,1312.0,9.3,5644.0,1.1,0.96,585.7700000,1,471.61,4.34,9.0
423,HATS-54 b,HATS-54,2.5441765,0.037,11.377,239.32479,0.77,0.0,1429.0,6.48,5621.0,1.23,1.05,748.5850000,1,476.97,4.2,7.96
424,HATS-55 b,HATS-55,4.2042001,0.05412,14.022,292.72143,0.587,0.092,1367.0,10.33,6214.0,1.13,1.2,609.8380000,1,355.91,4.41,0.4
425,HATS-56 b,HATS-56,4.324799,0.06043,18.921,191.33366,0.155,0.019,1902.0,5.902,6536.0,2.2,1.57,564.4090000,1,1080.87,3.95,1.894
426,HATS-57 b,HATS-57,2.350621,0.03493,12.767,1000.21101,2.65,0.028,1413.0,7.82,5587.0,0.96,1.03,279.4850000,1,570.23,4.48,2.5
427,HATS-58 A b,HATS-58 A,4.2180896,0.05798,12.274,327.3649,0.96,0.168,1721.0,8.71,7175.0,1.43,1.46,403.5910000,1,382.71,4.29,0.31
428,HATS-59 b,HATS-59,5.416081,0.06112,12.621,256.17098,0.7,0.129,1128.0,12.66,5670.0,1.04,1.04,642.8840000,2,269.0,4.42,4.3
429,HATS-59 c,HATS-59,1422.0,2.504,12.3,4036.441,11.9,0.083,176.0,518.0,5670.0,1.04,1.04,642.8840000,2,0.16,4.42,4.3
430,HATS-6 b,HATS-6,3.3252725,0.03623,11.187,101.38777,0.399,0.0,713.0,13.65,3724.0,0.57,0.57,169.3180000,1,47.33,4.68,8.1
431,HATS-60 b,HATS-60,3.560829,0.04708,12.924,210.40346,0.537,0.191,1528.0,6.93,5688.0,1.46,1.1,486.4740000,1,903.9,4.15,7.55
432,HATS-61 b,HATS-61,7.817953,0.07908,13.395,1080.622,2.47,0.092,1226.0,10.23,5542.0,1.66,1.08,679.7610000,1,374.2,4.03,8.9
433,HATS-62 b,HATS-62,3.2768837,0.04163,11.825,56.89157,0.076,0.298,1237.0,9.59,5416.0,0.93,0.9,523.0670000,1,387.4,4.45,9.55
434,HATS-63 b,HATS-63,3.0566527,0.04026,13.529,305.1168,0.67,0.136,1398.0,8.09,5627.0,1.07,0.93,623.2320000,1,634.1,4.35,10.3
435,HATS-64 b,HATS-64,4.908897,0.06562,18.82,305.1168,0.245,0.151,1793.0,6.68,6554.0,2.11,1.56,1080.1500000,1,1711.0,3.98,1.861
436,HATS-65 b,HATS-65,3.105161,0.04497,16.825,260.93843,0.3,0.062,1634.0,7.38,6277.0,1.31,1.26,493.3200000,1,1178.0,4.3,1.78
437,HATS-66 b,HATS-66,3.1414391,0.04714,15.816,1694.0339,2.34,0.064,1998.0,5.5,6626.0,1.84,1.41,1477.9800000,1,2637.0,4.06,2.17
438,HATS-67 b,HATS-67,1.6091788,0.03032,18.887,460.8535,0.374,0.057,2193.0,4.526,6594.0,1.44,1.44,960.1090000,1,3821.0,4.28,0.51
439,HATS-68 b,HATS-68,3.5862202,0.05071,13.809,410.0007,0.856,0.036,1741.0,6.232,6147.0,1.75,1.35,603.9550000,1,1521.0,4.08,3.02
440,HATS-69 b,HATS-69,2.2252577,0.03211,10.593,183.38791,0.46,0.519,1296.0,7.859,5137.0,0.88,0.89,414.5370000,1,466.6,4.5,8.0
441,HATS-7 b,HATS-7,3.185315,0.04012,6.311,38.1396,0.83,0.17,1084.0,10.59,4985.0,0.82,0.85,240.7070000,1,211.62,4.54,7.8
442,HATS-70 b,HATS-70,1.8882378,0.03632,15.513,4100.007,6.64,0.18,2730.0,4.17,7930.0,1.88,1.78,1458.8300000,1,9110.0,4.17,0.81
443,HATS-71 b,HATS-71,3.7955202,0.03745,11.478,117.5971,0.42,0.0,587.0,16.84,3405.0,0.48,0.49,140.2250000,1,18.08,4.77,3.2
444,HATS-72 b,HATS-72,7.3279474,0.066517,8.097,39.85588,0.411,0.013,739.0,19.821,4656.1,0.72,0.73,127.5890000,1,49.58,4.59,12.17
445,HATS-74 A b,HATS-74 A,1.73185606,0.02384,11.568,464.02947,1.64,0.044,895.0,8.9,3776.9,0.58,0.6,299.3890000,1,106.9,4.7,11.0
446,HATS-75 b,HATS-75,2.7886556,0.032742,9.909,156.05375,0.878,0.064,772.0,12.037,3790.4,0.58,0.6,194.9640000,1,59.26,4.68,14.9
447,HATS-76 b,HATS-76,1.9416423,0.02658,12.094,835.57088,2.58,0.062,940.0,9.12,4016.0,0.63,0.66,385.6890000,1,129.8,4.67,4.6
448,HATS-77 b,HATS-77,3.0876262,0.03607,13.058,436.69623,1.077,0.045,828.0,12.06,4071.0,0.64,0.66,436.1760000,1,78.37,4.64,12.1
449,HATS-8 b,HATS-8,3.583893,0.04667,9.785,43.86054,0.259,0.376,1324.0,9.21,5679.0,1.09,1.06,794.6370000,1,29306.735907638893,4.39,5.1
450,HATS-9 b,HATS-9,1.915291,0.0312,13.85,266.02371,0.626,0.075,1746.0,4.44,5599.0,1.56,1.1,638.7000000,1,29286.41423763889,4.1,10.8
451,HD 100546 b,HD 100546,3165.0796094172,53.0,77.342,239000.0,2.84,0.0,,6160.377047620702,10500.0,1.85,2.4,109.6770000,1,,4.33,0.005
452,HD 100655 b,HD 100655,157.57001,0.68,13.5,511.7063,1.14,0.09,313.321964869454,14.534968164422605,4891.0,10.06,2.28,137.1780000,1,31379.79532579366,2.79,1.309
453,HD 100777 b,HD 100777,383.70001,1.03,13.8,327.3649,0.684,0.36,311.6025017546999,212.96441335706183,5533.0,1.04,0.83,49.5336000,1,29306.735907638893,4.32,2.0
454,HD 10180 c,HD 10180,5.75969,0.06412,3.68,13.1,1.44,0.073,327.8934574459376,12.421489820548407,5911.0,1.11,1.06,38.9607000,6,29306.735907638893,4.39,4.3
455,HD 10180 d,HD 10180,16.357,0.12859,3.45,11.75,1.57,0.131,312.5210434213666,24.91078253313038,5911.0,1.11,1.06,38.9607000,6,29306.735907638893,4.39,4.3
456,HD 10180 e,HD 10180,49.748,0.2699,5.39,25.1,0.881,0.051,311.6025017546999,52.28571588530903,5911.0,1.11,1.06,38.9607000,6,29306.735907638893,4.39,4.3
457,HD 10180 f,HD 10180,122.744,0.4929,5.24,23.9,0.913,0.119,311.6025017546999,95.48584423812088,5911.0,1.11,1.06,38.9607000,6,29306.735907638893,4.39,4.3
458,HD 10180 g,HD 10180,604.67,1.427,4.91,21.4,0.993,0.263,311.6025017546999,276.4420769482623,5911.0,1.11,1.06,38.9607000,6,29306.735907638893,4.39,4.3
459,HD 10180 h,HD 10180,2205.0,3.381,9.4,64.4,0.426,0.095,291.9027012395284,654.9759370442009,5911.0,1.11,1.06,38.9607000,6,29306.735907638893,4.39,4.3
460,HD 101930 b,HD 101930,70.46,0.3,10.6,79.4575,0.367,0.11,311.6025017546999,75.01117291420557,5108.0,0.86,0.57,30.0274000,1,29290.077907638894,4.33,1.0
461,HD 102117 b,HD 102117,20.8133,0.15,8.47,54.0311,0.489,0.12,311.6025017546999,26.223418173258857,5655.0,1.23,1.06,39.5792000,1,29306.735907638893,4.29,10.0
462,HD 102195 b,HD 102195,4.11377,0.05,14.2,130.3103,0.25,0.0,329.3390783609703,13.11170908662943,5301.0,0.82,0.76,29.3386000,1,29290.077907638894,4.49,2.4
463,HD 102272 b,HD 102272,127.58,0.51,12.9,1570.0802,4.02,0.05,313.321964869454,10.647216970928984,4790.0,10.3,1.45,347.0970000,1,31379.79532579366,2.58,0.3474652267770929
464,HD 102329 b,HD 102329,778.09998,1.81,12.6,2593.4928,7.12,0.21,313.321964869454,39.63421308834093,4745.0,9.82,3.21,217.1070000,2,31379.79532579366,2.96,1.6
465,HD 102329 c,HD 102329,1123.0,,13.5,483.1016,1.08,0.209,,,4830.0,6.3,1.3,217.1070000,2,,3.0,1.6
466,HD 102365 b,HD 102365,122.1,0.46,4.14,16.0,1.24,0.34,311.6025017546999,104.12077194687622,5630.0,0.95,0.85,9.2894000,1,29290.077907638894,4.57,9.0
467,HD 102843 b,HD 102843,3090.942,4.074,13.1,113.9,0.278,0.11,279.75316841857875,912.5421731566915,5436.0,0.96,0.95,62.7580000,1,29290.077907638894,4.46,0.1502948216960628
468,HD 102956 b,HD 102956,6.4947,0.0807,13.8,305.1168,0.638,0.037,328.2647596411516,3.953,4985.0,4.55,1.66,121.8900000,1,31379.79532579366,3.38,2.3
469,HD 103197 b,HD 103197,47.84,0.25,5.83,28.6047,0.793,0.0,311.6025017546999,61.08864460815983,5250.0,0.88,0.8,57.1463000,1,29290.077907638894,4.45,9.1
470,HD 103720 b,HD 103720,4.5557,0.0498,14.1,197.046,0.386,0.086,326.0014738600791,14.669308281139706,5017.0,0.73,0.79,45.5352000,1,29292.144907638893,4.43,3.8
471,HD 103774 b,HD 103774,5.8881,0.07,13.3,116.0,0.271,0.09,328.69967056069174,9.526735462943408,6489.0,1.58,1.33,56.4089000,1,29286.41423763889,4.26,1.05
472,HD 103891 b,HD 103891,1919.0,3.27,13.6,457.67291,1.0,0.31,295.34640947351625,316.7363670710644,6072.0,2.22,1.28,55.5213000,1,29312.75580746032,3.79,3.68
473,HD 103949 b,HD 103949,120.878,0.439,3.35,11.2,1.64,0.19,310.6314158961141,125.86541432012964,4792.0,0.75,0.77,26.4997000,1,29292.144907638893,4.59,0.1502948216960628
474,HD 104067 b,HD 104067,55.806,0.26,8.18,50.8528,0.511,0.0,310.6314158961141,75.55179398025389,4937.0,0.74,0.62,20.3632000,1,29292.144907638893,4.49,4.33
475,HD 10442 b,HD 10442,1032.3,2.01,13.6,472.61321,1.03,0.132,312.408714869454,219.39816158967128,4912.0,1.97,1.01,135.3740000,1,29192.212877638893,3.19,10.65
