,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
3852,Kepler-283 c,Kepler-283,92.743711,0.341,1.82,3.97,3.62,0.0,240.0,132.45,4351.0,0.57,0.6,468.0940000,2,0.95,4.72,3.09
3853,Kepler-283 b,Kepler-283,11.008151,0.082,2.13,5.18,2.95,0.0,488.0,43.185,4351.0,0.57,0.6,468.0940000,2,16.26,4.72,3.09
3854,Kepler-282 e,Kepler-282,44.347,0.2269,3.1,56.2,10.4,0.0,484.0,54.15,5699.0,0.89,0.97,1337.6100000,4,24.11,4.53,0.4
3855,Kepler-282 d,Kepler-282,24.806,0.154,2.46,61.0,22.5,0.0,588.0,31.527,5699.0,0.89,0.97,1337.6100000,4,52.35,4.53,0.4
3856,Kepler-282 c,Kepler-282,13.638723,0.106,1.2,1.87,5.95,0.0,717.0,19.33,5602.0,0.9,0.79,1337.6100000,4,116.12,4.46,0.4
3857,Kepler-282 b,Kepler-282,9.220524,0.082,1.01,1.01,5.39,0.0,817.0,14.511,5602.0,0.9,0.79,1337.6100000,4,195.94,4.46,0.4
3858,Kepler-281 d,Kepler-281,148.2720032,0.5456,5.937,29.5,0.774,0.0,321.0,74.0,5717.0,0.88,0.98,1745.4500000,3,2.51,4.54,0.6
3859,Kepler-281 c,Kepler-281,36.337373,0.215,5.31,24.4,0.896,0.0,513.0,29.0,5723.0,0.9,0.95,1745.4500000,3,35.2,4.53,0.6
3860,Kepler-281 b,Kepler-281,14.646008,0.117,2.82,8.35,2.05,0.0,694.0,15.8,5723.0,0.9,0.95,1745.4500000,3,118.25,4.53,0.6
3861,Kepler-280 c,Kepler-280,4.807091,0.056,2.01,4.7,3.18,0.0,1088.0,13.5,5744.0,0.89,0.96,780.3610000,2,279.08,4.54,4.27
3862,Kepler-280 b,Kepler-280,2.139542,0.032,1.45,2.7,4.87,0.0,1425.0,8.089,5744.0,0.89,0.96,780.3610000,2,821.89,4.54,4.27
3863,Kepler-28 c,Kepler-28,8.9858,0.081,3.4,432.23,34.87844932952278,0.0,509.0,24.64,4590.0,0.7,0.75,438.3590000,2,35.9,4.29,2.24
3864,Kepler-28 b,Kepler-28,5.9123,0.062,3.6,479.9,34.78145967266004,0.0,585.0,19.7,4590.0,0.7,0.75,438.3590000,2,62.58,4.29,2.24
3865,Kepler-279 d,Kepler-279,54.414,0.2901,3.1,37.5,0.3,0.0,574.0,24.99,6689.45,1.07,1.1,1037.4000000,3,35.74,4.42,0.22
3866,Kepler-279 c,Kepler-279,35.736,0.2236,4.3,49.4,0.3,0.0,774.0,18.88,6689.45,1.07,1.1,1037.4000000,3,60.16,4.42,0.22
3867,Kepler-279 b,Kepler-279,12.309681,0.112,3.62,12.8,1.48,0.0,1104.0,9.279,6363.0,1.75,1.16,1037.4000000,3,249.02,4.05,0.22
3868,Kepler-278 c,Kepler-278,51.078775,0.294,3.59,12.6,1.5,0.51,702.0,25.0,4991.0,2.94,1.08,443.0300000,2,49.15,3.62,7.76
3869,Kepler-278 b,Kepler-278,30.160546,0.207,4.07,15.6,1.27,0.04,836.0,17.6,4991.0,2.94,1.08,443.0300000,2,99.27,3.62,7.76
3870,Kepler-277 c,Kepler-277,33.006,0.2129,3.36,64.2,9.3,0.0,778.0,11.7,5946.0,1.69,1.12,976.6430000,2,83.9,4.03,5.0
3871,Kepler-277 b,Kepler-277,17.324,0.1385,2.92,87.3,19.3,0.0,964.0,7.59,5946.0,1.69,1.12,976.6430000,2,198.25,4.03,5.0
3872,Kepler-276 d,Kepler-276,48.648,0.2642,2.8,16.3,4.08,0.0,489.0,22.0,5779.0,1.03,1.1,1144.8600000,3,11.27,4.46,0.4
3873,Kepler-276 c,Kepler-276,31.884,0.1994,2.9,16.6,3.74,0.0,563.0,17.44,5779.0,1.03,1.1,1144.8600000,3,19.79,4.46,0.4
3874,Kepler-276 b,Kepler-276,14.12841,0.119,2.87,8.6,2.0,0.0,739.0,30.06,6105.0,1.05,1.04,1144.8600000,3,58.59,4.45,0.4
3875,Kepler-275 d,Kepler-275,35.676062,0.224,3.33,11.1,1.65,0.0,671.0,32.5,6165.0,1.38,1.16,2034.2500000,3,59.44,4.23,0.31
3876,Kepler-275 c,Kepler-275,16.088134,0.132,3.38,11.4,1.62,0.0,875.0,22.02,6165.0,1.38,1.16,2034.2500000,3,171.82,4.23,0.31
3877,Kepler-275 b,Kepler-275,10.300682,0.098,2.34,6.08,2.61,0.0,1015.0,16.36,6165.0,1.38,1.16,2034.2500000,3,311.76,4.23,0.31
3878,Kepler-274 c,Kepler-274,33.197861,0.204,1.84,4.04,3.56,0.0,678.0,57.14,6023.0,1.01,1.08,1333.6200000,2,36.52,4.44,3.63
3879,Kepler-274 b,Kepler-274,11.634788,0.101,1.54,2.99,4.5,0.0,961.0,16.5,6023.0,1.01,1.08,1333.6200000,2,147.81,4.44,3.63
3880,Kepler-273 c,Kepler-273,8.014927,0.073,1.98,4.58,3.24,0.0,865.0,16.02,5626.0,0.81,0.94,713.9640000,2,74.89,4.51,5.1
3881,Kepler-273 b,Kepler-273,2.936532,0.037,1.5,2.86,4.66,0.0,1209.0,12.82,5626.0,0.81,0.94,713.9640000,2,285.64,4.51,5.1
3882,Kepler-272 d,Kepler-272,10.937304,0.091,2.25,5.69,2.74,0.0,777.0,15.3,5297.0,0.93,0.86,889.6080000,3,141.13,4.43,4.9
3883,Kepler-272 c,Kepler-272,6.057342,0.061,1.79,97.8,93.7,0.0,947.0,12.626,5297.0,0.93,0.86,889.6080000,3,310.76,4.43,4.9
3884,Kepler-272 b,Kepler-272,2.971353,0.038,1.43,78.0,147.0,0.0,1200.0,8.41,5297.0,0.93,0.86,889.6080000,3,801.74,4.43,4.9
3885,Kepler-271 d,Kepler-271,5.24972541,0.0558,0.66,0.219,4.19,0.0,954.0,14.41,5555.0,0.87,0.9,404.5420000,3,189.34,4.52,4.57
3886,Kepler-271 c,Kepler-271,7.41086267,0.0702,0.95,0.809,5.18,0.0,850.0,17.6,5555.0,0.87,0.9,404.5420000,3,119.63,4.52,4.57
3887,Kepler-271 b,Kepler-271,10.43547805,0.0881,1.23,2.04,6.02,0.0,759.0,23.3,5555.0,0.87,0.9,404.5420000,3,75.96,4.52,4.57
3888,Kepler-270 c,Kepler-270,25.262887,0.18,1.77,3.78,3.75,0.0,756.0,20.0,6067.0,1.46,1.17,948.7810000,2,62.24,4.2,2.73
3889,Kepler-270 b,Kepler-270,11.476094,0.107,2.01,4.7,3.18,0.0,984.0,11.8,6067.0,1.46,1.17,948.7810000,2,178.36,4.2,2.73
3890,Kepler-27 d,Kepler-27,6.54628992,0.0668,2.706,7.78,2.16,0.0,810.0,10.9,5251.0,0.82,0.93,1044.3600000,3,115.56,4.58,1.9
3891,Kepler-27 c,Kepler-27,31.3309,0.191,4.9,4385.87,34.78145967266004,0.0,481.0,30.8,5400.0,0.59,0.65,1044.3600000,3,11.07,5.4,1.62
3892,Kepler-27 b,Kepler-27,15.3348,0.118,4.0,2895.31,34.78145967266004,0.0,610.0,34.23,5400.0,0.59,0.65,1044.3600000,3,28.68,5.4,1.62
3893,Kepler-269 c,Kepler-269,8.127899,0.081,1.69,3.5,3.98,0.0,875.0,7.12,5847.0,0.96,0.92,2257.3200000,2,416.58,4.5,4.57
3894,Kepler-269 b,Kepler-269,5.326718,0.061,2.47,6.66,2.43,0.0,1007.0,5.37,5847.0,0.96,0.92,2257.3200000,2,730.77,4.5,4.57
3895,Kepler-268 c,Kepler-268,83.446393,0.391,3.38,11.4,1.62,0.0,471.0,99.761,6081.0,1.27,1.13,851.8700000,2,13.66,4.29,1.71
3896,Kepler-268 b,Kepler-268,25.934138,0.18,2.55,7.04,2.33,0.0,695.0,14.5,6081.0,1.27,1.13,851.8700000,2,64.93,4.29,1.71
3897,Kepler-267 d,Kepler-267,28.464515,0.154,2.27,5.77,2.71,0.0,301.0,84.56,4258.0,0.56,0.54,264.9930000,3,2.65,4.73,3.31
3898,Kepler-267 c,Kepler-267,6.87745,0.06,2.13,5.18,2.95,0.0,484.0,22.0,4258.0,0.56,0.54,264.9930000,3,17.58,4.73,3.31
3899,Kepler-267 b,Kepler-267,3.353728,0.037,1.98,37.9,26.8,0.0,615.0,18.114,4258.0,0.56,0.54,264.9930000,3,45.84,4.73,3.31
3900,Kepler-266 c,Kepler-266,107.723601,0.457,3.89,14.4,1.34,0.0,421.0,105.77,5885.0,1.03,0.95,1370.7900000,2,5.59,4.45,4.79
3901,Kepler-266 b,Kepler-266,6.61833,0.071,2.48,6.71,2.42,0.0,1066.0,14.024,5885.0,1.03,0.95,1370.7900000,2,230.4,4.45,4.79
3902,Kepler-265 e,Kepler-265,67.831024,0.319,2.59,7.22,2.28,0.0,476.0,71.85,5835.0,1.1,0.98,1280.2500000,4,10.35,4.33,0.28
3903,Kepler-265 d,Kepler-265,43.130617,0.236,2.49,6.76,2.41,0.0,554.0,51.0,5835.0,1.1,0.98,1280.2500000,4,18.94,4.33,0.28
3904,Kepler-265 c,Kepler-265,17.028937,0.127,2.63,7.41,2.24,0.0,755.0,28.39,5835.0,1.1,0.98,1280.2500000,4,65.36,4.33,0.28
3905,Kepler-265 b,Kepler-265,6.846262,0.069,1.86,4.12,3.52,0.0,1022.0,15.0,5835.0,1.1,0.98,1280.2500000,4,220.33,4.33,0.28
3906,Kepler-264 c,Kepler-264,140.101261,0.566,2.83,8.4,2.04,0.0,511.0,58.7,6158.0,1.55,1.46,942.1730000,2,15.35,4.15,2.57
3907,Kepler-264 b,Kepler-264,40.806231,0.249,3.33,11.1,1.65,0.0,772.0,24.123,6158.0,1.55,1.46,942.1730000,2,79.48,4.15,2.57
3908,Kepler-263 c,Kepler-263,47.332773,0.242,2.47,6.66,2.43,0.0,386.0,129.8,5265.0,0.79,0.8,754.7470000,2,5.99,4.58,7.9
3909,Kepler-263 b,Kepler-263,16.568087,0.12,2.67,7.61,2.2,0.0,548.0,30.26,5265.0,0.79,0.8,754.7470000,2,24.31,4.58,7.9
3910,Kepler-262 c,Kepler-262,21.853722,0.152,1.64,3.33,4.15,0.0,618.0,50.83,5841.0,0.88,0.99,613.1290000,2,25.26,4.54,3.55
3911,Kepler-262 b,Kepler-262,13.060855,0.108,1.36,2.42,5.29,0.0,734.0,23.81,5841.0,0.88,0.99,613.1290000,2,50.17,4.54,3.55
3912,Kepler-261 c,Kepler-261,24.570858,0.156,2.0,4.66,3.2,0.0,505.0,51.4,5098.0,0.79,0.88,317.4990000,2,14.51,4.56,3.98
3913,Kepler-261 b,Kepler-261,10.381227,0.088,2.18,5.39,2.86,0.0,672.0,28.9,5098.0,0.79,0.88,317.4990000,2,45.78,4.56,3.98
3914,Kepler-260 c,Kepler-260,76.050178,0.332,1.74,3.68,3.84,0.0,372.0,82.69,5250.0,0.86,0.92,627.3650000,2,6.78,4.49,4.47
3915,Kepler-260 b,Kepler-260,8.187399,0.075,2.01,4.7,3.18,0.0,782.0,16.11,5250.0,0.86,0.92,627.3650000,2,132.13,4.49,4.47
3916,Kepler-26 e,Kepler-26,46.827915,0.22,2.41,6.39,2.51,0.0,276.0,75.0,4486.0,0.57,0.62,335.3070000,4,1.75,4.73,2.95
3917,Kepler-26 d,Kepler-26,3.543919,0.039,1.07,1.24,5.56,0.0,652.0,14.476,4486.0,0.57,0.62,335.3070000,4,31.79,4.73,2.95
3918,Kepler-26 c,Kepler-26,17.2559,0.10725,2.72,6.2,1.61,0.0,385.0,38.5,3914.0,0.51,0.54,335.3070000,4,4.82,4.68,2.95
3919,Kepler-26 b,Kepler-26,12.28,0.08551,2.78,5.12,1.26,0.0,431.0,36.27,3914.0,0.51,0.54,335.3070000,4,7.6,4.68,2.95
