,planet_density,planet_radius,planet_mass
486,10.1,12.4,3496.0
487,5.02,12.8,1914.58848
488,0.415,9.6,66.741
489,1.05,4.7,19.89606
490,0.352,10.9,82.95
491,4.23,1.615,3.24
492,3.06,2.071,4.94
493,2.34,2.539,6.98
494,1.82,3.083,9.71
495,3.16,2.017,4.72
496,2.72,13.1,1112.4
497,1.79,13.3,767.24162
498,0.986,13.6,451.3186
499,0.658,13.8,314.64
500,0.559,13.9,273.3338
501,1.18,4.31,17.162
502,0.907,5.27,24.154
503,2.27,13.2,950.30694
504,0.345,11.1,85.8141
505,0.269,14.3,143.02278
506,1.98,2.888,8.69
507,2.28,2.59,7.22
508,20.9,12.1,6725.39378
509,10.2,12.4,3524.59
510,1.73,3.2,10.3
511,2.9,2.05,4.55
512,1.71,3.23,10.5
513,28.2,11.9,8644.78715
514,6.67,12.6,2428.48595
515,7.22,12.6,2626.8024
516,18.9,12.1,6085.555
517,3.58,12.9,1398.452
518,3.67,12.9,1433.4133
519,4.07,12.9,1589.15
520,2.52,13.1,1032.00909
521,19.4,12.1,6268.96682
522,0.518,13.9,253.39075
523,0.273,13.2,114.41
524,0.618,13.8,295.57
525,5.37,12.7,2002.329
526,9.92,11.209,2542.62726
527,0.774,13.7,362.3262
528,0.277,13.1,113.46531
529,0.537,13.9,262.20975
530,0.747,13.7,349.6
531,0.381,14.1,194.19413
532,7.28,12.6,2649.58135
533,4.5,12.8,1716.82279
534,0.271,13.3,115.84733
535,6.72,12.6,2446.83592
536,0.764,6.0,30.03873
537,9.28,12.5,3299.58202
538,7.24,12.6,2634.79749
539,0.972,13.6,444.962
540,0.863,13.7,403.6441
541,1.4,13.4,612.14058
542,4.69,12.8,1789.3829
543,0.479,8.59,55.30242
544,2.15,13.138,886.7457
545,0.388,14.1,198.0
546,0.882,5.38,25.0
547,5.58,12.7,2080.0
548,6.7,12.6,2439.44256
549,1.05,13.6,479.9233
550,1.73,3.2,10.33369
551,8.92,12.5,3171.50491
552,0.389,10.1,72.85079
553,0.477,14.0,238.37131
554,2.26,13.2,947.1334
555,10.1,12.4,3514.14627
556,29.9,11.9,9165.5058
557,2.53,2.4,6.3566
558,2.26,13.2,944.27564
559,1.29,4.01,15.17685
560,6.46,12.6,2352.38976
561,1.42,13.4,622.9468
562,0.379,10.3,75.32571
563,1.8,13.3,772.3269
564,1.32,13.4,575.884
565,0.262,13.6,119.96298
566,0.842,5.58,26.61699
567,1.26,13.5,562.24127
568,3.01,13.0,1204.25787
569,0.579,13.9,282.8687
570,1.14,13.5,508.507
571,0.781,13.7,365.49
572,1.31,13.4,572.094
573,2.57,13.1,1052.0173
574,10.0,12.4,3480.2385
575,4.48,12.8,1709.9254
576,1.03,13.6,473.547
577,0.986,13.6,451.3186
578,0.251,14.3,133.4886
579,1.86,13.3,794.575
580,1.76,3.16,10.1
581,0.78,5.91,29.29
582,1.14,13.5,511.7063
583,0.532,13.9,260.0
584,4.93,12.8,1880.61597
585,12.3,12.3,4174.7703
586,5.623888,1.664,4.72
587,2.497668,2.916,11.24
588,2.878108,2.562,8.82
589,1.59,13.3,680.1562
590,0.546,13.9,266.97586
591,0.509,8.21,51.25631
592,0.431,9.32,63.566
593,10.49,1.31,4.04
594,6.69,12.6,2434.5656
595,1.64,3.35,11.2
596,1.78,3.13,9.96
597,0.562,13.9,274.91
598,4.27,12.8,1630.4
599,1.63,13.3,699.226
600,19.6,12.1,6315.52561
601,0.477,11.5,131.89945
602,15.1,12.2,5001.77608
603,1.33,3.93,14.64775
604,4.42,12.8,1685.33019
605,1.4,3.77,13.63484
606,0.269,14.3,143.34133
607,0.923,13.6,422.7139
608,0.801,13.7,375.0394
609,0.411,14.1,209.7678
610,8.66,12.5,3079.7727
611,0.356,10.8,81.62789
612,0.845,13.7,395.51812
613,10.1,12.4,3521.33769
614,3.61,12.9,1411.1652
615,2.39,13.1,975.7381
616,1.19,13.5,530.7761
617,0.822,13.7,384.5743
618,2.74,13.1,1122.57556
619,1.03,4.78,20.42286
620,5.01,12.8,1913.3366
621,1.66,13.3,708.7609
622,4.05,12.9,1582.94652
623,1.78,13.3,762.59821
624,2.5,2.42,6.44
625,2.77,2.23,5.59
626,1.54,13.4,674.0
627,5.58,12.7,2080.0
628,0.796,5.82,28.55
629,0.823,13.7,385.0
630,0.761,13.7,356.28743
631,4.28,12.8,1633.6462
632,1.71,13.3,731.009
633,0.553,13.9,270.144
634,0.835,13.7,390.9309
635,4.3,12.8,1640.0028
636,0.903,13.6,413.179
637,0.75,8.295,120.7754
638,0.923,13.6,422.7139
639,11.2,12.4,3878.07724
640,1.78,13.3,762.78818
641,2.09,13.2,874.0325
642,2.06,13.2,861.28
643,0.648,6.81,37.24604
644,4.28,12.8,1634.10971
645,2.02,13.2,845.74563
646,1.36,13.4,594.02427
647,1.58,3.41,11.56
648,0.82,5.83,27.5
649,9.3,1.64,7.51
650,3.23,2.39,8.11
651,1.04,4.73,20.05856
652,1.17,4.33,17.30766
653,28.3,11.9,8680.48112
654,2.24,13.2,937.5985
655,2.44,2.46,6.6
656,0.533,13.9,260.6206
657,4.47,12.8,1706.7471
658,1.82,13.3,778.6835
659,1.96,13.2,819.97
660,0.477,14.0,238.37131
661,1.97,13.2,826.358
662,0.658,13.8,314.6517
663,0.534,13.9,261.0
664,2.22,2.65,7.50192
665,4.85,12.8,1849.85628
666,1.18,4.31,17.14419
667,4.35,12.8,1661.50392
