,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
335,5.452654,0.06774,13.417,1058.3739,2.5,0.432,1520.0,9.86,6442.0,1.53,1.39,0.22,249.325,1.0,433.78,4.21,1.7
336,3.646706,0.04978,14.93,335.62848,0.55,0.02,1581.0,7.45,6096.0,1.44,1.24,0.11,506.965,1.0,999.67,4.21,3.5
337,1.32734683,0.0241,14.314,587.41341,1.175,0.063,1781.0,4.95,5620.0,1.04,1.03,0.25,294.419,1.0,1821.0,4.42,6.6
338,2.797436,0.0379,13.204,371.528,0.89,0.058,1271.0,9.32,5500.0,0.88,0.93,0.03,390.594,1.0,412.4,4.51,3.6
339,4.640382,0.0523,9.247,84.857,0.59,0.067,1082.0,12.17,5330.0,0.92,0.89,0.06,255.206,1.0,187.99,4.37,10.1
340,3.54387,0.0509,17.609,190.372,0.19,0.0,1752.0,6.74,6430.0,1.62,1.4,0.19,697.004,1.0,1319.04,4.07,2.0
341,3.056536,0.04438,14.28,213.255,0.403,0.0,1686.0,6.04,5860.0,1.62,0.56,0.24,320.451,1.0,1438.0,4.14,3.9
342,4.45724,0.0608,17.038,152.5584,0.15,0.0,1770.0,5.94,6080.0,1.94,1.03,0.22,464.469,1.0,1747.42,3.93,2.7
343,2.69405,0.04258,22.978,378.2177,0.204,0.0,1941.0,5.45,6390.0,2.05,2.56,0.21,348.185,1.0,2485.07,4.14,2.2
344,4.641878,0.0575,14.348,331.801,0.61,0.0,1428.0,8.08,5743.0,1.53,1.18,0.27,405.238,1.0,469.05,4.14,5.2
345,3.3326414,0.0444,13.63,210.395,0.39,0.21,1353.0,8.86,5693.0,1.08,1.03,0.2,528.825,1.0,524.35,4.38,5.7
346,4.301219,0.0507,13.922,111.871,0.23,0.044,1108.0,11.49,5295.0,0.95,0.94,0.33,347.85,2.0,185.12,4.46,7.5
350,2.69155,0.04378,17.822,699.226,0.75,0.0,2131.0,5.15,6820.0,2.06,2.22,0.07,350.351,1.0,6508.84,4.1,1.5
351,2.78849,0.04073,13.563,311.4734,0.642,0.0,1539.0,7.53,5960.0,1.12,1.04,0.24,303.336,1.0,653.75,4.37,2.6
352,3.1220109,0.0453,14.437,429.0705,0.78,0.115,1862.0,5.68,6280.0,1.7,1.27,-0.18,515.458,1.0,1198.68,4.07,3.37
353,4.2180278,0.05069,14.493,98.20947,0.178,0.123,1192.0,10.48,5449.0,1.04,0.98,0.27,440.089,1.0,311.71,4.39,8.2
354,2.7535953,0.03694,11.31,259.98494,0.98,0.047,1218.0,8.89,5131.0,0.89,0.89,0.28,361.155,1.0,227.76,4.48,9.4
355,1.9616241,0.03159,14.773,471.65972,0.8,0.134,1778.0,5.61,5956.0,1.21,1.09,0.0,666.802,1.0,1611.53,4.31,4.67
356,3.799847,0.04117,10.581,241.5508,1.118,0.074,818.0,14.34,4390.0,0.62,0.65,-0.127,143.651,1.0,22.2,4.67,3.9
357,3.5852467,0.04604,13.249,184.97706,0.435,0.139,1313.0,9.79,5808.0,1.01,1.01,-0.03,511.388,1.0,410.03,4.43,4.2
358,2.79083,0.0423,16.926,734.1873,0.75,0.29,1840.0,6.37,6566.0,1.47,1.42,0.0,320.639,1.0,3515.0,3.39,2.01
360,4.0138379,0.04994,14.93,118.23217,0.194,0.073,1622.0,7.02,6078.0,1.53,1.03,-0.224,515.59,1.0,1146.0,4.08,7.11
361,4.1419771,0.05064,12.588,489.45575,1.347,0.03,1278.0,9.87,5678.0,1.1,1.01,0.217,265.471,1.0,441.4,4.36,7.3
362,3.85298,0.05239,16.589,419.5356,0.558,0.0,1675.0,7.73,6570.0,1.62,1.79,-0.13,275.358,1.0,1669.87,4.22,2.3
363,4.7947813,0.06277,18.282,182.43351,0.164,0.25,1772.0,6.146,6212.0,2.2,1.44,0.037,233.22,1.0,1634.0,3.91,2.765
364,1.90231289,0.0301,10.077,335.94463,1.8,0.113,1505.0,6.9,5587.0,0.94,1.0,0.194,338.84,1.0,849.5,4.5,2.6
365,2.6453235,0.03772,12.027,241.86742,0.77,0.101,1512.0,6.93,5629.0,1.17,1.02,0.414,348.815,1.0,867.2,4.31,8.1
366,3.377728,0.04294,12.543,195.14664,0.54,0.069,1237.0,9.56,5400.0,0.97,0.93,0.251,4483.05,1.0,387.4,4.43,9.0
367,4.007232,0.05387,19.089,184.34048,0.144,0.101,1766.0,6.67,6457.0,1.74,1.3,-0.113,651.897,1.0,1611.0,4.07,2.88
368,2.6054552,0.03951,21.185,167.49641,0.096,0.304,1930.0,4.57,5835.0,1.86,1.21,0.1,738.519,1.0,2114.86,3.98,5.46
