,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
3807,2.927128,0.04,1.32,2.3,5.5,0.0,1258.0,8.902,5617.0,1.03,0.95,-0.01,1052.24,4.0,622.07,4.39,0.4
3808,77.473633,0.305,2.5,6.8,2.39,0.0,277.0,95.0,4465.0,0.58,0.66,-0.21,518.204,3.0,1.72,4.71,2.4
3809,22.92881,0.136,1.93,4.38,3.35,0.0,416.0,42.0,4465.0,0.58,0.66,-0.21,518.204,3.0,8.7,4.71,2.4
3810,10.475464,0.08,1.96,4.5,3.28,0.0,540.0,34.09,4465.0,0.58,0.66,-0.21,518.204,3.0,24.71,4.71,2.4
3811,74.920137,0.336,6.54,42.1,0.827,0.0,409.0,78.2,5619.0,0.92,0.98,-0.1,692.14,2.0,6.86,4.47,1.9
3812,38.871826,0.217,2.87,48.5,11.3,0.0,509.0,50.414,5619.0,0.92,0.98,-0.1,692.14,2.0,16.46,4.47,1.9
3813,63.33627,0.255,1.8,3.89,3.2,0.33,274.0,115.1,3740.0,0.48,0.5,-0.08,167.0,5.0,0.62,4.77,4.2
3814,34.14211,0.169,1.53,2.96,4.1,0.33,337.0,76.2,3740.0,0.48,0.5,-0.08,167.0,5.0,1.41,4.77,4.2
3815,19.850291,0.118,2.09,5.02,1.9,0.33,403.0,53.1,3740.0,0.48,0.5,-0.08,167.0,5.0,2.9,4.77,13.9
3816,5.8416366,0.0521,2.0,4.66,1.2,0.33,606.0,23.5,3740.0,0.48,0.5,-0.08,167.0,5.0,14.8,4.77,13.9
3817,10.864384,0.079,1.61,3.22,3.0,0.33,495.0,35.5,3740.0,0.48,0.5,-0.08,167.0,5.0,6.5,4.77,13.9
3818,33.884054,0.192,1.36,2.42,5.29,0.0,533.0,14.7,5603.0,0.9,0.89,-0.01,1699.19,3.0,104.96,4.44,8.8
3819,21.526258,0.142,1.17,1.71,5.87,0.0,621.0,19.86,5603.0,0.9,0.89,-0.01,1699.19,3.0,192.14,4.44,8.8
3820,12.645164,0.099,1.22,1.98,5.99,0.0,741.0,4.41,5603.0,0.9,0.89,-0.01,1699.19,3.0,391.01,4.44,8.8
3821,6.6264,0.071,2.71,7.8,2.15,0.0,895.0,16.27,5913.0,0.98,0.95,0.16,1357.01,2.0,151.49,4.49,0.6
3822,3.701212,0.048,1.77,3.78,3.75,0.0,1087.0,11.634,5913.0,0.98,0.95,0.16,1357.01,2.0,329.8,4.49,0.6
3823,54.155743,0.286,3.83,14.0,1.37,0.0,466.0,43.5,5804.0,0.96,0.94,0.04,974.633,2.0,7.29,4.5,0.5
3824,19.254196,0.144,3.07,9.64,1.83,0.0,657.0,32.87,5804.0,0.96,0.94,0.04,974.633,2.0,28.94,4.5,0.5
3825,20.834237,0.141,2.35,6.12,2.59,0.0,563.0,18.3,5299.0,0.83,0.85,-0.07,1056.48,5.0,24.32,4.54,5.13
3826,11.97901,0.097,2.67,7.61,2.2,0.0,678.0,24.92,5299.0,0.83,0.85,-0.07,1056.48,5.0,50.92,4.54,5.13
3827,7.055679,0.068,2.23,5.6,2.77,0.0,808.0,17.53,5299.0,0.83,0.85,-0.07,1056.48,5.0,103.0,4.54,5.13
3828,3.715335,0.045,1.47,2.76,4.77,0.0,1001.0,5.8,5299.0,0.83,0.85,-0.07,1056.48,5.0,242.42,4.54,5.13
3829,2.580827,0.035,1.32,2.3,5.5,0.0,1130.0,4.5,5299.0,0.83,0.85,-0.07,1056.48,5.0,394.3,4.54,5.13
3830,5.700786,0.065,1.88,4.19,3.47,0.0,1035.0,27.02,6002.0,1.02,0.9,-0.11,1786.48,2.0,332.74,4.47,0.3
3831,3.546511,0.047,2.16,5.31,2.9,0.0,1212.0,11.91,6002.0,1.02,0.9,-0.11,1786.48,2.0,627.37,4.47,0.3
3832,36.77031,0.205,2.7,7.75,2.16,0.0,437.0,33.9,5147.0,0.74,0.8,-0.06,694.627,2.0,6.6,4.62,1.1
3833,14.589347,0.11,2.25,5.69,2.74,0.0,594.0,47.44,5147.0,0.74,0.8,-0.06,694.627,2.0,22.64,4.62,1.1
3834,13.28613,0.1087,2.34,4.5,1.91,0.0,715.0,31.83,5378.0,0.73,0.76,-0.44,832.532,2.0,34.4,4.6,0.3
3835,10.33974,0.0919,2.55,5.0,1.65,0.0,777.0,24.95,5378.0,0.73,0.76,-0.44,832.532,2.0,55.9,4.6,0.3
3837,125.8518,0.51,11.59,132.0,0.47,0.0,394.0,108.6,5990.0,1.0,1.08,0.05,704.438,3.0,4.88,4.47,0.65
3838,34.545,0.21,2.15,7.3,4.1,0.0,607.0,45.9,5990.0,1.0,1.08,0.05,704.438,3.0,27.37,4.47,0.65
3839,56.633742,0.287,2.67,7.61,2.2,0.0,570.0,20.5,5918.0,1.09,1.03,0.16,1194.15,3.0,12.66,4.35,3.72
3840,19.305772,0.14,2.85,8.5,2.02,0.0,815.0,35.21,5918.0,1.09,1.03,0.16,1194.15,3.0,53.15,4.35,3.72
3841,6.097326,0.065,1.67,3.43,4.05,0.0,1197.0,13.768,5918.0,1.09,1.03,0.16,1194.15,3.0,247.3,4.35,3.72
3842,44.851896,0.246,3.26,10.7,1.7,0.0,513.0,43.3,5806.0,1.03,0.97,0.117,835.86,2.0,12.46,4.4,7.6
3843,20.342199,0.145,2.33,6.04,2.62,0.0,667.0,38.0,5806.0,1.03,0.97,0.117,835.86,2.0,35.75,4.4,7.6
3844,29.221289,0.176,1.77,3.78,3.75,0.0,539.0,58.14,5580.0,0.86,0.96,-0.12,1226.85,4.0,22.4,4.5,2.75
3845,5.914323,0.061,1.33,2.33,5.44,0.0,919.0,17.223,5580.0,0.86,0.96,-0.12,1226.85,4.0,188.48,4.5,2.75
3846,3.468095,0.042,1.37,2.45,5.24,0.0,1098.0,11.29,5580.0,0.86,0.96,-0.12,1226.85,4.0,384.29,4.5,2.75
3847,1.796302,0.027,1.24,2.07,5.97,0.0,1367.0,7.288,5580.0,0.86,0.96,-0.12,1226.85,4.0,925.92,4.5,2.75
3848,6.186676,0.064,1.12,1.46,5.71,0.0,851.0,16.46,5411.0,0.81,0.82,0.16,824.31,2.0,137.07,4.58,0.6
3849,2.633867,0.036,1.34,2.36,5.39,0.0,1131.0,9.91,5411.0,0.81,0.82,0.16,824.31,2.0,428.41,4.58,0.6
3850,37.514456,0.213,2.61,7.32,2.26,0.0,478.0,55.2,5615.0,0.81,0.92,0.14,1031.95,2.0,9.04,4.58,0.5
3851,12.699149,0.104,2.24,5.65,2.76,0.0,686.0,26.8,5615.0,0.81,0.92,0.14,1031.95,2.0,38.37,4.58,0.5
3852,92.743711,0.341,1.82,3.97,3.62,0.0,240.0,132.45,4351.0,0.57,0.6,-0.17,468.094,2.0,0.95,4.72,3.09
3853,11.008151,0.082,2.13,5.18,2.95,0.0,488.0,43.185,4351.0,0.57,0.6,-0.17,468.094,2.0,16.26,4.72,3.09
3854,44.347,0.2269,3.1,56.2,10.4,0.0,484.0,54.15,5699.0,0.89,0.97,-0.25,1337.61,4.0,24.11,4.53,0.4
3855,24.806,0.154,2.46,61.0,22.5,0.0,588.0,31.527,5699.0,0.89,0.97,-0.25,1337.61,4.0,52.35,4.53,0.4
3856,13.638723,0.106,1.2,1.87,5.95,0.0,717.0,19.33,5602.0,0.9,0.79,-0.25,1337.61,4.0,116.12,4.46,0.4
3857,9.220524,0.082,1.01,1.01,5.39,0.0,817.0,14.511,5602.0,0.9,0.79,-0.25,1337.61,4.0,195.94,4.46,0.4
3858,148.2720032,0.5456,5.937,29.5,0.774,0.0,321.0,74.0,5717.0,0.88,0.98,0.0,1745.45,3.0,2.51,4.54,0.6
3859,36.337373,0.215,5.31,24.4,0.896,0.0,513.0,29.0,5723.0,0.9,0.95,0.02,1745.45,3.0,35.2,4.53,0.6
3860,14.646008,0.117,2.82,8.35,2.05,0.0,694.0,15.8,5723.0,0.9,0.95,0.02,1745.45,3.0,118.25,4.53,0.6
3861,4.807091,0.056,2.01,4.7,3.18,0.0,1088.0,13.5,5744.0,0.89,0.96,0.121,780.361,2.0,279.08,4.54,4.27
3862,2.139542,0.032,1.45,2.7,4.87,0.0,1425.0,8.089,5744.0,0.89,0.96,0.121,780.361,2.0,821.89,4.54,4.27
3865,54.414,0.2901,3.1,37.5,0.3,0.0,574.0,24.99,6689.45,1.07,1.1,-0.114,1037.4,3.0,35.74,4.42,0.22
3866,35.736,0.2236,4.3,49.4,0.3,0.0,774.0,18.88,6689.45,1.07,1.1,-0.114,1037.4,3.0,60.16,4.42,0.22
3867,12.309681,0.112,3.62,12.8,1.48,0.0,1104.0,9.279,6363.0,1.75,1.16,-0.114,1037.4,3.0,249.02,4.05,0.22
3868,51.078775,0.294,3.59,12.6,1.5,0.51,702.0,25.0,4991.0,2.94,1.08,0.271,443.03,2.0,49.15,3.62,7.76
3869,30.160546,0.207,4.07,15.6,1.27,0.04,836.0,17.6,4991.0,2.94,1.08,0.271,443.03,2.0,99.27,3.62,7.76
3870,33.006,0.2129,3.36,64.2,9.3,0.0,778.0,11.7,5946.0,1.69,1.12,0.1,976.643,2.0,83.9,4.03,5.0
3871,17.324,0.1385,2.92,87.3,19.3,0.0,964.0,7.59,5946.0,1.69,1.12,0.1,976.643,2.0,198.25,4.03,5.0
3872,48.648,0.2642,2.8,16.3,4.08,0.0,489.0,22.0,5779.0,1.03,1.1,0.02,1144.86,3.0,11.27,4.46,0.4
3873,31.884,0.1994,2.9,16.6,3.74,0.0,563.0,17.44,5779.0,1.03,1.1,0.02,1144.86,3.0,19.79,4.46,0.4
3874,14.12841,0.119,2.87,8.6,2.0,0.0,739.0,30.06,6105.0,1.05,1.04,0.02,1144.86,3.0,58.59,4.45,0.4
3875,35.676062,0.224,3.33,11.1,1.65,0.0,671.0,32.5,6165.0,1.38,1.16,0.0,2034.25,3.0,59.44,4.23,0.31
3876,16.088134,0.132,3.38,11.4,1.62,0.0,875.0,22.02,6165.0,1.38,1.16,0.0,2034.25,3.0,171.82,4.23,0.31
3877,10.300682,0.098,2.34,6.08,2.61,0.0,1015.0,16.36,6165.0,1.38,1.16,0.0,2034.25,3.0,311.76,4.23,0.31
3878,33.197861,0.204,1.84,4.04,3.56,0.0,678.0,57.14,6023.0,1.01,1.08,-0.211,1333.62,2.0,36.52,4.44,3.63
3879,11.634788,0.101,1.54,2.99,4.5,0.0,961.0,16.5,6023.0,1.01,1.08,-0.211,1333.62,2.0,147.81,4.44,3.63
3880,8.014927,0.073,1.98,4.58,3.24,0.0,865.0,16.02,5626.0,0.81,0.94,0.14,713.964,2.0,74.89,4.51,5.1
3881,2.936532,0.037,1.5,2.86,4.66,0.0,1209.0,12.82,5626.0,0.81,0.94,0.14,713.964,2.0,285.64,4.51,5.1
3882,10.937304,0.091,2.25,5.69,2.74,0.0,777.0,15.3,5297.0,0.93,0.86,0.09,889.608,3.0,141.13,4.43,4.9
3883,6.057342,0.061,1.79,97.8,93.7,0.0,947.0,12.626,5297.0,0.93,0.86,0.09,889.608,3.0,310.76,4.43,4.9
3884,2.971353,0.038,1.43,78.0,147.0,0.0,1200.0,8.41,5297.0,0.93,0.86,0.09,889.608,3.0,801.74,4.43,4.9
3885,5.24972541,0.0558,0.66,0.219,4.19,0.0,954.0,14.41,5555.0,0.87,0.9,-0.13,404.542,3.0,189.34,4.52,4.57
3886,7.41086267,0.0702,0.95,0.809,5.18,0.0,850.0,17.6,5555.0,0.87,0.9,-0.13,404.542,3.0,119.63,4.52,4.57
3887,10.43547805,0.0881,1.23,2.04,6.02,0.0,759.0,23.3,5555.0,0.87,0.9,-0.13,404.542,3.0,75.96,4.52,4.57
3888,25.262887,0.18,1.77,3.78,3.75,0.0,756.0,20.0,6067.0,1.46,1.17,0.07,948.781,2.0,62.24,4.2,2.73
3889,11.476094,0.107,2.01,4.7,3.18,0.0,984.0,11.8,6067.0,1.46,1.17,0.07,948.781,2.0,178.36,4.2,2.73
3890,6.54628992,0.0668,2.706,7.78,2.16,0.0,810.0,10.9,5251.0,0.82,0.93,0.21,1044.36,3.0,115.56,4.58,1.9
3893,8.127899,0.081,1.69,3.5,3.98,0.0,875.0,7.12,5847.0,0.96,0.92,0.02,2257.32,2.0,416.58,4.5,4.57
3894,5.326718,0.061,2.47,6.66,2.43,0.0,1007.0,5.37,5847.0,0.96,0.92,0.02,2257.32,2.0,730.77,4.5,4.57
3895,83.446393,0.391,3.38,11.4,1.62,0.0,471.0,99.761,6081.0,1.27,1.13,0.001,851.87,2.0,13.66,4.29,1.71
3896,25.934138,0.18,2.55,7.04,2.33,0.0,695.0,14.5,6081.0,1.27,1.13,0.001,851.87,2.0,64.93,4.29,1.71
3897,28.464515,0.154,2.27,5.77,2.71,0.0,301.0,84.56,4258.0,0.56,0.54,-0.18,264.993,3.0,2.65,4.73,3.31
3898,6.87745,0.06,2.13,5.18,2.95,0.0,484.0,22.0,4258.0,0.56,0.54,-0.18,264.993,3.0,17.58,4.73,3.31
3899,3.353728,0.037,1.98,37.9,26.8,0.0,615.0,18.114,4258.0,0.56,0.54,-0.18,264.993,3.0,45.84,4.73,3.31
3900,107.723601,0.457,3.89,14.4,1.34,0.0,421.0,105.77,5885.0,1.03,0.95,0.16,1370.79,2.0,5.59,4.45,4.79
3901,6.61833,0.071,2.48,6.71,2.42,0.0,1066.0,14.024,5885.0,1.03,0.95,0.16,1370.79,2.0,230.4,4.45,4.79
3902,67.831024,0.319,2.59,7.22,2.28,0.0,476.0,71.85,5835.0,1.1,0.98,-0.14,1280.25,4.0,10.35,4.33,0.28
3903,43.130617,0.236,2.49,6.76,2.41,0.0,554.0,51.0,5835.0,1.1,0.98,-0.14,1280.25,4.0,18.94,4.33,0.28
3904,17.028937,0.127,2.63,7.41,2.24,0.0,755.0,28.39,5835.0,1.1,0.98,-0.14,1280.25,4.0,65.36,4.33,0.28
3905,6.846262,0.069,1.86,4.12,3.52,0.0,1022.0,15.0,5835.0,1.1,0.98,-0.14,1280.25,4.0,220.33,4.33,0.28
3906,140.101261,0.566,2.83,8.4,2.04,0.0,511.0,58.7,6158.0,1.55,1.46,0.047,942.173,2.0,15.35,4.15,2.57
3907,40.806231,0.249,3.33,11.1,1.65,0.0,772.0,24.123,6158.0,1.55,1.46,0.047,942.173,2.0,79.48,4.15,2.57
3908,47.332773,0.242,2.47,6.66,2.43,0.0,386.0,129.8,5265.0,0.79,0.8,-0.031,754.747,2.0,5.99,4.58,7.9
3909,16.568087,0.12,2.67,7.61,2.2,0.0,548.0,30.26,5265.0,0.79,0.8,-0.031,754.747,2.0,24.31,4.58,7.9
3910,21.853722,0.152,1.64,3.33,4.15,0.0,618.0,50.83,5841.0,0.88,0.99,-0.338,613.129,2.0,25.26,4.54,3.55
3911,13.060855,0.108,1.36,2.42,5.29,0.0,734.0,23.81,5841.0,0.88,0.99,-0.338,613.129,2.0,50.17,4.54,3.55
3912,24.570858,0.156,2.0,4.66,3.2,0.0,505.0,51.4,5098.0,0.79,0.88,0.162,317.499,2.0,14.51,4.56,3.98
3913,10.381227,0.088,2.18,5.39,2.86,0.0,672.0,28.9,5098.0,0.79,0.88,0.162,317.499,2.0,45.78,4.56,3.98
3914,76.050178,0.332,1.74,3.68,3.84,0.0,372.0,82.69,5250.0,0.86,0.92,0.03,627.365,2.0,6.78,4.49,4.47
3915,8.187399,0.075,2.01,4.7,3.18,0.0,782.0,16.11,5250.0,0.86,0.92,0.03,627.365,2.0,132.13,4.49,4.47
3916,46.827915,0.22,2.41,6.39,2.51,0.0,276.0,75.0,4486.0,0.57,0.62,-0.05,335.307,4.0,1.75,4.73,2.95
3917,3.543919,0.039,1.07,1.24,5.56,0.0,652.0,14.476,4486.0,0.57,0.62,-0.05,335.307,4.0,31.79,4.73,2.95
3918,17.2559,0.10725,2.72,6.2,1.61,0.0,385.0,38.5,3914.0,0.51,0.54,-0.13,335.307,4.0,4.82,4.68,2.95
3919,12.28,0.08551,2.78,5.12,1.26,0.0,431.0,36.27,3914.0,0.51,0.54,-0.13,335.307,4.0,7.6,4.68,2.95
3920,36.924931,0.217,2.7,7.75,2.16,0.0,530.0,61.36,5938.0,0.9,0.93,-0.03,1002.14,2.0,15.05,4.53,0.4
3921,8.115317,0.079,2.8,8.25,2.07,0.0,879.0,9.22,5938.0,0.9,0.93,-0.03,1002.14,2.0,113.45,4.53,0.4
3922,33.653079,0.193,3.61,12.7,1.48,0.0,470.0,55.9,4942.0,0.92,0.82,0.303,575.988,2.0,7.99,4.44,13.7
3923,13.19722,0.103,4.06,15.5,1.27,0.0,642.0,30.33,4942.0,0.92,0.82,0.303,575.988,2.0,27.79,4.44,13.7
3924,24.664551,0.16,4.95,21.7,0.983,0.0,567.0,41.0,5180.0,1.04,0.85,0.04,780.256,3.0,24.53,4.36,14.0
3925,6.581484,0.066,5.41,25.2,0.875,0.0,881.0,16.835,5180.0,1.04,0.85,0.04,780.256,3.0,142.63,4.36,14.0
3926,2.382667,0.034,2.61,7.32,2.26,0.0,1237.0,9.69,5180.0,1.04,0.85,0.04,780.256,3.0,553.53,4.36,14.0
3927,10.681572,0.096,2.35,6.12,2.59,0.0,897.0,22.46,5551.0,1.3,0.97,0.12,1026.43,4.0,98.9,4.22,9.55
3928,5.839172,0.064,2.48,6.71,2.42,0.0,1097.0,14.05,5551.0,1.3,0.97,0.12,1026.43,4.0,221.1,4.22,9.55
3929,3.38802,0.045,2.15,5.27,2.91,0.0,1315.0,8.2,5551.0,1.3,0.97,0.12,1026.43,4.0,457.07,4.22,9.55
3930,1.620493,0.027,1.59,3.15,4.31,0.0,1681.0,5.55,5551.0,1.3,0.97,0.12,1026.43,4.0,1225.93,4.22,9.55
3931,1.04562266,0.0192,1.32,2.3,5.5,0.0,1710.0,4.307,5431.0,0.86,0.9,0.02,1052.53,3.0,1686.09,4.53,4.37
3932,9.946047,0.092,2.99,9.22,1.9,0.0,807.0,23.07,5573.0,0.93,0.87,0.339,1052.53,3.0,83.26,4.52,2.4
3933,5.714606,0.063,1.55,3.02,4.46,0.0,971.0,9.3,5573.0,0.93,0.87,0.339,1052.53,3.0,174.4,4.52,2.4
3934,18.746477,0.139,2.5,6.8,2.39,0.0,686.0,20.1,5957.0,0.91,0.93,0.16,1389.48,3.0,38.84,4.52,0.3
3935,12.412183,0.105,2.15,3.2,1.77,0.0,787.0,27.59,5957.0,0.91,0.93,0.16,1389.48,3.0,67.22,4.52,0.3
3936,5.826662,0.064,3.87,14.3,1.36,0.0,1013.0,15.796,5957.0,0.91,0.93,0.16,1389.48,3.0,184.34,4.52,0.3
3937,18.119869,0.13,3.17,10.2,1.76,0.0,563.0,33.19,5208.0,0.79,0.85,0.03,838.595,3.0,24.08,4.59,0.7
3938,10.281951,0.089,2.65,7.51,2.22,0.0,680.0,23.23,5208.0,0.79,0.85,0.03,838.595,3.0,51.27,4.59,0.7
3939,3.783986,0.046,1.63,3.29,4.17,0.0,949.0,15.03,5208.0,0.79,0.85,0.03,838.595,3.0,194.35,4.59,0.7
3940,10.848463,0.08,2.15,5.27,2.91,0.0,499.0,28.786,4208.0,0.55,0.61,-0.13,379.424,2.0,20.51,4.72,13.9
3941,6.668391,0.058,1.23,2.04,6.02,0.0,587.0,25.9,4208.0,0.55,0.61,-0.13,379.424,2.0,39.26,4.72,13.9
3942,99.640161,0.404,2.77,8.1,2.09,0.0,360.0,175.84,5526.0,0.89,0.95,-0.02,924.625,4.0,3.55,4.49,3.63
3943,30.133001,0.182,2.77,8.1,2.09,0.0,536.0,28.5,5526.0,0.89,0.95,-0.02,924.625,4.0,17.48,4.49,3.63
3944,16.514043,0.122,2.77,8.1,2.09,0.0,655.0,31.38,5526.0,0.89,0.95,-0.02,924.625,4.0,38.95,4.49,3.63
3945,4.790936,0.053,1.33,2.33,5.44,0.0,990.0,13.7,5526.0,0.89,0.95,-0.02,924.625,4.0,203.17,4.49,3.63
3946,17.648312,0.127,2.18,5.39,2.86,0.0,579.0,68.2,5160.0,0.81,0.83,0.02,760.585,3.0,21.46,4.57,13.2
3947,7.156804,0.069,2.28,5.82,2.7,0.0,782.0,20.94,5160.0,0.81,0.83,0.02,760.585,3.0,71.5,4.57,13.2
3948,4.148141,0.048,1.13,1.51,5.75,0.0,938.0,12.61,5160.0,0.81,0.83,0.02,760.585,3.0,148.1,4.57,13.2
3950,12.7207,0.1101,5.217,15.2,0.588,0.0061,934.0,18.44,6354.0,1.32,1.17,0.11,243.249,3.0,210.17,4.29,2.75
3951,6.238297,0.0685,2.748,8.7,2.32,0.0029,1185.0,13.7795,6103.0,1.32,1.17,0.01,243.249,3.0,542.96,4.28,4.65
3952,15.368459,0.097,1.57,3.09,4.39,0.0,332.0,48.38,3568.0,0.48,0.51,-0.34,190.401,3.0,4.47,4.78,3.09
3953,7.113702,0.058,1.51,2.89,4.61,0.0,429.0,24.23,3568.0,0.48,0.51,-0.34,190.401,3.0,12.53,4.78,3.09
3954,3.306539,0.035,1.09,1.32,5.6,0.0,554.0,14.19,3568.0,0.48,0.51,-0.34,190.401,3.0,24.26,4.78,3.09
3955,16.239494,0.123,4.07,15.6,1.27,0.0,598.0,32.02,5190.0,0.83,0.9,0.2,738.792,2.0,22.46,4.57,2.34
3956,6.308205,0.066,3.02,9.38,1.87,0.0,819.0,16.707,5190.0,0.83,0.9,0.2,738.792,2.0,79.31,4.57,2.34
3957,20.477912,0.14,3.94,14.7,1.32,0.0,530.0,50.0,5100.0,0.77,0.84,0.05,663.711,3.0,19.21,4.61,0.8
3958,9.439452,0.084,4.09,15.7,1.26,0.0,686.0,26.081,5100.0,0.77,0.84,0.05,663.711,3.0,53.9,4.61,0.8
3959,3.33616,0.042,1.64,3.33,4.15,0.0,970.0,12.255,5100.0,0.77,0.84,0.05,663.711,3.0,216.11,4.61,0.8
3960,11.187161,0.095,1.5,2.86,4.66,0.0,667.0,24.72,5206.0,0.83,0.79,0.16,626.078,2.0,43.21,4.56,12.6
3961,4.60182,0.052,2.34,6.08,2.61,0.0,896.0,13.43,5206.0,0.83,0.79,0.16,626.078,2.0,141.61,4.56,12.6
3962,3.21982106,0.04,1.75,3.71,3.8,0.0,998.0,11.849,5174.0,0.8,0.86,0.05,861.527,4.0,240.15,4.57,3.63
3963,36.277108,0.202,3.03,21.6,4.27,0.0,445.0,59.91,5100.0,0.8,0.86,0.05,861.527,4.0,9.49,4.56,3.63
3964,17.460812,0.124,2.18,225.6,120.0,0.0,568.0,60.31,5100.0,0.8,0.86,0.05,861.527,4.0,25.15,4.56,3.63
3965,7.49019,0.071,2.57,7.13,2.31,0.0,753.0,21.59,5100.0,0.8,0.86,0.05,861.527,4.0,77.75,4.56,3.63
3966,20.050401,0.14,2.31,15.2,6.78,0.0,622.0,19.25,5554.0,0.8,0.96,0.16,1036.49,3.0,31.27,4.58,0.5
3967,9.767292,0.087,2.05,4.86,3.1,0.0,791.0,21.0,5554.0,0.8,0.96,0.16,1036.49,3.0,81.57,4.58,0.5
3968,4.311792,0.05,2.76,8.05,2.1,0.0,1038.0,12.25,5554.0,0.8,0.96,0.16,1036.49,3.0,242.47,4.58,0.5
3969,20.026218,0.142,1.99,4.62,3.22,0.0,559.0,40.7,5228.0,0.84,0.83,0.01,693.86,2.0,21.72,4.57,3.5
3970,5.715442,0.062,2.45,6.57,2.45,0.0,850.0,17.776,5228.0,0.84,0.83,0.01,693.86,2.0,115.5,4.57,3.5
3971,14.496481,0.109,2.0,4.66,3.2,0.0,613.0,33.7,5020.0,0.85,0.81,0.01,600.241,2.0,20.5,4.49,14.0
3972,8.20395,0.075,2.61,7.32,2.26,0.0,742.0,23.1,5020.0,0.85,0.81,0.01,600.241,2.0,43.77,4.49,14.0
3973,36.065978,0.189,2.57,7.13,2.31,0.0,397.0,65.37,4699.0,0.67,0.67,0.031,512.0,2.0,5.88,4.63,13.9
3974,12.718092,0.094,2.33,6.04,2.62,0.0,562.0,31.51,4699.0,0.67,0.67,0.031,512.0,2.0,23.6,4.63,13.9
3975,7.953528,0.074,2.2,102.3,52.8,0.0,696.0,23.75,4985.0,0.74,0.75,0.18,746.927,2.0,59.84,4.63,0.9
3976,4.144495,0.048,1.37,2.45,5.24,0.0,864.0,13.767,4985.0,0.74,0.75,0.18,746.927,2.0,142.74,4.63,0.9
3977,18.998355,0.138,2.78,8.15,2.08,0.0,792.0,13.3,5897.0,1.29,0.98,-0.071,1156.81,4.0,81.51,4.2,5.2
3978,4.244384,0.051,1.67,3.43,4.05,0.0,1305.0,4.9,5897.0,1.29,0.98,-0.071,1156.81,4.0,601.89,4.2,5.2
3981,56.228098,0.268,2.51,6.85,2.38,0.0,366.0,129.92,4914.0,0.76,0.76,0.09,648.109,2.0,4.32,4.58,3.31
3982,11.763051,0.095,2.33,6.04,2.62,0.0,616.0,31.87,4914.0,0.76,0.76,0.09,648.109,2.0,34.75,4.58,3.31
3983,50.447,0.2747,2.0,13.5,9.27,0.0,568.0,23.09,5732.0,0.96,1.06,0.23,1798.75,5.0,35.87,4.49,6.76
3984,23.654,0.1658,5.6,169.7,5.31,0.0,731.0,23.142,5732.0,0.96,1.06,0.23,1798.75,5.0,98.46,4.49,6.76
3985,13.233549,0.115,3.07,9.64,1.83,0.0,888.0,9.46,5751.0,1.43,1.06,0.23,1798.75,5.0,213.48,4.19,6.76
3986,6.155557,0.069,2.39,6.3,2.54,0.0,1146.0,5.68,5751.0,1.43,1.06,0.23,1798.75,5.0,592.3,4.19,6.76
3987,2.090876,0.034,1.73,3.64,3.86,0.0,1642.0,2.765,5751.0,1.43,1.06,0.23,1798.75,5.0,2500.59,4.19,6.76
3988,8.103636,0.071,2.08,4.98,3.04,0.0,687.0,20.09,4861.0,0.72,0.7,0.03,657.822,2.0,60.64,4.58,13.8
3989,4.715106,0.05,1.41,2.57,5.04,0.0,823.0,15.33,4861.0,0.72,0.7,0.03,657.822,2.0,124.96,4.58,13.8
3990,23.968127,0.132,2.0,4.66,3.2,0.0,329.0,45.0,3750.0,0.51,0.6,-0.05,288.763,2.0,3.8,4.75,3.16
3991,8.295611,0.065,1.57,3.09,4.39,0.0,469.0,22.1,3750.0,0.51,0.6,-0.05,288.763,2.0,15.63,4.75,3.16
3992,46.183669,0.213,2.22,5.56,2.79,0.0,306.0,81.52,4255.0,0.55,0.58,-0.51,428.018,4.0,1.33,4.73,6.0
3993,20.060548,0.122,2.05,4.86,3.1,0.0,401.0,46.76,4255.0,0.55,0.58,-0.51,428.018,4.0,4.03,4.73,6.0
3994,7.824904,0.065,1.28,2.18,5.71,0.0,555.0,24.96,4255.0,0.55,0.58,-0.51,428.018,4.0,14.2,4.73,6.0
3995,3.340222,0.037,2.23,5.6,2.77,0.0,731.0,14.15,4255.0,0.55,0.58,-0.51,428.018,4.0,44.0,4.73,6.0
3996,7.21205,0.077,3.51,12.1,1.54,0.0,1025.0,14.003,6224.0,1.11,1.11,0.09,1733.1,2.0,273.3,4.42,3.47
3997,2.711506,0.04,3.7,13.2,1.43,0.0,1420.0,7.088,6224.0,1.11,1.11,0.09,1733.1,2.0,1007.72,4.42,3.47
3998,60.418955,0.287,2.71,7.8,2.15,0.0,390.0,93.71,5360.0,0.76,0.85,-0.09,856.417,2.0,6.2,4.61,0.6
3999,8.472382,0.077,2.43,6.48,2.48,0.0,751.0,24.42,5360.0,0.76,0.85,-0.09,856.417,2.0,85.13,4.61,0.6
4000,11.379349,0.101,3.83,14.0,1.37,0.0,806.0,16.31,5847.0,0.97,0.97,0.03,1349.13,2.0,116.52,4.5,1.4
