,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius],insolation_flux_earth
297,2300.0,1.744579,0.0338,1.56,4650.0
302,1213.0,3.6915224,0.0467,1.06,512.02
306,1322.0,4.46529976,0.05561,1.17,243.7
307,838.0,4.88780244,0.05254,0.68,100.77
309,963.0,3.2130598,0.0384,0.7,118.08
310,1740.0,2.91625,0.04383,1.76,1978.52
312,1624.0,4.62767,0.0596,1.82,1038.78
313,904.0,10.8635,0.0965,1.07,79.76
314,1626.0,2.77596,0.0413,1.24,1186.35
315,792.0,10.33852,0.0882,0.87,65.68
317,852.0,5.508023,0.0559,0.75,82.24
318,1010.0,4.008778,0.0466,0.82,165.19
319,1540.0,5.6335158,0.06814,1.39,839.62
320,970.0,2.875317,0.0361,0.69,145.71
321,1283.0,4.12448,0.0494,1.21,459.54
322,1463.0,3.21222,0.0414,1.11,325.57
323,1951.0,1.21288,0.0232,0.96,2796.38
324,1637.0,3.35524,0.04651,1.38,1047.12
325,1182.0,3.65281514,0.0466,0.92,325.0
326,1001.0,4.23452,0.0479,0.87,185.07
327,1092.0,3.039577,0.04,0.86,336.04
328,1384.0,3.257215,0.0434,1.1,554.71
329,1271.0,5.72319,0.0667,1.3,433.0
330,1189.0,2.8997,0.03866,0.87,176.59
331,1630.0,2.8106,0.0419,1.31,1467.96
332,1450.0,5.00542,0.061,1.39,746.9
333,1836.0,2.1500082,0.03397,1.37,1841.0
334,1782.0,3.47447,0.04995,1.79,1701.38
335,1520.0,5.452654,0.06774,1.53,433.78
336,1581.0,3.646706,0.04978,1.44,999.67
337,1781.0,1.32734683,0.0241,1.04,1821.0
338,1271.0,2.797436,0.0379,0.88,412.4
339,1082.0,4.640382,0.0523,0.92,187.99
340,1752.0,3.54387,0.0509,1.62,1319.04
341,1686.0,3.056536,0.04438,1.62,1438.0
342,1770.0,4.45724,0.0608,1.94,1747.42
343,1941.0,2.69405,0.04258,2.05,2485.07
344,1428.0,4.641878,0.0575,1.53,469.05
345,1353.0,3.3326414,0.0444,1.08,524.35
346,1108.0,4.301219,0.0507,0.95,185.12
350,2131.0,2.69155,0.04378,2.06,6508.84
351,1539.0,2.78849,0.04073,1.12,653.75
352,1862.0,3.1220109,0.0453,1.7,1198.68
353,1192.0,4.2180278,0.05069,1.04,311.71
354,1218.0,2.7535953,0.03694,0.89,227.76
355,1778.0,1.9616241,0.03159,1.21,1611.53
356,818.0,3.799847,0.04117,0.62,22.2
357,1313.0,3.5852467,0.04604,1.01,410.03
358,1840.0,2.79083,0.0423,1.47,3515.0
360,1622.0,4.0138379,0.04994,1.53,1146.0
361,1278.0,4.1419771,0.05064,1.1,441.4
362,1675.0,3.85298,0.05239,1.62,1669.87
363,1772.0,4.7947813,0.06277,2.2,1634.0
364,1505.0,1.90231289,0.0301,0.94,849.5
