,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius],insolation_flux_earth
1515,1534.0,4.3474032,0.0543,1.75,923.6
1516,1355.0,0.7826942,0.0144,0.68,651.91
1517,447.0,3.0766896,0.0228,0.2,6.55
1518,388.0,5.436098,0.0341,0.21,3.7
1519,1091.0,4.0197517,0.04871,0.89,237.0
1521,284.0,27.26955,0.1363,0.46,1.54
1522,2609.0,0.3524728,0.0097,0.94,6839.4
1523,256.0,35.189346,0.145,0.31,0.67
1524,1688.0,3.5315902,0.05009,1.57,1356.0
1525,1259.0,8.001968,0.0854,1.56,406.0
1527,652.0,11.9101,0.09564,0.79,42.72
1528,805.0,10.695264,0.08911,0.86,16.96
1529,1860.0,1.1947268,0.02234,1.04,2000.0
1530,1763.0,2.1225735,0.03319,1.25,1600.0
1532,348.0,260.79,0.828,1.64,2.71
1533,628.0,17.16073,0.1293,0.75,25.9
1534,497.0,34.525528,0.2069,0.75,10.1
1535,1188.0,8.60077,0.075,1.41,81.5
1536,395.0,7.851928,0.057,0.34,4.0
1537,3646.0,0.67247414,0.01791,1.7,14429.0
1538,488.0,10.50534,0.0752,0.53,8.1
1539,530.0,35.12537,0.1539,0.77,16.5
1540,630.0,21.01538,0.1093,0.77,32.7
1541,797.0,10.35509,0.0682,0.77,84.06
1542,910.0,0.7363104,0.0112,0.35,117.76
1545,1167.0,8.872078,0.092,1.56,130.34
1546,759.0,52.97818,0.3,1.32,8.08
1547,2097.0,0.94667944,0.01932,1.08,3230.0
1548,362.0,29.02,0.1587,0.61,2.9
1549,1885.0,1.0662107,0.0204,0.94,1901.78
1550,1208.0,9.5739,0.1001,2.02,354.64
1551,1375.0,4.860674,0.061,1.51,292.25
1552,2100.0,0.549372,0.00812,0.68,1407.22
1553,1927.0,3.208664,0.04882,2.17,2300.0
1554,470.0,20.7095,0.1275,0.65,19.5
1556,600.0,9.961881,0.0783,0.65,21.82
1557,690.0,6.5577,0.0592,0.65,38.1
1558,873.0,3.23845,0.037,0.65,97.62
1560,443.0,18.85019,0.1177,0.6,6.39
1561,533.0,9.0497,0.0707,0.55,14.21
1562,673.0,4.4929,0.0443,0.55,28.55
1564,767.0,3.49151,0.0391,0.62,57.78
1565,1198.0,9.47725,0.0914,1.78,299.0
1566,800.0,24.283429,0.16,0.97,68.02
1567,489.0,2.500311,0.0229,0.28,13.5
1568,698.0,3.1342791,0.033548,0.52,39.0
1571,764.0,1.7666957,0.0226,0.46,57.02
1572,1715.0,2.2554477,0.03524,1.29,1443.0
1573,1069.0,0.6691403,0.011557,0.49,217.0
1574,684.0,40.74976,0.249,1.32,15.09
1575,1062.0,10.98462,0.103,1.32,123.81
1577,924.0,0.989343,0.01545,0.45,121.0
1578,1669.0,4.231306,0.058,1.65,1489.11
1579,1619.0,5.331751,0.06864,2.19,1071.42
1580,1588.0,2.0845435,0.03138,1.17,1062.0
1581,2492.0,1.902603,0.0389,1.95,17122.93
1583,1404.0,5.857487,0.07037,1.53,750.92
1584,918.0,10.180249,0.0903,1.05,87.77
1587,326.0,11.06201,0.061,0.28,1.8
1590,1072.0,0.4090677,0.0071,0.31,207.02
1591,2370.0,2.650237,0.046,1.92,5300.0
1592,867.0,12.9972,0.108,1.02,88.46
1593,1136.0,1.4520358,0.023,0.66,277.81
1594,255.0,95.174,0.4607,1.33,0.99
1595,1679.0,4.720219,0.0626,1.93,1112.85
1596,1395.0,2.1097019,0.026,0.9,860.0
1597,1388.0,4.537164,0.059,1.41,490.12
1598,1562.0,3.9443715,0.0497,1.66,810.21
1600,1266.0,2.699835,0.0429,1.01,603.3
1601,408.0,14.47567,0.095,0.57,6.54
1603,961.0,3.31599,0.0412,0.79,120.59
1604,919.0,8.1577094,0.0711,0.92,90.6
1605,344.0,18.80151,0.1058,0.42,2.3
1606,413.0,10.894843,0.0736,0.42,4.9
1607,499.0,16.608164,0.1116,0.67,10.32
1608,651.0,7.493134,0.0657,0.67,29.81
1609,871.0,3.127463,0.0367,0.67,95.58
1610,963.0,3.477978,0.0407,0.71,116.75
1611,638.0,19.98,0.137,0.85,26.7
1612,828.0,9.15059,0.0814,0.85,77.59
1613,1037.0,4.65382,0.05186,0.85,185.0
1614,462.0,37.9216,0.211,0.86,11.0
1615,586.0,18.6559,0.131,0.86,28.0
1616,860.0,5.904144,0.061,0.86,129.0
1617,955.0,4.30744,0.049,0.86,196.0
1618,775.0,3.444717,0.03826,0.62,60.3
1619,330.0,24.245586,0.1288,0.48,1.93
1620,244.0,27.36397,0.0886,0.56,3.21
1621,471.0,5.07803,0.0392,0.33,8.8
1622,703.0,2.4919863,0.0287,0.51,40.6
1630,637.0,8.350381,0.07098,0.69,19.93
1631,810.0,4.066499,0.04394,0.69,48.04
1632,1728.0,4.0782387,0.0561,1.81,532.0
1633,1323.0,0.6047328,0.01159,0.58,509.2
1634,634.0,12.226574,0.09429,0.73,26.8
1635,784.0,6.443868,0.06152,0.73,62.9
1636,859.0,7.972,0.08,0.84,95.0
1637,1077.0,4.11296,0.052,0.84,232.0
1638,1762.0,3.660028,0.051,1.82,1215.02
1639,974.0,15.168865,0.1207,1.09,83.39
1648,301.0,9.8658,0.0496,0.2,1.38
1652,1134.0,1.540731,0.0234,0.7,210.67
1653,1457.0,3.71495,0.0474,1.32,698.15
1654,2053.0,2.032046,0.0352,1.56,2886.29
1655,1006.0,3.506195,0.0423,0.72,27.55
1656,1415.0,2.8792319,0.04127,1.08,669.0
1657,1385.0,1.8053564,0.02803,0.85,614.0
1658,1681.0,2.5079204,0.03783,1.27,1330.0
1660,1955.0,1.645321,0.0286,1.25,1816.48
1661,1418.0,1.4200242,0.02332,0.8,382.33
1662,234.0,11.1868,0.04856,0.14,0.65
1674,281.0,282.5255,0.828,1.0,1.21
1679,2034.0,2.4855335,0.0308,1.53,4135.36
1778,1448.0,4.43527,0.058,1.38,729.0
1779,1345.0,2.4997,0.035,0.98,503.0
1780,1284.0,0.882059,0.01677,0.75,983.42
1781,952.0,3.3569866,0.0382,0.74,101.25
1782,1650.0,1.3373508,0.019,0.84,886.98
1783,1434.0,1.6753728,0.023,0.93,1000.57
1785,1499.0,3.4678796,0.0479,1.64,391.83
1788,688.0,54.18915,0.313,1.78,6.76
1789,1468.0,4.511164,0.063,1.7,1085.35
1790,1381.0,3.05125,0.0448,1.39,845.0
1791,1457.0,3.24253,0.0391,1.34,1160.0
1792,1177.0,4.84532,0.0523,1.21,480.0
1793,1146.0,3.27623,0.0441,0.95,425.0
1795,1605.0,4.119027,0.0549,1.79,1096.0
1796,1257.0,7.532806,0.0757,1.59,416.0
1797,435.0,35.45533,0.201,0.83,33.16
1799,790.0,2.647298,0.0326,0.57,65.3
1834,2100.0,2.82406,0.047,1.92,4913.69
1835,2594.0,2.14877381,0.040352,2.08,8702.29
1839,1978.0,0.792052,0.01679,0.95,2681.59
1840,353.0,12.2519,0.07673,0.37,2.63
1841,892.0,0.768448,0.01211,0.37,106.0
1842,508.0,3.1239035,0.02661,0.27,10.9
1843,424.0,5.3587657,0.03813,0.27,5.4
1845,272.0,8.457463,0.03984,0.16,0.91
1846,396.0,2.7299025,0.01875,0.16,4.09
1847,370.0,4.989963,0.029392,0.17,2.35
1848,650.0,0.948005,0.00969,0.17,21.5
1849,700.0,4.052037,0.0417,0.58,38.54
1850,805.0,0.46292913,0.00622,0.19,70.1
1851,617.0,3.81433,0.0404,0.5,26.37
1852,511.0,3.694247,0.0331,0.33,13.5
1853,830.0,0.8602322,0.01251,0.33,93.2
1854,595.0,1.9495378,0.01848,0.25,23.88
1855,709.0,3.77792,0.02734,0.21,6.16
1856,379.0,24.73694,0.0957,0.21,0.5
1858,416.0,7.4507245,0.0486,0.3,5.01
1859,553.0,3.6906777,0.0304,0.3,12.8
1860,627.0,2.2531136,0.02191,0.3,24.7
1862,965.0,1.4015,0.02091,0.6,149.37
1863,1355.0,5.99185702,0.0681,1.65,740.17
1864,1020.0,5.65377733,0.0626,1.18,409.92
1865,1709.0,2.70730672,0.0397,1.56,1900.13
1866,1272.0,3.77059058,0.0474,1.14,723.08
1867,517.0,28.26731672,0.1701,0.8,11.92
1868,957.0,1.15116651,0.0177,0.54,243.98
1869,352.0,22.08557563,0.13,0.54,3.95
1870,510.0,20.16034462,0.1339,0.74,15.29
1871,260.0,82.5342519,0.3104,0.61,1.37
1872,2386.0,0.53835431,0.0127,1.08,7609.22
1873,903.0,9.91723428,0.0883,1.08,157.41
1874,810.0,4.60358,0.0503,0.73,108.04
1875,805.0,7.96431535,0.0734,0.78,74.35
1876,368.0,17.76080053,0.1085,0.53,6.56
1877,351.0,105.3033148,0.4238,0.91,3.85
1878,465.0,56.4349938,0.276,0.98,10.86
1879,323.0,116.331901,0.4451,0.85,2.59
1880,484.0,43.0342272,0.2327,0.93,13.99
1881,485.0,60.0855082,0.3148,1.08,31.0
1882,955.0,15.7738221,0.1291,1.29,185.2
1883,1103.0,4.46975774,0.0535,0.96,337.47
1884,845.0,11.55102504,0.1005,1.06,170.14
1885,1592.0,1.54168,0.0256,1.11,1107.39
1886,792.0,8.0880135,0.0753,0.83,77.84
1887,546.0,49.6221509,0.2726,1.09,20.99
1888,544.0,26.85328322,0.162,0.83,13.96
1889,324.0,105.9564148,0.4217,0.83,2.66
1890,1599.0,1.97034246,0.0303,0.75,328.7
1891,577.0,4.19449651,0.0419,0.5,28.51
1892,402.0,49.6077331,0.2508,0.78,7.89
1893,1060.0,7.03932553,0.0734,1.22,266.51
1894,1087.0,9.59070716,0.0827,0.85,82.77
1895,464.0,16.736525,0.139,0.71,11.11
1897,1328.0,2.58664,0.0356,0.98,767.96
1898,1270.0,1.6829346,0.0272,0.82,564.58
1899,465.0,34.1731714,0.2027,0.82,10.17
1900,644.0,5.70940492,0.052,0.7,58.15
1901,745.0,3.69298373,0.0389,0.7,103.91
1902,258.0,198.7112502,0.6253,0.8,1.05
1903,638.0,13.22713379,0.1027,0.8,39.1
1904,391.0,99.747622,0.3907,1.02,10.97
1905,393.0,134.2527298,0.512,1.15,4.98
1906,652.0,13.5225106,0.1063,0.84,43.92
1907,802.0,9.97683705,0.0849,0.87,83.49
1908,689.0,12.05707239,0.0984,0.86,53.82
1909,642.0,16.87727414,0.1245,0.9,40.4
1910,1391.0,3.12686223,0.0414,0.72,129.22
1911,711.0,16.2385,0.1235,1.02,57.52
1912,1912.0,14.80074836,0.1633,2.01,165.87
1913,749.0,9.7678805,0.0852,0.86,73.59
1914,769.0,5.90741354,0.0559,0.75,124.91
1915,1056.0,5.24867263,0.0596,1.15,307.06
1916,664.0,14.53244172,0.1083,0.84,33.09
1917,545.0,16.78176602,0.118,0.76,21.53
1918,873.0,9.10967112,0.0862,0.99,121.04
1919,410.0,88.40655258,0.392,0.99,5.84
1920,369.0,130.3546919,0.5183,0.99,5.05
1921,340.0,71.52530845,0.3091,0.73,2.47
1922,360.0,98.7180406,0.3982,1.02,3.97
1923,927.0,11.5231,0.1017,1.41,178.83
1924,782.0,8.6893073,0.0774,0.86,58.44
1925,841.0,7.76846622,0.0749,0.94,126.2
1926,573.0,26.9644317,0.1773,0.87,51.95
1927,857.0,11.79162572,0.1002,0.93,124.07
1928,616.0,31.0033814,0.2037,0.97,31.7
1929,459.0,43.3167737,0.2288,0.83,20.17
1930,455.0,49.7701438,0.2559,0.91,10.16
1931,379.0,44.96417488,0.2298,0.75,4.96
1932,722.0,17.42395198,0.1311,0.86,47.03
1933,486.0,59.6225257,0.3059,0.96,10.52
1935,997.0,2.50806,0.03106,0.76,216.09
1936,692.0,14.878296,0.1153,0.85,54.19
1937,544.0,52.6298417,0.2689,0.89,8.57
1938,377.0,153.343364,0.5545,1.22,6.93
1939,495.0,67.668827,0.3214,1.22,20.63
1940,867.0,10.56134221,0.0954,0.89,133.56
1941,879.0,4.88083852,0.0527,0.73,94.61
1942,384.0,55.6738309,0.2658,0.77,4.72
1943,602.0,14.20443009,0.1041,0.84,61.32
1944,1276.0,1.9214374,0.0279,0.84,562.22
1945,744.0,8.03755877,0.0719,0.81,72.44
1946,561.0,71.4517775,0.3475,1.4,16.85
1948,1037.0,4.72674,0.053,0.98,283.74
1949,2362.0,0.92103214,0.0192,1.02,8159.93
1950,894.0,3.9324613,0.0444,0.7,111.11
1951,906.0,9.1149903,0.0866,0.99,129.53
1952,524.0,52.0688601,0.2739,1.01,17.88
1953,394.0,33.8678531,0.1805,0.72,5.83
1954,610.0,61.0370117,0.3359,1.23,20.0
1955,1104.0,6.93366476,0.0715,1.26,390.64
1956,1876.0,0.93846683,0.0182,0.93,2142.63
1957,492.0,51.300634,0.2716,0.91,15.01
1958,364.0,100.8274113,0.4029,0.85,3.99
1959,907.0,6.53192704,0.065,0.85,153.14
1960,637.0,49.3568,0.2754,1.82,46.84
1961,781.0,26.723,0.1829,1.7,106.21
1962,975.0,13.749,0.1174,1.7,257.78
1963,869.0,11.04603384,0.0981,1.21,153.91
1964,1052.0,4.85386933,0.0569,1.14,258.7
1965,991.0,2.97041437,0.0378,0.76,228.11
1966,503.0,32.2968798,0.1885,0.81,14.68
1967,1319.0,4.59489604,0.0566,1.38,844.75
1968,1192.0,4.40966548,0.0544,1.15,568.38
1969,1357.0,5.93911982,0.0699,1.8,122.82
1970,1129.0,10.29672521,0.1009,0.61,58.9
1971,1218.0,2.53475627,0.0339,1.11,519.95
1972,931.0,20.310501,0.1549,1.99,198.72
1973,1752.0,2.36436901,0.0382,1.5,2108.07
1974,2040.0,6.24658,0.0731,6.3,3273.32
1975,852.0,13.93290318,0.1175,1.23,127.24
1976,1783.0,1.34059747,0.0247,1.12,3304.1
1977,879.0,15.86621821,0.1225,1.38,137.66
1978,537.0,41.6979976,0.2359,1.02,21.99
1979,928.0,5.08274652,0.0572,0.86,185.77
1980,1332.0,3.02166863,0.0417,1.25,875.42
1981,462.0,62.9228557,0.302,0.97,24.79
1982,842.0,10.3507721,0.0907,0.97,274.85
1983,556.0,40.1099547,0.223,0.93,24.88
1984,704.0,3.51749439,0.0378,0.57,68.72
1985,716.0,6.9913086,0.0679,0.73,54.11
1987,2026.0,1.592851,0.0273,1.02,1339.66
1988,523.0,38.9853,0.227,0.96,18.9
1989,661.0,19.23891,0.143,0.96,48.23
1990,640.0,19.17891293,0.1392,0.91,62.2
1991,616.0,5.8706191,0.0545,0.62,37.11
1992,855.0,8.0472642,0.077,1.04,354.22
1993,303.0,144.547396,0.5164,0.81,1.99
1994,771.0,2.80624233,0.0328,0.61,106.58
1995,896.0,9.803224,0.0916,0.85,119.88
1996,1034.0,6.33855761,0.0699,0.99,266.27
1997,556.0,13.7521072,0.1015,0.72,18.2
1998,486.0,53.44945593,0.2881,1.07,44.33
1999,540.0,52.75875577,0.2944,1.13,30.23
2000,1328.0,3.744439,0.0492,1.25,954.59
2001,417.0,70.6979061,0.328,0.9,7.85
2002,1089.0,7.63846023,0.0797,1.29,407.98
2003,785.0,20.42228798,0.1536,1.29,109.84
2004,1111.0,6.24146367,0.067,1.16,231.43
2005,830.0,18.11472949,0.1432,1.35,124.65
2006,964.0,5.69919514,0.0622,0.94,204.18
2007,818.0,12.98495573,0.1055,1.09,163.05
2008,903.0,3.98953967,0.0449,0.87,259.03
2009,1217.0,4.44448017,0.0552,1.09,538.57
2010,1622.0,7.71468975,0.0915,1.74,586.17
2012,580.0,33.3855938,0.2012,1.02,29.13
2013,501.0,25.9422033,0.165,0.77,27.01
2014,632.0,18.45847097,0.1301,0.81,37.81
2015,923.0,5.14438011,0.0549,0.77,152.75
2016,569.0,27.5073799,0.1771,1.11,41.43
2017,560.0,40.0686727,0.2234,1.13,31.62
2018,749.0,20.5533844,0.1542,1.27,68.02
2019,1230.0,2.57885507,0.0362,1.08,553.06
2020,640.0,22.0459018,0.1572,1.14,79.72
2021,691.0,21.3587621,0.1539,1.02,54.87
2022,403.0,191.2318,0.676,1.82,4.66
2023,478.0,114.73635,0.481,1.82,9.2
2024,494.0,40.4287755,0.2244,0.95,17.23
2025,1047.0,5.03251791,0.0575,0.89,417.03
2026,327.0,150.242127,0.5375,0.91,2.72
2027,996.0,2.61703254,0.0331,0.71,196.13
2028,694.0,14.16399294,0.1057,0.92,46.36
2029,1143.0,5.83376092,0.0687,1.0,464.76
2030,718.0,15.59461874,0.122,0.95,117.83
2031,1097.0,3.14866453,0.039,0.84,547.29
2032,966.0,3.94963138,0.0463,0.78,197.29
2033,1050.0,5.10137945,0.058,1.06,233.62
2034,528.0,20.38177573,0.1345,0.77,14.9
2035,399.0,76.13602028,0.3403,0.91,6.34
2036,390.0,85.35129427,0.3751,0.99,5.75
2037,824.0,8.02768059,0.0787,0.93,153.5
2038,996.0,7.8866311,0.0762,1.03,405.18
2039,1187.0,7.16892463,0.0779,1.55,499.3
2040,565.0,44.9309804,0.2654,1.16,92.13
2041,900.0,8.50699658,0.0802,0.85,103.83
2042,995.0,7.19303878,0.0744,1.09,329.28
2043,559.0,25.216751,0.163,0.89,24.32
2044,626.0,17.91323,0.13,0.89,38.39
2045,706.0,12.513,0.1007,1.24,61.93
2046,809.0,8.306,0.0766,1.24,107.03
2047,325.0,394.6244904,1.1088,1.64,3.12
2048,1086.0,6.91134416,0.072,1.2,794.78
2049,1054.0,2.3432319,0.0315,0.77,292.31
2050,624.0,19.80792185,0.1399,0.91,35.28
2051,1361.0,0.92785982,0.017,0.75,772.5
2052,713.0,2.61302086,0.0298,0.57,89.65
2053,1523.0,2.05387982,0.0313,1.03,890.33
2054,1252.0,1.21956827,0.0204,0.73,588.95
2055,416.0,124.4198398,0.479,0.81,1.65
2056,572.0,44.552169,0.25,1.17,25.3
2057,672.0,27.434389,0.181,1.17,48.29
2058,1254.0,4.224537,0.052,1.17,584.24
2059,865.0,12.883,0.1072,1.43,132.23
2060,985.0,8.726,0.0827,1.43,222.19
2061,626.0,37.8144514,0.2341,1.31,46.3
2062,777.0,15.74957994,0.1266,0.96,61.09
2063,701.0,16.56059504,0.1144,0.81,55.97
2064,869.0,11.36112327,0.1013,1.04,135.8
2065,921.0,11.41909375,0.107,1.11,170.33
2066,378.0,13.32388301,0.0862,0.66,11.85
2067,382.0,18.7546998,0.1139,0.62,8.31
2068,965.0,7.1396941,0.075,0.9,256.83
2069,992.0,5.62153941,0.0603,0.97,266.25
2070,907.0,11.29695137,0.1033,1.11,160.18
2071,569.0,5.169796,0.051,0.59,28.81
2072,362.0,20.09,0.11796,0.61,5.9
2073,460.0,9.77,0.07295,0.61,15.41
2074,857.0,6.88337562,0.0678,0.97,247.47
2075,1848.0,0.56785714,0.0125,0.77,1835.16
2076,574.0,51.92927591,0.2742,0.91,23.6
2077,1305.0,4.48758907,0.0528,1.15,827.22
2078,981.0,8.1818246,0.0759,1.08,261.63
2079,1270.0,3.77360059,0.0453,1.08,734.46
2080,1231.0,4.51436633,0.055,1.22,454.6
2081,1277.0,4.16809082,0.0507,0.96,803.35
2082,1239.0,3.22296927,0.0412,1.08,535.19
2083,1215.0,1.92279873,0.029,0.8,496.82
2084,554.0,127.8338098,0.5829,1.36,16.23
2086,926.0,5.902206,0.063,0.95,144.34
2087,1253.0,2.382961,0.034,0.95,484.35
2088,450.0,51.54,0.2626,0.9,8.04
2089,562.0,26.44,0.1683,0.9,19.56
2090,485.0,33.1995648,0.1894,0.81,9.91
2091,786.0,10.03538581,0.0886,0.92,100.78
2092,1124.0,3.99010623,0.0493,1.03,550.2
2093,668.0,10.50682565,0.0895,0.85,50.56
2094,1374.0,8.57503552,0.0888,3.42,979.14
2095,1164.0,6.1469851,0.0695,1.22,935.12
2096,817.0,19.12947337,0.1439,0.93,56.04
2097,1163.0,10.11716531,0.1024,1.71,421.92
2098,730.0,23.58447697,0.1583,1.24,78.59
2099,1105.0,4.59725385,0.055,1.04,350.6
2100,418.0,20.837846,0.128,0.59,7.51
2101,502.0,12.04,0.08347,0.59,15.62
2102,635.0,5.955,0.0522,0.59,39.95
2103,478.0,55.63934,0.2901,0.98,13.15
2104,1322.0,0.63133235,0.0116,0.71,726.72
2105,418.0,117.93108781,0.4884,1.06,7.45
2106,1089.0,8.09219642,0.0764,1.16,413.6
2107,743.0,30.8638931,0.1978,1.65,86.47
2108,890.0,9.65185017,0.0872,1.05,141.84
2109,779.0,14.37457351,0.1137,1.05,83.43
2110,543.0,50.28638192,0.2678,1.12,20.88
2111,489.0,40.0587473,0.2265,0.9,13.51
2112,419.0,11.41928253,0.0795,0.63,14.44
2113,675.0,14.13176026,0.1106,0.82,44.87
2115,1054.0,0.9867873,0.0175,0.68,750.96
2116,629.0,4.64489,0.0491,0.68,94.78
2117,722.0,3.07222,0.0372,0.68,164.62
2118,495.0,9.52355,0.0792,0.68,36.48
2119,547.0,7.05246,0.0648,0.68,54.38
2120,1680.0,3.5224991,0.0474,1.49,1444.88
2121,893.0,15.19419956,0.1214,1.59,150.25
2122,433.0,133.4605235,0.5167,0.93,6.36
2123,864.0,13.71933369,0.1174,1.29,141.89
2124,605.0,27.07237711,0.181,0.95,90.1
2125,1109.0,6.40087618,0.0662,1.09,962.26
2126,580.0,29.6193421,0.1817,0.96,26.79
2127,952.0,11.13125132,0.1036,1.38,299.97
2128,1177.0,4.24153639,0.0491,0.97,617.41
2129,852.0,11.30119217,0.0988,1.12,176.03
2130,939.0,14.5539759,0.1256,1.47,140.06
2131,634.0,13.73469807,0.101,0.8,38.27
2132,511.0,81.0659,0.386,1.3,18.78
2133,592.0,52.0902,0.287,1.3,33.87
2134,734.0,27.4029,0.187,1.3,79.77
2135,929.0,13.4845,0.117,1.3,205.4
2136,1419.0,8.63847725,0.0951,1.02,312.34
2137,984.0,8.39846269,0.0835,1.23,357.19
2138,1115.0,0.9283105,0.0159,0.62,493.55
2139,348.0,53.5293487,0.2548,0.74,3.66
2140,753.0,1.97376093,0.025,0.71,163.86
2141,688.0,31.5922646,0.1967,1.32,194.38
2142,840.0,7.05395,0.0684,0.87,117.33
2143,991.0,4.29264638,0.0491,0.89,229.1
2144,350.0,158.6853308,0.5444,1.01,3.99
2145,629.0,13.2140732,0.1019,0.78,44.4
2146,2099.0,0.67737516,0.015,1.02,4572.56
2148,425.0,7.09714223,0.0533,0.44,15.03
2149,977.0,3.75574426,0.0453,0.77,216.57
2150,569.0,5.72812599,0.0519,0.56,33.95
2151,904.0,4.89718784,0.0523,0.78,135.08
2152,1612.0,0.97486893,0.0187,0.84,1496.75
2153,1422.0,11.0895723,0.1114,2.42,451.18
2154,1160.0,3.74910006,0.047,1.01,490.71
2155,866.0,12.99207337,0.1071,1.11,264.58
2156,890.0,8.73485836,0.0843,1.05,339.3
2157,1941.0,4.15244722,0.0616,0.92,209.75
2158,2740.0,1.47532231,0.0309,0.92,833.59
2159,1171.0,18.92540274,0.1694,0.92,27.74
2160,1440.0,3.57878087,0.04501,0.99,432.87
2161,803.0,15.9870174,0.1297,1.28,86.76
2162,1037.0,7.42608998,0.0778,1.28,241.13
2163,618.0,11.3910025,0.092,0.78,40.59
2164,366.0,161.5280101,0.5874,0.94,9.37
2165,990.0,6.10027804,0.066,1.15,227.15
2166,641.0,27.6655226,0.1754,1.06,48.95
2167,875.0,7.33683936,0.0724,0.89,160.46
2168,1414.0,1.19655156,0.0205,0.8,974.09
2169,1302.0,3.7705521,0.0493,1.08,1065.73
2170,767.0,10.12804789,0.0874,0.93,95.45
2171,1139.0,2.46697439,0.0333,0.85,453.65
2172,748.0,8.70419416,0.0772,0.85,84.41
2173,2140.0,1.5449298,0.0274,1.32,3583.67
2174,533.0,41.805985,0.2329,1.04,19.02
2175,1144.0,8.1934719,0.0785,1.42,588.4
2176,843.0,20.4966197,0.1447,1.42,173.17
2177,1372.0,4.75793986,0.0547,1.42,1211.82
2178,1005.0,12.1097104,0.1019,1.42,349.19
2179,1734.0,1.02267882,0.019,1.13,3345.45
2180,1741.0,1.22486632,0.0219,0.79,2174.33
2181,1016.0,2.85313364,0.0367,0.77,302.57
2182,1331.0,1.26909037,0.0214,0.77,889.89
2183,758.0,14.5596237,0.116,1.08,216.47
2184,641.0,5.74772501,0.054,0.65,41.67
2185,632.0,18.82747265,0.1353,0.83,45.28
2186,679.0,17.44490636,0.1263,0.84,39.01
2187,1537.0,4.08899022,0.0533,1.23,778.59
2188,1163.0,9.42887179,0.093,1.23,255.74
2189,767.0,8.8849116,0.0818,0.89,106.48
2190,454.0,17.31716585,0.1054,0.75,24.63
2191,938.0,7.40742793,0.0745,1.1,439.78
2192,203.0,1752.92067283,2.906141,1.06,0.14
2212,1311.0,3.98442,0.049,1.05,464.96
2221,1089.0,11.8143,0.1066,1.75,275.64
2233,2042.0,1.0391353,0.02085,1.04,2898.0
2234,1344.0,3.6451398,0.04813,1.04,543.8
2242,385.0,55.087,0.262,0.87,7.42
2243,156.0,2041.54151819,3.167126,1.09,0.1
2255,751.0,9.4897116,0.0805,0.73,41.92
2301,1411.0,0.9809734,0.01782,0.72,661.0
2322,1060.0,7.713057,0.0787,1.08,219.28
2324,757.0,10.28891,0.089,0.84,10.03
2331,1572.0,3.58599,0.048,1.31,989.7
2332,1326.0,5.97293,0.0674,1.31,512.0
2333,1075.0,11.23,0.1027,1.31,217.0
2341,703.0,19.3044,0.137,0.98,54.1
2342,1841.0,1.6739035,0.0301,1.24,1915.0
2345,798.0,1.9741954,0.0242,0.48,62.1
2346,928.0,8.2669928,0.0833,0.97,95.58
2348,1360.0,4.733999,0.0581,1.76,762.0
2349,734.0,39.93767,0.2257,5.15,9.84
2353,1098.0,5.817685,0.0642,1.24,170.93
2354,701.0,11.3909311,0.0943,0.82,40.0
2355,619.0,20.272615,0.143,0.88,33.06
2357,868.0,1.2916,0.0189,0.51,145.8
2358,537.0,5.444017,0.0492,0.51,21.4
2360,666.0,7.727283,0.0698,0.71,54.9
2361,1003.0,8.28212,0.0802,1.01,310.0
2363,738.0,5.1857539,0.0629,0.67,89.5
2364,769.0,2.2193023,0.0373,0.59,79.9
2365,338.0,30.951524,0.1649,0.59,2.9
2366,442.0,6.413651,0.049,0.39,8.7
2368,601.0,7.385655,0.0656,0.65,35.3
2369,809.0,3.588163,0.0411,0.66,105.6
2372,511.0,39.91488,0.2114,0.78,22.8
2374,2062.0,0.369311,0.0095,0.81,3842.25
2375,1586.0,9.1751,0.0916,3.85,293.37
2379,296.0,26.5841,0.1346,0.46,1.8
2381,425.0,17.307137,0.11728,0.66,11.9
2384,1157.0,2.35309,0.03385,0.86,486.0
2385,1012.0,3.56004,0.04461,0.86,279.0
2386,888.0,5.40479,0.05893,0.86,160.0
2387,757.0,8.26146,0.0782,0.86,91.1
2388,653.0,12.75758,0.10447,0.86,51.0
2389,445.0,41.96797,0.23109,0.86,9.29
2391,488.0,8.36802,0.0627,0.45,8.0
2392,962.0,6.569188,0.068,1.06,204.0
2395,534.0,2.6446,0.0248,0.33,20.7
2402,676.0,11.8104,0.091,0.68,48.0
2404,566.0,3.835476,0.0373,0.45,20.8
2405,337.0,32.6479,0.1716,0.61,2.9
2406,497.0,7.51574,0.0614,0.53,11.8
2407,715.0,3.67626,0.0405,0.63,57.5
2408,552.0,7.95486,0.0677,0.63,20.5
2409,708.0,6.342,0.0562,0.58,19.9
2410,583.0,13.85,0.0946,0.58,7.0
2411,381.0,40.718,0.1937,0.58,1.67
2417,658.0,7.6188,0.0667,0.66,44.5
2418,485.0,19.07863,0.1229,0.66,13.1
2428,1131.0,9.97857,0.0999,1.46,229.0
2431,1515.0,0.658524,0.01306,0.7,879.5
2432,664.0,7.814,0.0679,0.7,32.4
2433,538.0,14.697,0.1035,0.7,13.95
2437,455.0,19.562307,0.126,0.68,95.77
2443,284.0,32.939623,0.1429,0.41,1.01
2445,802.0,8.8656511,0.0734,0.72,67.0
2447,969.0,4.7369683,0.0526,0.79,146.9
