,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
3982,8.486616,0.086,1.45,2.7,4.87,0.0,1060.0,12.419,6169.0,1.34,1.17,0.024,930.32
3983,7.186434,0.075,2.1,5.06,3.0,0.0,860.0,12.9,6053.0,1.06,0.95,0.16,876.044
3984,3.289672,0.044,1.65,3.36,4.11,0.0,1116.0,10.948,6053.0,1.06,0.95,0.16,876.044
3985,16.21865,0.1283,3.679,7.13,0.787,0.0,928.0,16.69,5979.0,1.63,1.03,-0.18,527.956
3986,13.86825,0.1153,1.498,3.83,6.26,0.0,978.0,10.111,5979.0,1.63,1.03,-0.18,527.956
3987,77.095691,0.372,4.01,2.7,0.1,0.0,464.0,37.3,6248.0,1.09,1.14,0.08,1443.21
3988,57.68802,0.307,4.3,2.9,0.1,0.0,512.0,42.1,6248.0,1.09,1.14,0.08,1443.21
3989,25.563222,0.178,3.53,12.2,1.52,0.0,671.0,24.6,6248.0,1.09,1.14,0.08,1443.21
3990,83.488369,0.381,2.85,8.5,2.02,0.0,411.0,107.3,5908.0,0.95,0.94,0.035,1101.1
3991,34.060467,0.21,2.72,7.85,2.14,0.0,554.0,59.0,5908.0,0.95,0.94,0.035,1101.1
3992,49.499875,0.246,3.43,11.6,1.58,0.0,402.0,66.49,5036.0,0.83,0.79,0.18,688.573
3993,16.85837,0.12,2.67,7.61,2.2,0.0,576.0,32.4,5036.0,0.83,0.79,0.18,688.573
3994,6.475434,0.063,1.84,4.04,3.56,0.0,793.0,18.92,5036.0,0.83,0.79,0.18,688.573
3995,13.121632,0.115,1.81,3.93,3.64,0.0,913.0,22.6,6133.0,1.33,1.17,-0.023,707.559
3996,4.612696,0.057,1.57,3.09,4.39,0.0,1294.0,11.84,6133.0,1.33,1.17,-0.023,707.559
3997,25.762294,0.179,2.71,7.8,2.15,0.0,633.0,16.1,6184.0,1.07,0.99,0.14,1432.17
3998,11.03189,0.102,1.46,2.73,4.82,0.0,840.0,9.13,6184.0,1.07,0.99,0.14,1432.17
3999,24.209842,0.146,1.24,2.07,5.97,0.0,451.0,39.0,4648.0,0.67,0.65,-0.03,554.064
4000,16.934402,0.115,1.31,2.27,5.55,0.0,508.0,32.6,4648.0,0.67,0.73,-0.03,554.064
4001,5.47666,0.054,1.84,4.04,3.56,0.0,741.0,13.12,4648.0,0.67,0.65,-0.03,554.064
4002,8.410894,0.065,1.38,2.48,5.19,0.0,472.0,12.94,3903.0,0.5,0.55,-0.12,384.694
4003,5.795278,0.051,0.89,0.64,4.99,0.0,534.0,14.27,3903.0,0.5,0.55,-0.12,384.694
4004,6.88727999,0.0657,0.806,0.449,4.71,0.0,788.0,21.41,5208.0,0.77,0.8,-0.14,252.733
4005,16.332995,0.118,1.24,2.07,5.97,0.0,591.0,61.27,5212.0,0.78,0.83,-0.07,252.733
4006,10.05537,0.085,0.86,0.566,4.89,0.0,694.0,26.28,5212.0,0.78,0.83,-0.07,252.733
4007,142.544247,0.5177,2.72,7.85,2.14,0.0,318.0,127.83,5225.0,0.78,0.81,-0.16,1083.91
4008,57.24809,0.287,3.19,11.1,1.88,0.0,431.0,74.36,5643.0,0.85,0.81,-0.16,1083.91
4009,37.054919,0.214,3.06,4.8,0.921,0.0,498.0,59.71,5643.0,0.85,0.81,-0.16,1083.91
4010,26.136,0.1786,2.8,14.9,3.73,0.0,782.0,30.2,6492.3,1.25,1.0,0.041,956.859
4011,17.849,0.1385,3.1,6.1,1.13,0.0,888.0,25.19,6492.3,1.25,1.0,0.041,956.859
4012,11.189562,0.104,1.85,4.08,3.54,0.0,1037.0,9.4,6186.0,1.53,1.19,0.041,956.859
4014,12.247629,0.105,1.96,4.5,3.28,0.0,763.0,28.25,5956.0,0.93,1.02,0.151,940.724
4015,5.929778,0.065,1.9,94.5,75.7,0.0,972.0,18.63,5956.0,0.93,1.02,0.151,940.724
4016,17.265427,0.138,1.33,2.33,5.44,0.0,888.0,26.48,6177.0,1.36,1.27,0.07,570.783
4017,7.05677,0.076,1.52,2.92,4.57,0.0,1196.0,9.2,6177.0,1.36,1.27,0.07,570.783
4018,27.320871,0.183,1.75,3.71,3.8,0.0,705.0,12.22,6088.0,1.0,1.05,0.16,1298.88
4019,12.79836,0.11,1.97,4.54,3.26,0.0,908.0,16.3,6088.0,1.0,1.05,0.16,1298.88
4020,23.851549,0.168,3.07,9.64,1.83,0.0,654.0,29.0,6033.0,1.02,0.95,0.0,984.105
4021,6.511127,0.071,2.66,7.56,2.21,0.0,1008.0,12.1,6033.0,1.02,0.95,0.0,984.105
4022,9.387427,0.077,1.2,2.2,4.8,0.0,575.0,17.44,4504.0,0.62,0.61,0.191,260.0
4023,7.415563,0.066,0.74,0.5,5.2,0.0,622.0,27.61,4504.0,0.62,0.61,0.191,260.0
4024,125.596809,0.488,2.95,9.01,1.93,0.0,360.0,138.52,5774.0,0.98,0.93,0.04,1002.94
4025,21.963945,0.153,2.61,7.32,2.26,0.0,643.0,63.27,5774.0,0.98,0.93,0.04,1002.94
4026,23.22182,0.167,2.02,4.74,3.16,0.0,746.0,71.61,5807.0,1.43,1.08,0.145,927.193
4027,8.96855,0.088,2.41,6.39,2.51,0.0,1024.0,13.19,5807.0,1.43,1.08,0.145,927.193
4028,1.64422461,0.0293,0.88,0.615,4.96,0.0,1897.0,1.825,6366.0,1.34,1.26,0.12,781.611
4029,39.459357,0.242,2.49,6.76,2.41,0.0,658.0,22.4,6175.0,1.47,1.26,-0.001,781.611
4030,26.234138,0.185,1.96,4.5,3.28,0.0,754.0,78.87,6175.0,1.47,1.26,-0.001,781.611
4031,15.170318,0.128,2.25,5.69,2.74,0.0,905.0,11.85,6175.0,1.47,1.26,-0.001,781.611
4032,42.473269,0.242,1.99,4.62,3.22,0.0,539.0,25.9,6012.0,1.02,1.0,0.14,1047.03
4033,27.666313,0.182,1.85,4.08,3.54,0.0,622.0,19.5,6012.0,1.02,1.0,0.14,1047.03
4034,8.01041,0.08,1.7,3.53,3.95,0.0,940.0,14.58,6012.0,1.02,1.0,0.14,1047.03
4035,5.195528,0.06,1.18,1.76,5.89,0.0,1085.0,6.39,6012.0,1.02,1.0,0.14,1047.03
4036,22.824669,0.178,3.37,11.3,1.62,0.0,946.0,27.25,6620.0,1.85,1.65,0.06,808.762
4037,14.844387,0.134,2.53,6.94,2.35,0.0,1092.0,16.56,6620.0,1.85,1.65,0.06,808.762
4039,10.558345,0.091,1.17,14.7,50.4,0.0,796.0,23.91,5631.0,0.8,0.93,0.033,616.637
4040,6.988055,0.069,1.15,7.3,26.4,0.0,914.0,17.42,5631.0,0.8,0.93,0.033,616.637
4041,4.977656,0.055,1.42,2.6,4.99,0.0,1023.0,8.9,5631.0,0.8,0.93,0.033,616.637
4042,9.341,0.0893,1.56,8.5,12.3,0.05,1143.0,8.89,5999.0,1.74,1.14,-0.029,552.798
4043,44.431014,0.257,3.0,9.27,1.89,0.03,680.0,25.1,5923.0,1.74,1.2,-0.029,552.798
4044,24.310856,0.172,2.34,6.08,2.61,0.03,831.0,20.922,5923.0,1.74,1.2,-0.029,552.798
4045,13.726976,0.117,2.44,30.6,11.6,0.04,1005.0,14.4747,5923.0,1.74,1.2,-0.029,552.798
4046,9.693201,0.093,2.05,4.86,3.1,0.0,1017.0,6.6,5684.0,1.76,1.05,0.11,677.975
4047,3.292781,0.045,1.54,2.99,4.5,0.0,1458.0,3.21,5684.0,1.76,1.05,0.11,677.975
4048,20.678772,0.154,2.37,6.21,2.56,0.0,749.0,12.32,5867.0,1.3,1.09,0.337,768.86
4049,9.600001,0.092,2.1,5.06,3.0,0.0,967.0,7.39,5867.0,1.3,1.09,0.337,768.86
4050,2.024823,0.033,1.02,1.04,5.39,0.0,1625.0,2.62,5867.0,1.3,1.09,0.337,768.86
4051,67.844469,0.356,3.07,9.64,1.83,0.0,592.0,40.6,5877.0,1.85,1.02,0.278,1278.97
4052,6.562331,0.075,3.39,11.4,1.61,0.0,1290.0,10.6,5877.0,1.85,1.03,0.278,1278.97
4053,25.09849,0.168,1.41,2.57,5.04,0.0,656.0,69.65,5828.0,1.07,1.07,-0.012,426.59
4054,12.758005,0.107,1.43,2.63,4.94,0.0,822.0,23.597,5828.0,1.07,1.07,-0.012,426.59
4055,5.470319,0.061,1.12,1.46,5.71,0.0,1090.0,13.396,5828.0,1.07,1.07,-0.012,426.59
4056,24.08821,0.135,1.11,1.41,5.67,0.0,386.0,31.0,4259.0,0.53,0.6,0.046,324.413
4057,12.551158,0.087,1.32,28.2,67.4,0.0,480.0,19.8,4259.0,0.53,0.6,0.046,324.413
4058,34.21154,0.189,1.18,1.76,5.89,0.0,427.0,53.58,4955.0,0.72,0.8,-0.1,344.19
4059,15.995622,0.114,1.09,1.32,5.6,0.0,550.0,35.54,4955.0,0.72,0.8,-0.1,344.19
4060,7.626324,0.07,1.17,1.71,5.87,0.0,703.0,24.47,4955.0,0.72,0.8,-0.1,344.19
4061,32.134328,0.159,1.64,3.33,4.15,0.0,346.0,69.9,4347.0,0.49,0.65,0.118,580.119
4062,17.28111,0.105,1.84,4.04,3.56,0.0,425.0,46.2,4347.0,0.49,0.65,0.118,580.119
4063,8.457496,0.065,1.82,3.97,3.62,0.0,540.0,29.4,4347.0,0.49,0.65,0.118,580.119
4064,15.955387,0.116,1.95,4.46,3.31,0.0,573.0,31.7,5117.0,0.72,0.79,0.16,717.527
4065,8.25978,0.075,1.35,2.39,5.34,0.0,714.0,20.5,5117.0,0.72,0.79,0.16,717.527
4066,41.02902,0.2535,4.46,9.6,0.9,0.0,691.0,29.5,5904.0,1.82,1.29,0.025,1209.16
4067,31.7844,0.2138,4.02,5.57,0.8,0.0,752.0,24.9,5904.0,1.82,1.29,0.025,1209.16
4068,21.77596,0.1662,5.35,3.91,0.25,0.0,853.0,19.3,5904.0,1.82,1.29,0.025,1209.16
4069,13.17562,0.1189,3.2,0.39,0.13,0.0,1009.0,13.8,5904.0,1.82,1.29,0.025,1209.16
4070,5.66793,0.0677,1.74,3.68,3.84,0.0,1336.0,7.87,5904.0,1.82,1.29,0.025,1209.16
4071,18.684737,0.113,1.93,4.38,3.35,0.0,402.0,15.8,4257.0,0.52,0.6,-0.44,439.719
4072,7.416397,0.061,1.4,2.54,5.09,0.0,547.0,8.6,4257.0,0.52,0.6,-0.44,439.719
4073,71.312,0.354,5.4,39.4,1.37,0.0,475.0,64.746,6064.0,1.06,1.15,0.08,2213.19
4074,34.921,0.2199,2.3,28.5,12.9,0.0,602.0,11.14,6064.0,1.06,1.15,0.08,2213.19
4075,13.969457,0.09,1.73,3.64,3.86,0.0,387.0,35.0,3799.0,0.49,0.59,-0.2,241.987
4076,5.212333,0.047,1.03,20.3,102.0,0.0,537.0,19.02,3799.0,0.49,0.59,-0.2,241.987
4077,2.549575,0.029,1.11,1.41,5.67,0.0,682.0,11.691,3799.0,0.49,0.59,-0.2,241.987
4078,6.766888,0.066,1.21,6.9,21.4,0.0,781.0,31.42,5105.0,0.8,0.85,0.239,487.675
4079,4.580358,0.051,1.4,17.4,34.8,0.0,889.0,16.777,5105.0,0.8,0.85,0.239,487.675
4080,2.248329,0.032,1.52,44.6,69.8,0.0,1127.0,8.7441,5105.0,0.8,0.85,0.239,487.675
4081,38.715185,0.22,2.79,8.2,2.07,0.0,498.0,81.0,5752.0,1.0,0.92,0.017,823.242
4082,12.762172,0.105,2.54,6.99,2.34,0.0,721.0,38.5,5752.0,1.0,0.92,0.017,823.242
4083,4.544439,0.053,2.91,8.8,1.96,0.0,1017.0,20.495,5752.0,1.0,0.92,0.017,823.242
4084,13.97939968,0.1074,2.039,4.81,3.12,0.0,635.0,25.0,5191.0,0.83,0.84,0.08,501.574
4085,51.805612,0.26,3.15,10.1,1.78,0.0,410.0,23.1,5194.0,0.84,0.87,0.03,501.574
4086,4.385315,0.05,1.14,1.55,5.75,0.0,935.0,13.47,5194.0,0.84,0.87,0.03,501.574
4087,3.553822,0.046,1.63,79.7,101.0,0.0,1292.0,8.872,5987.0,1.18,1.09,-0.215,454.883
4088,1.678327,0.028,1.43,684.4,1290.0,0.0,1659.0,5.5776,5987.0,1.18,1.09,-0.215,454.883
4089,4.337234,0.051,1.67,3.43,4.05,0.0,996.0,13.488,5388.0,0.89,0.92,0.05,400.48
4090,1.653888,0.027,1.01,1.01,5.39,0.0,1373.0,2.95,5388.0,0.89,0.92,0.05,400.48
4091,13.093921,0.11,2.32,5.99,2.64,0.0,752.0,19.5,5740.0,1.19,1.03,0.121,384.542
4092,4.915379,0.057,1.77,3.78,3.75,0.0,1042.0,10.2,5740.0,1.19,1.03,0.121,384.542
4093,17.934937,0.142,1.37,2.45,5.24,0.0,1002.0,6.19,6435.0,1.11,1.33,-0.123,826.613
4094,8.371554,0.085,1.14,1.55,5.75,0.0,1292.0,3.1,6435.0,1.11,1.33,-0.123,826.613
4095,0.74296,0.013,0.82,0.477,4.75,0.0,1026.0,2.37,3900.0,0.53,0.58,0.0,323.847
4096,2.896,0.033,1.5,2.86,4.66,0.0,652.0,13.46,3900.0,0.53,0.58,0.0,323.847
4097,22.7802,0.13,2.7,7.75,2.16,0.0,328.0,55.78,3900.0,0.53,0.58,0.0,323.847
4100,31.781925,0.191,2.29,5.86,2.68,0.0,528.0,29.6,5526.0,0.9,0.96,-0.015,503.436
4101,6.941357,0.069,2.63,7.41,2.24,0.0,876.0,30.38,5526.0,0.9,0.96,-0.015,503.436
4102,4.362705,0.051,1.63,3.29,4.17,0.0,1023.0,15.42,5526.0,0.9,0.96,-0.015,503.436
4103,11.815007,0.105,3.68,13.1,1.44,0.0,762.0,36.756,5746.0,1.19,1.02,0.332,489.141
4104,4.662715,0.056,4.71,19.9,1.05,0.0,1039.0,13.444,5746.0,1.19,1.02,0.332,489.141
4105,8.77501,0.083,1.72,3.61,3.9,0.0,837.0,18.43,5497.0,0.94,0.86,0.13,940.584
4106,5.524242,0.061,2.09,109.8,66.1,0.0,976.0,15.16,5497.0,0.94,0.86,0.13,940.584
4107,6.827766,0.058,1.16,1.65,5.81,0.0,577.0,21.95,4204.0,0.52,0.59,-0.23,384.938
4108,2.240508,0.027,1.06,1.2,5.54,0.0,837.0,11.5,4204.0,0.52,0.59,-0.23,384.938
4109,265.469335,0.791,4.15,16.1,1.24,0.0,291.0,79.8,5796.0,1.04,0.98,-0.28,1160.63
4110,96.101141,0.402,3.77,13.7,1.4,0.0,409.0,26.89,5796.0,1.04,0.98,-0.28,1160.63
4111,5.960392,0.064,2.9,8.75,1.97,0.0,890.0,16.4,5378.0,0.95,1.02,0.322,268.881
4112,2.461069,0.035,0.83,0.498,4.79,0.0,1195.0,9.1,5378.0,0.95,1.02,0.322,268.881
4113,32.273273,0.208,2.57,7.13,2.31,0.0,683.0,21.6,5727.0,1.54,1.08,0.16,1079.3952487
4114,14.970418,0.125,2.53,6.94,2.35,0.0,883.0,13.0,5727.0,1.54,1.08,0.16,1079.3952487
4115,19.747412,0.153,3.15,10.1,1.78,0.0,754.0,44.99,6115.0,1.47,1.23,0.121,797.72
4116,1.772419,0.031,1.29,2.21,5.66,0.0,1685.0,5.572,6115.0,1.47,1.2,0.121,797.72
4117,19.738286,0.145,1.43,2.63,4.94,0.0,744.0,14.1,5905.0,1.19,1.08,-0.01,778.654
4118,9.176092,0.087,1.7,3.53,3.95,0.0,960.0,16.573,5905.0,1.19,1.08,-0.01,778.654
4119,92.876125,0.392,2.47,7.0,3.3,0.0,353.0,44.3,5797.0,0.88,0.91,-0.07,602.268
4120,56.47542,0.281,3.38,11.4,1.62,0.0,417.0,47.0,5797.0,0.88,0.91,-0.07,602.268
4121,13.930698,0.111,1.19,1.81,5.9,0.0,665.0,18.5,5797.0,0.88,0.91,-0.07,602.268
4124,20.8613,0.16,5.5,25.9,0.855,0.0,781.0,31.855,6340.0,1.22,1.21,-0.076,1664.64
4125,105.356383,0.401,2.51,6.85,2.38,0.0,204.0,79.0,4713.0,0.72,0.67,0.11,544.568
4126,5.923653,0.059,1.56,3.05,4.41,0.0,531.0,17.51,4713.0,0.72,0.67,0.11,544.568
4127,15.38231,0.123,2.16,5.31,2.9,0.0,714.0,31.47,5895.0,0.94,0.92,-0.04,1335.92
4128,9.694928,0.09,2.12,5.14,2.96,0.0,833.0,27.7,5895.0,0.94,0.92,-0.04,1335.92
4129,13.0729,0.1068,2.2,3.64,1.74,0.0,739.0,20.34,5367.0,0.81,0.91,0.19,575.581
4130,10.4208,0.0917,2.43,7.44,2.62,0.0,797.0,22.4,5367.0,0.81,0.91,0.19,575.581
4131,44.840975,0.227,2.27,5.77,2.71,0.0,390.0,63.9,4954.0,0.72,0.81,-0.08,775.679
4132,17.326644,0.12,2.47,6.66,2.43,0.0,535.0,28.64,4954.0,0.72,0.81,-0.08,775.679
4133,7.240193,0.067,2.35,6.12,2.59,0.0,716.0,19.58,4954.0,0.72,0.81,-0.08,775.679
4134,4.646186,0.05,1.52,2.92,4.57,0.0,830.0,15.2,4954.0,0.72,0.81,-0.08,775.679
4135,3.20538,0.0399,1.794,3.87,3.68,0.0,1000.0,11.51,4974.0,0.83,0.82,0.04,868.477
4136,16.738661,0.121,2.71,9.1,2.5,0.0,576.0,54.49,5100.0,0.79,0.85,0.03,868.477
4137,8.291,0.0752,3.3,6.0,0.917,0.0,728.0,12.4,5117.0,0.8,0.76,0.03,868.477
4138,5.487,0.0571,3.6,10.5,1.24,0.0,836.0,9.4,5117.0,0.8,0.76,0.03,868.477
4139,1.49914695,0.0232,1.2,1.87,5.95,0.0,1137.0,8.065,4817.0,0.73,0.8,0.05,434.684
4140,9.653471,0.08,2.75,8.0,2.11,0.0,611.0,25.95,4731.0,0.69,0.8,0.05,434.684
4141,5.315946,0.054,2.17,5.35,2.88,0.0,746.0,37.98,4731.0,0.69,0.8,0.05,434.684
4142,3.295709,0.039,2.86,8.55,2.01,0.0,875.0,13.83,4731.0,0.69,0.8,0.05,434.684
4143,7.061149,0.057,1.14,1.55,5.75,0.0,521.0,54.222,3944.0,0.48,0.57,-0.414,209.738
4144,1.937055,0.024,0.89,0.64,4.99,0.0,802.0,10.175,3944.0,0.48,0.57,-0.414,209.738
4146,30.184104,0.193,4.06,15.5,1.27,0.0,634.0,40.33,5740.0,1.22,1.02,0.06,1402.58
4147,13.751243,0.112,1.75,3.71,3.8,0.0,725.0,19.4,5815.0,0.9,0.98,0.187,719.166
4148,5.419026,0.06,1.35,2.39,5.34,0.0,989.0,18.428,5815.0,0.9,0.98,0.187,719.166
4149,2.508553,0.036,1.35,2.39,5.34,0.0,1278.0,8.366,5815.0,0.9,0.98,0.187,719.166
4150,40.714955,0.232,2.25,5.69,2.74,0.0,516.0,32.3,5986.0,0.9,1.07,0.04,1098.45
4151,10.446347,0.094,1.67,3.43,4.05,0.0,812.0,13.0,5986.0,0.9,1.07,0.04,1098.45
4152,143.34394,0.5,8.8,23.1,0.19,0.022,308.0,109.1,5498.0,0.95,0.99,0.18,914.221
4153,60.323105,0.3,12.3,640.0,1.88,0.0111,411.0,61.3,5498.0,0.95,0.99,0.18,914.221
4154,29.33434,0.18,3.9,11.3,1.02,0.042,524.0,37.7,5498.0,0.95,0.99,0.18,914.221
4155,38.285489,0.22,1.87,4.16,3.5,0.0,534.0,44.9,5617.0,1.03,0.95,-0.01,1052.24
4156,15.054786,0.118,1.86,4.12,3.52,0.0,729.0,16.53,5617.0,1.03,0.95,-0.01,1052.24
4157,6.885875,0.07,2.65,7.51,2.22,0.0,946.0,4.86,5617.0,1.03,0.95,-0.01,1052.24
4158,2.927128,0.04,1.32,2.3,5.5,0.0,1258.0,8.902,5617.0,1.03,0.95,-0.01,1052.24
4159,77.473633,0.305,2.5,6.8,2.39,0.0,277.0,95.0,4465.0,0.58,0.66,-0.21,518.204
4160,22.92881,0.136,1.93,4.38,3.35,0.0,416.0,42.0,4465.0,0.58,0.66,-0.21,518.204
4161,10.475464,0.08,1.96,4.5,3.28,0.0,540.0,34.09,4465.0,0.58,0.66,-0.21,518.204
4162,74.920137,0.336,6.54,42.1,0.827,0.0,409.0,78.2,5619.0,0.92,0.98,-0.1,692.14
4163,38.871826,0.217,2.87,48.5,11.3,0.0,509.0,50.414,5619.0,0.92,0.98,-0.1,692.14
4164,63.33627,0.255,1.8,3.89,3.2,0.33,274.0,115.1,3740.0,0.48,0.5,-0.08,167.0
4165,34.14211,0.169,1.53,2.96,4.1,0.33,337.0,76.2,3740.0,0.48,0.5,-0.08,167.0
4166,19.850291,0.118,2.09,5.02,1.9,0.33,403.0,53.1,3740.0,0.48,0.5,-0.08,167.0
4167,5.8416366,0.0521,2.0,4.66,1.2,0.33,606.0,23.5,3740.0,0.48,0.5,-0.08,167.0
4168,10.864384,0.079,1.61,3.22,3.0,0.33,495.0,35.5,3740.0,0.48,0.5,-0.08,167.0
4169,33.884054,0.192,1.36,2.42,5.29,0.0,533.0,14.7,5603.0,0.9,0.89,-0.01,1699.19
4170,21.526258,0.142,1.17,1.71,5.87,0.0,621.0,19.86,5603.0,0.9,0.89,-0.01,1699.19
4171,12.645164,0.099,1.22,1.98,5.99,0.0,741.0,4.41,5603.0,0.9,0.89,-0.01,1699.19
4172,6.6264,0.071,2.71,7.8,2.15,0.0,895.0,16.27,5913.0,0.98,0.95,0.16,1357.01
4173,3.701212,0.048,1.77,3.78,3.75,0.0,1087.0,11.634,5913.0,0.98,0.95,0.16,1357.01
4174,54.155743,0.286,3.83,14.0,1.37,0.0,466.0,43.5,5804.0,0.96,0.94,0.04,974.633
4175,19.254196,0.144,3.07,9.64,1.83,0.0,657.0,32.87,5804.0,0.96,0.94,0.04,974.633
4176,20.834237,0.141,2.35,6.12,2.59,0.0,563.0,18.3,5299.0,0.83,0.85,-0.07,1056.48
4177,11.97901,0.097,2.67,7.61,2.2,0.0,678.0,24.92,5299.0,0.83,0.85,-0.07,1056.48
4178,7.055679,0.068,2.23,5.6,2.77,0.0,808.0,17.53,5299.0,0.83,0.85,-0.07,1056.48
4179,3.715335,0.045,1.47,2.76,4.77,0.0,1001.0,5.8,5299.0,0.83,0.85,-0.07,1056.48
4180,2.580827,0.035,1.32,2.3,5.5,0.0,1130.0,4.5,5299.0,0.83,0.85,-0.07,1056.48
4181,5.700786,0.065,1.88,4.19,3.47,0.0,1035.0,27.02,6002.0,1.02,0.9,-0.11,1786.48
4182,3.546511,0.047,2.16,5.31,2.9,0.0,1212.0,11.91,6002.0,1.02,0.9,-0.11,1786.48
4183,36.77031,0.205,2.7,7.75,2.16,0.0,437.0,33.9,5147.0,0.74,0.8,-0.06,694.627
4184,14.589347,0.11,2.25,5.69,2.74,0.0,594.0,47.44,5147.0,0.74,0.8,-0.06,694.627
4185,13.28613,0.1087,2.34,4.5,1.91,0.0,715.0,31.83,5378.0,0.73,0.76,-0.44,832.532
4186,10.33974,0.0919,2.55,5.0,1.65,0.0,777.0,24.95,5378.0,0.73,0.76,-0.44,832.532
4188,125.8518,0.51,11.59,132.0,0.47,0.0,394.0,108.6,5990.0,1.0,1.08,0.05,704.438
4189,34.545,0.21,2.15,7.3,4.1,0.0,607.0,45.9,5990.0,1.0,1.08,0.05,704.438
4190,56.633742,0.287,2.67,7.61,2.2,0.0,570.0,20.5,5918.0,1.09,1.03,0.16,1194.15
4191,19.305772,0.14,2.85,8.5,2.02,0.0,815.0,35.21,5918.0,1.09,1.03,0.16,1194.15
4192,6.097326,0.065,1.67,3.43,4.05,0.0,1197.0,13.768,5918.0,1.09,1.03,0.16,1194.15
4193,44.851896,0.246,3.26,10.7,1.7,0.0,513.0,43.3,5806.0,1.03,0.97,0.117,835.86
4194,20.342199,0.145,2.33,6.04,2.62,0.0,667.0,38.0,5806.0,1.03,0.97,0.117,835.86
4195,29.221289,0.176,1.77,3.78,3.75,0.0,539.0,58.14,5580.0,0.86,0.96,-0.12,1226.85
4196,5.914323,0.061,1.33,2.33,5.44,0.0,919.0,17.223,5580.0,0.86,0.96,-0.12,1226.85
4197,3.468095,0.042,1.37,2.45,5.24,0.0,1098.0,11.29,5580.0,0.86,0.96,-0.12,1226.85
4198,1.796302,0.027,1.24,2.07,5.97,0.0,1367.0,7.288,5580.0,0.86,0.96,-0.12,1226.85
4199,6.186676,0.064,1.12,1.46,5.71,0.0,851.0,16.46,5411.0,0.81,0.82,0.16,824.31
4200,2.633867,0.036,1.34,2.36,5.39,0.0,1131.0,9.91,5411.0,0.81,0.82,0.16,824.31
4201,37.514456,0.213,2.61,7.32,2.26,0.0,478.0,55.2,5615.0,0.81,0.92,0.14,1031.95
4202,12.699149,0.104,2.24,5.65,2.76,0.0,686.0,26.8,5615.0,0.81,0.92,0.14,1031.95
4203,92.743711,0.341,1.82,3.97,3.62,0.0,240.0,132.45,4351.0,0.57,0.6,-0.17,468.094
4204,11.008151,0.082,2.13,5.18,2.95,0.0,488.0,43.185,4351.0,0.57,0.6,-0.17,468.094
4205,44.347,0.2269,3.1,56.2,10.4,0.0,484.0,54.15,5699.0,0.89,0.97,-0.25,1337.61
4206,24.806,0.154,2.46,61.0,22.5,0.0,588.0,31.527,5699.0,0.89,0.97,-0.25,1337.61
4207,13.638723,0.106,1.2,1.87,5.95,0.0,717.0,19.33,5602.0,0.9,0.79,-0.25,1337.61
4208,9.220524,0.082,1.01,1.01,5.39,0.0,817.0,14.511,5602.0,0.9,0.79,-0.25,1337.61
4209,148.2720032,0.5456,5.937,29.5,0.774,0.0,321.0,74.0,5717.0,0.88,0.98,0.0,1745.45
4210,36.337373,0.215,5.31,24.4,0.896,0.0,513.0,29.0,5723.0,0.9,0.95,0.02,1745.45
4211,14.646008,0.117,2.82,8.35,2.05,0.0,694.0,15.8,5723.0,0.9,0.95,0.02,1745.45
4212,4.807091,0.056,2.01,4.7,3.18,0.0,1088.0,13.5,5744.0,0.89,0.96,0.121,780.361
4213,2.139542,0.032,1.45,2.7,4.87,0.0,1425.0,8.089,5744.0,0.89,0.96,0.121,780.361
4216,54.414,0.2901,3.1,37.5,0.3,0.0,574.0,24.99,6689.45,1.07,1.1,-0.114,1037.4
4217,35.736,0.2236,4.3,49.4,0.3,0.0,774.0,18.88,6689.45,1.07,1.1,-0.114,1037.4
4218,12.309681,0.112,3.62,12.8,1.48,0.0,1104.0,9.279,6363.0,1.75,1.16,-0.114,1037.4
4219,51.078775,0.294,3.59,12.6,1.5,0.51,702.0,25.0,4991.0,2.94,1.08,0.271,443.03
4220,30.160546,0.207,4.07,15.6,1.27,0.04,836.0,17.6,4991.0,2.94,1.08,0.271,443.03
4221,33.006,0.2129,3.36,64.2,9.3,0.0,778.0,11.7,5946.0,1.69,1.12,0.1,976.643
4222,17.324,0.1385,2.92,87.3,19.3,0.0,964.0,7.59,5946.0,1.69,1.12,0.1,976.643
4223,48.648,0.2642,2.8,16.3,4.08,0.0,489.0,22.0,5779.0,1.03,1.1,0.02,1144.86
4224,31.884,0.1994,2.9,16.6,3.74,0.0,563.0,17.44,5779.0,1.03,1.1,0.02,1144.86
4225,14.12841,0.119,2.87,8.6,2.0,0.0,739.0,30.06,6105.0,1.05,1.04,0.02,1144.86
4226,35.676062,0.224,3.33,11.1,1.65,0.0,671.0,32.5,6165.0,1.38,1.16,0.0,2034.25
4227,16.088134,0.132,3.38,11.4,1.62,0.0,875.0,22.02,6165.0,1.38,1.16,0.0,2034.25
4228,10.300682,0.098,2.34,6.08,2.61,0.0,1015.0,16.36,6165.0,1.38,1.16,0.0,2034.25
4229,33.197861,0.204,1.84,4.04,3.56,0.0,678.0,57.14,6023.0,1.01,1.08,-0.211,1333.62
