,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius_[earth_radius],planet_mass_or_mass*sin(i)_[earth_mass],planet_density_[g/cm**3],eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
960,HD 31527 d,HD 31527,271.67370000,0.809800,3.460,11.82000,1.570000,0.240000, , ,5898.00,1.07,0.96,-0.170,38.4473000
961,HD 3167 b,HD 3167,0.95965428,0.018020,1.627,4.73000,5.500000,0.100000,1777,4.450000,5300.00,0.87,0.85,0.037,47.2899000
962,HD 3167 c,HD 3167,29.84649480,0.178300,2.923,10.67000,2.350000,0.150000,565,44.010000,5300.00,0.87,0.85,0.037,47.2899000
963,HD 3167 d,HD 3167,8.47830000,0.077030,2.090,5.03000,3.030000,0.440000,860,19.020000,5300.00,0.87,0.85,0.037,47.2899000
964,HD 3167 e,HD 3167,102.09000000,0.404800,3.090,9.74000,1.810000,0.600000,375,99.930000,5300.00,0.87,0.85,0.037,47.2899000
965,HD 32518 b,HD 32518,157.54000000,0.590000,13.100,966.16000,2.360000,0.010000, , ,4580.00,10.22,1.13,-0.150,122.1150000
966,HD 32963 b,HD 32963,2372.00000000,3.410000,14.000,222.48100,0.446000,0.070000, , ,5727.00,1.11,0.94,0.110,38.0786000
967,HD 330075 b,HD 330075,3.38773000,0.040000,14.300,152.55840,0.287000,0.000000,990, ,5000.00,0.84,0.47,0.050,45.2989000
968,HD 331093 b,HD 331093,621.62000000,1.440000,13.600,476.74261,1.040000,0.590000, , ,5544.00,1.11,1.03,0.170,50.1928000
969,HD 33142 b,HD 33142,330.00000000,1.074000,13.700,400.46379,0.856000,0.049000, , ,5025.40,4.17,1.52,0.060,121.3750000
970,HD 33142 c,HD 33142,810.20000000,1.955000,13.900,282.86728,0.579000,0.081000, , ,5025.40,4.17,1.52,0.060,121.3750000
971,HD 33142 d,HD 33142,89.90000000,0.452000,9.320,63.56568,0.431000,0.191000, , ,5025.40,4.17,1.52,0.060,121.3750000
972,HD 332231 b,HD 332231,18.71204000,0.143600,9.718,77.55052,0.464000,0.032000,876,24.210000,6089.00,1.28,1.13,0.036,80.6665000
973,HD 33283 b,HD 33283,18.19910000,0.150800,12.500,104.56607,0.294000,0.399000, , ,5935.00,1.97,1.38,0.350,89.8623000
974,HD 33564 b,HD 33564,388.00000000,1.100000,12.500,2892.10000,8.140000,0.340000, , ,6250.00,1.44,1.25,-0.120,20.9531000
975,HD 33844 b,HD 33844,551.40002000,1.600000,13.400,638.83830,1.460000,0.150000, , ,4861.00,5.39,1.84,0.270,105.7790000
976,HD 33844 c,HD 33844,916.00000000,2.240000,13.500,556.20250,1.240000,0.130000, , ,4861.00,5.29,1.78,0.270,105.7790000
977,HD 34445 b,HD 34445,1049.00000000,2.070000,13.900,260.62060,0.533000,0.270000, , ,5879.00,1.38,1.14,0.180,46.0907000
978,HD 34445 c,HD 34445,214.67000000,0.718100,8.420,53.50000,0.492000,0.036000, , ,5836.00,1.38,1.07,0.140,46.0907000
979,HD 34445 d,HD 34445,117.87000000,0.481700,6.070,30.70000,0.754000,0.027000, , ,5836.00,1.38,1.07,0.140,46.0907000
980,HD 34445 e,HD 34445,49.17500000,0.268700,4.260,16.80000,1.190000,0.090000, , ,5836.00,1.38,1.07,0.140,46.0907000
981,HD 34445 f,HD 34445,676.80000000,1.543000,6.880,37.90000,0.640000,0.031000, , ,5836.00,1.38,1.07,0.140,46.0907000
