,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius_[earth_radius],planet_mass_or_mass*sin(i)_[earth_mass],planet_density_[g/cm**3],eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc]
2613,K2-138 f,K2-138,12.75758000,0.104470,2.904,1.63000,0.400000,0.062000,653,26.100000,5356.30,0.86,0.94,0.140,202.5850000
2614,K2-138 g,K2-138,41.96797000,0.231090,3.013,4.32000,0.900000,0.059000,445,57.700000,5356.30,0.86,0.94,0.140,202.5850000
2615,K2-139 b,K2-139,28.38061900,0.179600,9.110,123.00021,0.910000,0.120000,524,47.250000,5370.00,0.88,0.96,0.240,153.8560000
2616,K2-14 b,K2-14,8.36802000,0.062700,4.810,20.70000,1.020000,0.140000,488,30.160000,3789.00,0.45,0.47,-0.370,364.0480000
2617,K2-140 b,K2-140,6.56918800,0.068000,13.563,295.58042,0.660000,0.000000,962,14.100000,5585.00,1.06,0.96,0.100,347.9170000
2618,K2-141 b,K2-141,0.28032440,0.007160,1.510,5.08000,8.200000,0.000000,2039,2.292000,4599.00,0.68,0.71,-0.060,61.8736000
2619,K2-141 c,K2-141,7.74850000, ,7.000,7.40000, ,0.000000, ,21.590000,4599.00,0.68,0.71,-0.060,61.8736000
2620,K2-146 b,K2-146,2.64460000,0.024800,2.050,5.77000,3.690000,0.129000,534,15.250000,3385.00,0.33,0.33,-0.020,79.3002000
2621,K2-146 c,K2-146,4.00498000,0.032700,2.190,7.49000,3.920000,0.075000, ,20.064000,3385.00,0.33,0.33,-0.020,79.3002000
2622,K2-147 b,K2-147,0.96191800,0.015900,0.730,0.31500,4.450000, , ,7.900000,3775.00,0.31,0.58,-0.100,90.5494000
2623,K2-148 b,K2-148,4.38395000,0.045400,1.330,2.33000,5.440000, , ,16.700000,4079.00,0.63,0.65,-0.110,124.4580000
2624,K2-148 c,K2-148,6.92260000,0.061600,1.730,3.64000,3.860000, , ,27.300000,4079.00,0.63,0.65,-0.110,124.4580000
2625,K2-148 d,K2-148,9.75790000,0.077400,1.640,3.33000,4.150000, , ,36.300000,4079.00,0.63,0.65,-0.110,124.4580000
2626,K2-149 b,K2-149,11.33200000,0.083000,1.640,3.33000,4.150000, , ,34.300000,3745.00,0.57,0.59,0.110,123.6760000
2627,K2-15 b,K2-15,11.81040000,0.091000,2.480,6.71000,2.420000, ,676,28.840000,5131.00,0.68,0.72,-0.460,493.9920000
2628,K2-150 b,K2-150,10.59357000,0.072700,2.000,4.66000,3.200000, , ,32.200000,3499.00,0.44,0.46,0.090,102.4830000
2629,K2-151 b,K2-151,3.83547600,0.037300,1.490,2.83000,4.700000, ,566,17.360000,3695.00,0.45,0.47,-0.190,69.4798000
2630,K2-152 b,K2-152,32.64790000,0.171600,2.290,5.86000,2.680000, ,337,58.800000,4044.00,0.61,0.63,0.120,108.4490000
2631,K2-153 b,K2-153,7.51574000,0.061400,2.000,4.66000,3.200000, ,497,23.600000,3845.00,0.53,0.55,-0.090,143.1250000
2632,K2-154 b,K2-154,3.67626000,0.040500,1.990,4.62000,3.220000, ,715,14.500000,4097.00,0.63,0.65,0.210,129.3560000
2633,K2-154 c,K2-154,7.95486000,0.067700,2.070,4.94000,3.060000, ,552,24.900000,4097.00,0.63,0.65,0.210,129.3560000
2634,K2-155 b,K2-155,6.34200000,0.056200,1.800,3.89000,3.670000, ,708,18.500000,4258.00,0.58,0.65,-0.300,72.7998000
2635,K2-155 c,K2-155,13.85000000,0.094600,2.600,7.27000,2.270000, ,583,27.000000,4258.00,0.58,0.65,-0.300,72.7998000
2636,K2-155 d,K2-155,40.71800000,0.193700,1.900,4.27000,3.420000, ,381,63.300000,4258.00,0.58,0.65,-0.300,72.7998000
2637,K2-156 b,K2-156,0.81314300,0.014900,1.100,1.37000,5.660000, ,1347,4.400000,4460.00,0.62,0.66,-0.330,150.2100000
2638,K2-157 b,K2-157,0.36526100, ,1.000,0.97200,5.340000, , ,2.200000,5456.00,0.88,0.94,0.130,298.3730000
2639,K2-158 b,K2-158,10.06049000,0.088700,2.640,7.46000,2.230000, ,794,19.100000,5503.00,0.95,0.92,0.070,197.2990000
2640,K2-158 c,K2-158,5.90279000,0.062200,1.280,2.18000,5.710000, ,948,11.300000,5503.00,0.95,0.92,0.070,197.2990000
2641,K2-159 b,K2-159,12.42205000,0.101300,2.260,5.73000,2.730000, ,684,27.900000,5425.00,0.83,0.90,-0.070,170.9980000
2642,K2-16 b,K2-16,7.61880000,0.066700,2.020,4.74000,3.160000, ,658,19.000000,4742.00,0.66,0.68,-0.330,334.9670000
2643,K2-16 c,K2-16,19.07863000,0.122900,2.540,6.99000,2.340000, ,485,22.800000,4742.00,0.66,0.68,-0.330,334.9670000
2644,K2-160 b,K2-160,3.70587100, ,3.178,10.20000,1.750000, , ,14.684713,5649.00,0.91,0.98,0.070,315.3630000
2645,K2-161 b,K2-161,9.28318800, ,6.117,31.10000,0.747000, , ,10.790043,4972.00,2.57,0.99,-0.030,916.3190000
2646,K2-162 b,K2-162,9.45889000,0.079500,1.440,2.67000,4.910000, ,631,23.600000,4842.00,0.69,0.75,-0.170,124.4330000
2647,K2-163 b,K2-163,6.67311700, ,2.466,6.65000,2.440000, , ,15.663288,4937.00,0.76,0.83,0.140,208.5290000
2648,K2-164 b,K2-164,17.35506600, ,3.249,10.60000,1.700000, , ,13.912102,5791.00,2.20,1.18,-0.230,375.6700000
2649,K2-165 b,K2-165,2.35499200, ,1.274,2.17000,5.760000, , ,9.208522,5185.00,0.80,0.83,-0.050,134.5910000
2650,K2-165 c,K2-165,4.38274500, ,1.554,3.03000,4.440000, , ,10.510761,5185.00,0.80,0.83,-0.050,134.5910000
2651,K2-165 d,K2-165,14.10136100, ,2.648,7.50000,2.220000, ,629,27.729097,5185.00,0.80,0.83,-0.050,134.5910000
2652,K2-166 b,K2-166,8.52695000,0.085800,2.190,5.43000,2.840000, ,1140,11.100000,5960.00,1.61,1.16,0.090,476.8820000
2653,K2-167 b,K2-167,9.97857000,0.099900,2.264,5.75000,2.720000,0.410000,1131,14.720000,6141.00,1.46,1.34,0.425,80.8994000
2654,K2-168 b]],1493,K2-264 b,K2-264,5.84000200,0.050230,2.231,5.61000,2.780000,0.500000,496,22.840000,3660.00,0.47,0.50
2655,K2-264 c,K2-264,19.66030200,0.112830,2.668,7.60000,2.200000,0.450000,331,51.300000,3660.00,0.47,0.50,-0.013,185.6050000
2656,K2-265 b,K2-265,2.36917200,0.033760,1.710,6.54000,7.100000,0.084000, ,7.283787,5477.00,0.98,0.92,0.078,138.6710000
2657,K2-266 b,K2-266,0.65852400,0.013060,3.300,11.26782,1.720000, ,1515,4.000000,4285.00,0.70,0.69,-0.120,77.5586000
2658,K2-266 c,K2-266,7.81400000,0.067900,0.705,0.29013,4.550000,0.042000,664,20.800000,4285.00,0.70,0.69,-0.120,77.5586000
2659,K2-266 d,K2-266,14.69700000,0.103500,2.930,8.90000,2.030000,0.047000,538,31.700000,4285.00,0.70,0.69,-0.120,77.5586000
2660,K2-172 b,K2-172,14.31694100, ,1.666,3.42000,4.060000, , ,25.147602,5569.00,0.87,0.93,-0.060,249.7420000
2661,K2-172 c,K2-172,29.62682000, ,3.206,10.40000,1.730000, , ,44.208935,5569.00,0.87,0.93,-0.060,249.7420000
2662,K2-173 b,K2-173,5.86869900, ,1.608,3.22000,4.250000, , ,12.982789,5580.00,0.84,0.88,-0.250,228.6410000
2663,K2-174 b,K2-174,19.56230700,0.126000,2.600,7.27000,2.270000, ,455,26.600000,4455.00,0.68,0.70,0.113,99.9293000
2664,K2-175 b,K2-175,9.52598800, ,2.038,4.81000,3.120000, , ,11.060886,5909.00,1.42,1.09,0.050,247.2660000
2665,K2-176 b,K2-176,5.32943900, ,1.491,2.83000,4.690000, , ,13.810807,5428.00,0.86,0.94,0.150,247.3020000
2666,K2-177 b,K2-177,14.15518500, ,2.116,5.13000,2.970000, , ,10.638946,6063.00,1.21,1.21,0.410,492.1670000
2667,K2-178 b,K2-178,8.74781800, ,3.558,12.40000,1.510000, , ,18.513049,5525.00,0.89,0.95,0.090,214.7530000
2668,K2-179 b,K2-179,5.17219100, ,2.513,6.86000,2.380000, , ,20.135239,5015.00,0.77,0.82,0.030,190.8100000
2669,K2-18 b,K2-18,32.93962300,0.142900,2.370,8.92000,4.110000,0.200000,284,83.830000,3457.00,0.41,0.36,0.120,38.0266000
2670,K2-18 c,K2-18,8.96200000,0.060000,2.650,7.51000,2.220000,0.470000,363, ,3457.00,0.41,0.36,0.090,38.0266000
2671,K2-180 b,K2-180,8.86565110,0.073400,2.520,11.44182,5.600000,0.000000,802,21.930000,5306.00,0.72,0.72,-0.500,203.8960000
2672,K2-181 b,K2-181,6.89425600,0.070600,2.840,8.45000,2.030000, ,962,18.790000,5608.00,1.07,0.99,0.230,360.9110000
2673,K2-182 b,K2-182,4.73696830,0.052600,2.690,20.00000,5.600000,0.040000,969,14.230000,5170.00,0.79,0.86,0.120,154.8300000
2674,K2-183 b,K2-183,0.46928500, ,1.100,1.37000,5.660000, , ,2.500000,5482.00,0.87,0.94,0.090,329.0410000
2675,K2-183 c,K2-183,10.78799200,0.093200,2.300,5.90000,2.660000, ,787,22.000000,5482.00,0.87,0.94,0.090,329.0410000
2676,K2-183 d,K2-183,22.62034400,0.152700,2.300,5.90000,2.660000, ,615,49.000000,5482.00,0.87,0.94,0.090,329.0410000
2677,K2-184 b,K2-184,16.97801020,0.168500,1.470,2.76000,4.770000, ,533,48.360000,5245.00,0.75,0.84,-0.100,75.5857000
2678,K2-185 b,K2-185,10.61638400, ,1.150,1.60000,5.780000, ,809,21.500000,5788.00,0.94,0.96,-0.100,268.3570000
2679,K2-185 c,K2-185,52.71349400, ,2.390,6.30000,2.540000, ,477,62.620000,5788.00,0.94,0.96,-0.100,268.3570000
2680,K2-186 b,K2-186,41.47421900, ,3.172,10.20000,1.760000, , ,48.939252,5784.00,0.98,1.02,0.060,330.7390000
2681,K2-187 b,K2-187,0.77401000,0.016400,1.200,1.87000,5.950000, ,1815,3.900000,5438.00,0.83,0.97,0.000,330.9160000
2682,K2-187 c,K2-187,2.87151200,0.039200,1.400,2.54000,5.090000, ,1173,9.200000,5438.00,0.83,0.97,0.000,330.9160000
2683,K2-187 d,K2-187,7.14958400,0.072000,2.400,6.35000,2.520000, ,865,18.000000,5438.00,0.83,0.97,0.000,330.9160000
2684,K2-187 e,K2-187,13.60662900,0.110600,1.900,4.27000,3.420000, ,698,28.000000,5438.00,0.83,0.97,0.000,330.9160000
2685,K2-188 b,K2-188,1.74216900,0.028900,1.350,2.39000,5.340000, ,1692,4.670000,5977.00,1.19,1.06,-0.010,446.8210000
2686,K2-188 c,K2-188,7.81025300,0.078500,2.830,8.40000,2.040000, ,1026,15.560000,5977.00,1.19,1.06,-0.010,446.8210000
2687,K2-189 b,K2-189,2.58830900,0.036100,1.520,2.92000,4.570000, ,1197,7.950000,5519.00,0.87,0.94,0.000,242.1130000
2688,K2-189 c,K2-189,6.67919500,0.068000,2.500,6.80000,2.390000, ,872,18.170000,5519.00,0.87,0.94,0.000,242.1130000
2689,K2-19 b,K2-19,7.92220000,0.074000,7.000,32.40000,0.334000,0.200000,854,18.500000,5322.00,0.82,0.88,0.060,289.8270000
2690,K2-19 c,K2-19,11.89930000,0.097100,4.100,10.80000,0.940000,0.210000,745,24.090000,5322.00,0.82,0.88,0.060,289.8270000
2691,K2-19 d,K2-19,2.50810000,0.034400,1.110,10.00000,51.400000,0.000000,1252,7.582944,5322.00,0.82,0.88,0.060,289.8270000
2692,K2-190 b,K2-190,10.09885800, ,1.357,2.41000,5.300000, , ,17.225461,5631.00,0.91,0.90,-0.190,160.6790000
2693,K2-190 c,K2-190,21.57402300, ,1.093,1.34000,5.640000, , ,27.966545,5631.00,0.91,0.90,-0.190,160.6790000
2694,K2-191 b,K2-191,2.85864600, ,1.579,3.12000,4.360000, , ,8.602679,5176.00,0.84,0.90,0.310,287.1880000
2695,K2-192 b,K2-192,4.16281700,0.049000,1.520,2.92000,4.570000, ,939,17.640000,5222.00,0.81,0.90,0.150,221.7530000
2696,K2-193 b,K2-193,14.78688900,0.118400,3.950,14.80000,1.320000, ,739,26.080000,5817.00,0.98,1.01,0.000,411.9230000
2697,K2-194 b,K2-194,39.72138600, ,3.642,12.90000,1.470000, , ,30.988860,5979.00,1.28,1.11,0.100,629.5100000
2698,K2-195 b,K2-195,15.85297500,0.120800,3.130,9.96000,1.780000, ,720,24.330000,5713.00,0.99,0.94,-0.100,315.0140000
2699,K2-195 c,K2-195,28.48278600, ,2.576,7.16000,2.300000, , ,27.673288,5712.00,0.91,0.96,-0.090,315.0140000
2700,K2-196 b,K2-196,48.32422200, ,3.600,12.60000,1.480000, , ,23.462939,6045.00,1.54,1.16,0.010,584.8770000
2701,K2-197 b,K2-197,8.35788100,0.080600,2.560,7.08000,2.320000, ,848,16.290000,5667.00,0.93,1.00,0.080,247.6370000
2702,K2-198 b,K2-198,17.04286830, ,4.189,16.30000,1.220000, ,716,25.860000,5212.90,0.76,0.80,0.094,110.5670000
2703,K2-198 c,K2-198,3.35960550, ,1.423,2.61000,4.980000, ,1230,8.760000,5212.90,0.76,0.80,0.094,110.5670000
2704,K2-198 d,K2-198,7.45001770, ,2.438,6.52000,2.470000, ,943,14.900000,5212.90,0.76,0.80,0.094,110.5670000
2705,K2-199 b,K2-199,3.22539930,0.038200,1.730,6.90000,7.200000,0.020000,913,12.070000,4491.00,0.68,0.71,-0.010,107.5180000
2706,K2-199 c,K2-199,7.37448970,0.066200,2.850,12.40000,2.900000,0.030000,694,20.960000,4491.00,0.68,0.71,-0.010,107.5180000
2707,K2-200 b,K2-200,2.84988300, ,1.364,2.43000,5.260000, , ,13.198523,5233.00,0.79,0.86,-0.040,184.1310000
2708,K2-201 b,K2-201,1.05979000, ,1.400,2.54000,5.090000, , ,4.652897,5507.00,0.88,0.96,0.130,197.9320000
2709,K2-201 c,K2-201,22.77987800, ,3.286,10.80000,1.670000, , ,40.683505,5507.00,0.88,0.96,0.130,197.9320000
2710,K2-202 b,K2-202,3.40516400, ,2.302,5.91000,2.660000, , ,11.942004,5491.00,0.91,0.97,0.270,300.3970000
2711,K2-203 b,K2-203,9.69510100, ,1.371,2.45000,5.230000, , ,19.031555,5000.00,0.76,0.79,-0.070,166.1470000
2712,K2-204 b,K2-204,7.05578400, ,3.046,9.51000,1.850000, , ,11.042580,5755.00,1.18,1.01,0.070,577.2350000
2713,K2-205 b,K2-205,26.67226300, ,1.996,4.64000,3.210000, , ,31.035514,5890.00,1.08,0.95,-0.260,405.3010000
2714,K2-206 b,K2-206,18.29454900, ,2.795,8.22000,2.070000, , ,28.284030,5043.00,0.76,0.79,-0.140,244.4430000
2715,K2-207 b,K2-207,12.48749000, ,2.606,7.30000,2.270000, , ,21.180496,5522.00,0.93,0.94,0.110,363.0640000
2716,K2-208 b,K2-208,4.19094800, ,1.679,3.46000,4.020000, , ,14.156898,5582.00,0.86,0.93,-0.110,256.8870000
2717,K2-209 b,K2-209,2.08061500, ,0.869,0.58600,4.920000, , ,8.501853,4720.00,0.71,0.74,-0.060,76.4986000
2718,K2-21 b,K2-21,9.32503800,0.076000,1.840,4.04000,2.700000,0.100000,500,25.370000,4222.06,0.65,0.68,-0.110,83.6448000
2719,K2-21 c,K2-21,15.50192000,0.107000,2.490,6.76000,5.400000,0.210000,420,35.500000,4222.06,0.65,0.68,-0.110,83.6448000
2720,K2-210 b,K2-210,0.57023000, ,0.860,0.56600,4.890000, , ,4.400000,5500.00,0.89,0.91,0.000,176.5100000
2721,K2-211 b,K2-211,0.66953200, ,1.300,2.24000,5.600000, , ,3.700000,5360.00,0.79,0.88,-0.040,272.2970000
2722,K2-212 b,K2-212,9.79564700,0.078500,2.650,7.51000,2.220000, ,542,27.970000,4349.00,0.68,0.62,0.030,109.2180000
2723,K2-213 b,K2-213,8.13087000, ,1.514,2.90000,4.590000, , ,13.249090,5794.00,1.20,1.07,0.250,389.7020000
2724,K2-214 b,K2-214,8.59680200,0.083400,2.430,6.48000,2.480000, ,1006,16.180000,5854.00,1.27,1.05,0.050,300.6400000
2725,K2-215 b,K2-215,8.26964800, ,2.124,5.16000,2.960000, , ,28.084531,5704.00,0.97,1.00,0.110,403.9640000
2726,K2-216 b,K2-216,2.17480000,0.028000,1.750,8.00000,8.200000,0.000000,1103,8.300000,4503.00,0.72,0.70,0.000,115.4610000
2727,K2-217 b,K2-217,14.07452400, ,3.579,12.50000,1.500000, , ,16.108984,5967.00,1.33,1.10,0.040,381.8780000
2728,K2-218 b,K2-218,8.67988500, ,2.569,7.13000,2.310000, , ,16.021068,5757.00,1.01,1.05,0.250,394.0830000
2729,K2-219 b,K2-219,3.90128700, ,1.348,2.38000,5.340000, , ,9.031985,5753.00,1.19,1.02,0.130,325.4000000
2730,K2-219 c,K2-219,6.66767000, ,1.438,2.66000,4.910000, , ,10.347938,5753.00,1.19,1.02,0.130,325.4000000
2731,K2-219 d,K2-219,11.13727800, ,2.576,7.16000,2.300000, , ,15.766969,5753.00,1.19,1.02,0.130,325.4000000
2732,K2-22 b,K2-22,0.38107300,0.009000,2.300,444.96200, ,0.190000,2100,3.000000,3879.00,0.58,0.60,0.032,243.8360000
2733,K2-220 b,K2-220,13.68325600,0.110400,2.390,6.30000,2.540000, ,758,31.180000,5660.00,1.02,0.96,0.040,233.5140000
2734,K2-221 b,K2-221,2.39909400, ,1.679,3.46000,4.020000, , ,6.506267,5716.00,0.95,1.01,0.130,318.8100000
2735,K2-222 b,K2-222,15.38706300,0.121100,2.390,6.30000,2.540000, ,801,25.070000,6058.00,1.09,1.00,-0.210,101.3210000
2736,K2-223 b,K2-223,0.50557000,0.012700,0.890,0.64000,4.990000, ,2271,3.300000,5859.00,1.00,1.06,0.190,198.6040000
2737,K2-223 c,K2-223,4.56254600,0.054900,1.500,2.86000,4.660000, ,1091,13.000000,5859.00,1.00,1.06,0.190,198.6040000
2738,K2-224 b,K2-224,4.47904000,0.051600,1.560,3.05000,4.410000, ,1002,13.200000,5620.00,0.84,0.91,-0.190,275.2550000
2739,K2-224 c,K2-224,10.09489000,0.088600,2.410,6.39000,2.510000, ,764,20.300000,5620.00,0.84,0.91,-0.190,275.2550000
2740,K2-225 b,K2-225,15.87209000,0.134000,3.490,12.00000,1.550000, ,902,17.800000,5742.00,1.70,1.27,0.380,357.7780000
2741,K2-226 b,K2-226,3.27108000,0.041300,1.540,2.99000,4.500000, ,1120,9.700000,5424.00,0.91,0.88,-0.030,211.2650000
2742,K2-227 b,K2-227,13.62183200, ,1.666,3.41000,4.060000, , ,21.261583,5673.00,0.89,0.95,-0.100,187.2340000
2743,K2-228 b,K2-228,2.69828000,0.033800,1.210,1.92000,5.960000, ,914,12.200000,4715.00,0.65,0.71,-0.250,129.4600000
2744,K2-229 b,K2-229,0.58421600,0.013100,1.000,2.49000,8.900000,0.000000,1818,4.200000,5315.00,0.79,0.87,-0.090,102.5640000
2745,K2-229 c,K2-229,8.32727000,0.076900,2.030,21.30000,12.800000,0.000000,750,24.900000,5315.00,0.79,0.87,-0.090,102.5640000
2746,K2-230 b,K2-230,2.86041000,0.040900,1.960,4.50000,3.280000, ,1529,7.300000,5945.00,1.39,1.11,0.100,540.7730000
2747,K2-231 b,K2-231,13.84190100, ,2.500,6.80000,2.390000, , ,27.000000,5695.00,0.95,1.01,0.140,321.2150000
2748,K2-232 b,K2-232,11.16845400,0.103560,11.209,126.49634,0.405000,0.258000,1030,19.250000,6154.00,1.16,1.19,0.100,130.7200000
2749,K2-233 b,K2-233,2.46750000,0.033080,1.343,11.26000,26.260000,0.079000,1121,10.070000,5033.00,0.71,0.79,-0.090,67.5062000
2750,K2-233 c,K2-233,7.06005000,0.066660,1.281,12.81000,33.910000,0.200200,790,20.300000,5033.00,0.71,0.79,-0.090,67.5062000
2751,K2-233 d,K2-233,24.36450000,0.152240,2.358,21.14000,8.850000,0.199900,523,46.360000,5033.00,0.71,0.79,-0.090,67.5062000
2752,K2-237 b,K2-237,2.18053539,0.035580,16.197,433.20012,0.562000,0.042000,1828,6.070000,6360.00,1.26,1.26,0.137,314.9950000
2753,K2-238 b,K2-238,3.20466000,0.046000,14.572,273.33380,0.560000,0.000000,1587,6.270000,5630.00,1.59,1.19,0.340,537.9630000
2754,K2-239 b,K2-239,5.24000000,0.044100,1.100,1.37000,5.660000, ,502,24.600000,3420.00,0.36,0.40,-0.100,31.0849000
2755,K2-239 c,K2-239,7.77500000,0.057600,1.000,0.97200,5.340000, ,427,34.000000,3420.00,0.36,0.40,-0.100,31.0849000
2756,K2-239 d,K2-239,10.11500000,0.068500,1.100,1.37000,5.660000, ,399,38.800000,3420.00,0.36,0.40,-0.100,31.0849000
2757,K2-24 b,K2-24,20.88977000,0.154000,5.400,19.00000,0.640000,0.060000,709,28.600000,5625.00,1.16,1.07,0.340,170.5620000
2758,K2-24 c,K2-24,42.33910000,0.247000,7.500,15.40000,0.200000,0.070000,560,53.000000,5625.00,1.16,1.07,0.340,170.5620000
2759,K2-240 b,K2-240,6.03400000,0.051300,2.000,4.66000,3.200000, ,586,21.100000,3810.00,0.54,0.58,-0.100,72.9105000
2760,K2-240 c,K2-240,20.52300000,0.115900,1.800,3.89000,3.670000, ,389,48.000000,3810.00,0.54,0.58,-0.100,72.9105000
2761,K2-241 b,K2-241,26.81990000,0.156700,2.550,7.04000,2.330000, ,507,43.300000,5262.00,0.75,0.71,-0.440,149.4640000
2762,K2-242 b,K2-242,6.51389000,0.049400,2.540,6.99000,2.340000, ,416,22.100000,3459.00,0.37,0.38,-0.010,109.2370000
2763,K2-243 b,K2-243,11.54182000,0.108700,2.170,5.35000,2.880000, ,1035,21.200000,6570.00,1.39,1.29,-0.030,266.8640000
2764,K2-243 c,K2-243,24.94598000,0.181700,2.010,4.70000,3.180000, ,801,35.600000,6570.00,1.39,1.29,-0.030,266.8640000
2765,K2-244 b,K2-244,21.06884000,0.141800,1.750,3.71000,3.800000, ,638,38.300000,5677.00,0.92,0.86,-0.290,212.9020000
2766,K2-245 b,K2-245,11.89307000,0.095900,4.340,17.40000,1.170000, ,923,17.500000,5793.00,1.25,0.83,-0.450,456.0640000
2767,K2-246 b,K2-246,5.76918000,0.060200,3.490,12.00000,1.550000, ,977,11.100000,5610.00,0.94,0.87,-0.190,703.6160000
2768,K2-247 b,K2-247,2.25021000,0.030400,2.120,5.14000,2.960000, ,979,8.700000,4667.00,0.69,0.74,-0.080,258.1130000
2769,K2-247 c,K2-247,6.49424000,0.061500,2.190,5.43000,2.840000, ,688,18.200000,4667.00,0.69,0.74,-0.080,258.1130000
2770,K2-248 b,K2-248,7.17256000,0.069900,2.570,7.13000,2.310000, ,886,16.200000,5528.00,0.92,0.88,-0.100,406.2540000
2771,K2-249 b,K2-249,12.40900000,0.115100,2.790,8.20000,2.070000, ,1061,14.500000,6504.00,1.57,1.32,0.040,521.7160000
2772,K2-25 b,K2-25,3.48456408,0.028700,3.440,24.50000,3.310000,0.428000,494,21.090000,3207.00,0.29,0.26,0.150,44.9565000
2773,K2-250 b,K2-250,4.01457000,0.045900,2.440,6.53000,2.470000, ,958,12.300000,5172.00,0.81,0.80,-0.090,414.7080000
2774,K2-251 b,K2-251,9.30075000,0.069400,2.350,6.12000,2.590000, ,437,20.600000,3717.00,0.49,0.52,-0.040,147.0300000
2775,K2-252 b,K2-252,13.81513000,0.104100,1.740,3.68000,3.840000, ,639,25.700000,5152.00,0.82,0.79,-0.090,228.8390000
2776,K2-253 b,K2-253,4.00167000,0.050600,12.670, , , ,1238,13.900000,6027.00,1.10,1.08,0.000,876.5650000
2777,K2-254 b,K2-254,4.09639000,0.044800,1.630,3.29000,4.170000, ,791,15.800000,4629.00,0.67,0.71,-0.140,227.7750000
2778,K2-254 c,K2-254,12.11839000,0.092300,2.190,5.43000,2.840000, ,551,31.300000,4629.00,0.67,0.71,-0.140,227.7750000
2779,K2-255 b,K2-255,1.96417000,0.027400,2.900,8.75000,1.970000, ,1034,9.100000,4676.00,0.69,0.71,-0.140,191.6080000
2780,K2-256 b,K2-256,5.52011000,0.057800,2.630,7.41000,2.240000, ,845,7.600000,5219.00,0.78,0.84,-0.100,564.6930000
2781,K2-257 b,K2-257,1.60588000,0.021600,0.830,0.49800,4.790000, ,789,8.200000,3725.00,0.50,0.52,-0.030,64.0065000
2782,K2-258 b,K2-258,19.09210000,0.149000,3.000,9.27000,1.890000, ,831,21.500000,6351.00,1.31,1.21,0.010,661.8730000
2783,K2-259 b,K2-259,15.48043000,0.127100,2.320,5.99000,2.640000, ,795,29.900000,6059.00,1.13,1.14,0.160,416.4570000
2784,K2-26 b,K2-26,14.56650000,0.096200,2.670,7.61000,2.200000, ,430,20.700000,3785.00,0.52,0.56,-0.130,99.0504000
2785,K2-260 b,K2-260,2.62666570,0.040400,17.396,451.31860,0.500000,0.000000,1957,5.291000,6367.00,1.69,1.39,-0.140,663.8340000
2786,K2-261 b,K2-261,11.63347800,0.103400,9.528,59.75174,0.380000,0.286000,1046,13.530000,5445.00,1.64,1.09,0.360,213.2830000
2787,K2-263 b,K2-263,50.81894700,0.257300,2.410,14.80000,5.700000,0.140000,470,64.700000,5368.00,0.85,0.88,-0.080,162.4810000
2788,K2-264 b,K2-264,5.84000200,0.050230,2.231,5.61000,2.780000,0.500000,496,22.840000,3660.00,0.47,0.50,-0.013,185.6050000
2789,K2-264 c,K2-264,19.66030200,0.112830,2.668,7.60000,2.200000,0.450000,331,51.300000,3660.00,0.47,0.50,-0.013,185.6050000
2790,K2-265 b,K2-265,2.36917200,0.033760,1.710,6.54000,7.100000,0.084000, ,7.283787,5477.00,0.98,0.92,0.078,138.6710000
2791,K2-266 b,K2-266,0.65852400,0.013060,3.300,11.26782,1.720000, ,1515,4.000000,4285.00,0.70,0.69,-0.120,77.5586000
2792,K2-266 c,K2-266,7.81400000,0.067900,0.705,0.29013,4.550000,0.042000,664,20.800000,4285.00,0.70,0.69,-0.120,77.5586000
2793,K2-266 d,K2-266,14.69700000,0.103500,2.930,8.90000,2.030000,0.047000,538,31.700000,4285.00,0.70,0.69,-0.120,77.5586000
2794,K2-266 e,K2-266,19.48200000,0.124900,2.730,14.30000,2.210000,0.043000,490,38.200000,4285.00,0.70,0.69,-0.120,77.5586000
2795,K2-268 b,K2-268,2.15167600,0.030800,1.500,2.86000,4.660000, ,1136,7.760000,5106.00,0.78,0.84,0.030,327.7830000
2796,K2-268 c,K2-268,9.32752700,0.081900,2.690,7.70000,2.170000, ,696,17.170000,5106.00,0.78,0.84,0.030,327.7830000
2797,K2-268 d,K2-268,4.52859800, ,1.490,2.83000,4.700000, ,888,12.570000,5106.00,0.78,0.84,0.030,327.7830000
2798,K2-268 e,K2-268,6.13124300, ,1.330,2.33000,5.440000, ,801,16.930000,5106.00,0.78,0.84,0.030,327.7830000
2799,K2-268 f,K2-268,26.27057000, ,2.230,5.60000,2.770000, ,492,41.410000,5106.00,0.78,0.84,0.030,327.7830000
2800,K2-269 b,K2-269,4.14496500,0.053100,1.570,3.09000,4.390000, ,1429,10.070000,6209.00,1.45,1.16,-0.080,360.7600000
2801,K2-27 b,K2-27,6.77131500,0.067020,4.480,30.90000,1.870000,0.251000,902,16.500000,5248.00,0.89,0.87,0.130,249.6450000
2802,K2-270 b,K2-270,1.54306900,0.024700,1.380,2.48000,5.190000, ,1203,6.040000,4877.00,0.77,0.85,0.260,280.5180000
2803,K2-270 c,K2-270,4.40002800,0.049700,2.950,9.01000,1.930000, ,848,20.940000,4877.00,0.77,0.85,0.260,280.5180000
