,planet_radius,planet_mass,planet_density
466,4.14,16.0,1.24
467,13.1,113.9,0.278
468,13.8,305.1168,0.638
469,5.83,28.6047,0.793
470,14.1,197.046,0.386
471,13.3,116.0,0.271
472,13.6,457.67291,1.0
473,3.35,11.2,1.64
474,8.18,50.8528,0.511
475,13.6,472.61321,1.03
476,12.6,2637.9,7.25
477,5.4,25.14472,0.877
478,11.9,8550.26928,27.9
479,14.1,203.41018,0.399
480,12.5,3178.28407,8.94
481,12.5,3219.6179,9.06
482,2.44,12.6,4.7
483,4.35,15.2,1.01
484,13.8,298.75,0.625
485,12.4,3518.96545,10.1
486,12.4,3496.0,10.1
487,12.8,1914.58848,5.02
488,9.6,66.741,0.415
489,4.7,19.89606,1.05
490,10.9,82.95,0.352
491,1.615,3.24,4.23
492,2.071,4.94,3.06
493,2.539,6.98,2.34
494,3.083,9.71,1.82
495,2.017,4.72,3.16
496,13.1,1112.4,2.72
497,13.3,767.24162,1.79
498,13.6,451.3186,0.986
499,13.8,314.64,0.658
500,13.9,273.3338,0.559
501,4.31,17.162,1.18
502,5.27,24.154,0.907
503,13.2,950.30694,2.27
504,11.1,85.8141,0.345
505,14.3,143.02278,0.269
506,2.888,8.69,1.98
507,2.59,7.22,2.28
508,12.1,6725.39378,20.9
509,12.4,3524.59,10.2
510,3.2,10.3,1.73
511,2.05,4.55,2.9
512,3.23,10.5,1.71
513,11.9,8644.78715,28.2
514,12.6,2428.48595,6.67
515,12.6,2626.8024,7.22
516,12.1,6085.555,18.9
517,12.9,1398.452,3.58
518,12.9,1433.4133,3.67
519,12.9,1589.15,4.07
520,13.1,1032.00909,2.52
521,12.1,6268.96682,19.4
522,13.9,253.39075,0.518
523,13.2,114.41,0.273
524,13.8,295.57,0.618
525,12.7,2002.329,5.37
526,11.209,2542.62726,9.92
527,13.7,362.3262,0.774
528,13.1,113.46531,0.277
529,13.9,262.20975,0.537
530,13.7,349.6,0.747
531,14.1,194.19413,0.381
532,12.6,2649.58135,7.28
533,12.8,1716.82279,4.5
534,13.3,115.84733,0.271
535,12.6,2446.83592,6.72
536,6.0,30.03873,0.764
537,12.5,3299.58202,9.28
538,12.6,2634.79749,7.24
539,13.6,444.962,0.972
540,13.7,403.6441,0.863
541,13.4,612.14058,1.4
542,12.8,1789.3829,4.69
543,8.59,55.30242,0.479
544,13.138,886.7457,2.15
545,14.1,198.0,0.388
546,5.38,25.0,0.882
547,12.7,2080.0,5.58
548,12.6,2439.44256,6.7
549,13.6,479.9233,1.05
550,3.2,10.33369,1.73
551,12.5,3171.50491,8.92
552,10.1,72.85079,0.389
553,14.0,238.37131,0.477
554,13.2,947.1334,2.26
555,12.4,3514.14627,10.1
556,11.9,9165.5058,29.9
557,2.4,6.3566,2.53
558,13.2,944.27564,2.26
559,4.01,15.17685,1.29
560,12.6,2352.38976,6.46
561,13.4,622.9468,1.42
562,10.3,75.32571,0.379
563,13.3,772.3269,1.8
564,13.4,575.884,1.32
565,13.6,119.96298,0.262
566,5.58,26.61699,0.842
567,13.5,562.24127,1.26
568,13.0,1204.25787,3.01
569,13.9,282.8687,0.579
570,13.5,508.507,1.14
571,13.7,365.49,0.781
572,13.4,572.094,1.31
573,13.1,1052.0173,2.57
574,12.4,3480.2385,10.0
575,12.8,1709.9254,4.48
576,13.6,473.547,1.03
577,13.6,451.3186,0.986
578,14.3,133.4886,0.251
579,13.3,794.575,1.86
580,3.16,10.1,1.76
581,5.91,29.29,0.78
582,13.5,511.7063,1.14
583,13.9,260.0,0.532
584,12.8,1880.61597,4.93
585,12.3,4174.7703,12.3
586,1.664,4.72,5.623888
587,2.916,11.24,2.497668
588,2.562,8.82,2.878108
589,13.3,680.1562,1.59
590,13.9,266.97586,0.546
591,8.21,51.25631,0.509
592,9.32,63.566,0.431
593,1.31,4.04,10.49
594,12.6,2434.5656,6.69
595,3.35,11.2,1.64
596,3.13,9.96,1.78
597,13.9,274.91,0.562
598,12.8,1630.4,4.27
599,13.3,699.226,1.63
600,12.1,6315.52561,19.6
601,11.5,131.89945,0.477
602,12.2,5001.77608,15.1
603,3.93,14.64775,1.33
604,12.8,1685.33019,4.42
605,3.77,13.63484,1.4
606,14.3,143.34133,0.269
607,13.6,422.7139,0.923
608,13.7,375.0394,0.801
609,14.1,209.7678,0.411
610,12.5,3079.7727,8.66
611,10.8,81.62789,0.356
612,13.7,395.51812,0.845
613,12.4,3521.33769,10.1
614,12.9,1411.1652,3.61
615,13.1,975.7381,2.39
616,13.5,530.7761,1.19
617,13.7,384.5743,0.822
618,13.1,1122.57556,2.74
619,4.78,20.42286,1.03
620,12.8,1913.3366,5.01
621,13.3,708.7609,1.66
622,12.9,1582.94652,4.05
623,13.3,762.59821,1.78
624,2.42,6.44,2.5
625,2.23,5.59,2.77
626,13.4,674.0,1.54
627,12.7,2080.0,5.58
628,5.82,28.55,0.796
629,13.7,385.0,0.823
630,13.7,356.28743,0.761
631,12.8,1633.6462,4.28
632,13.3,731.009,1.71
633,13.9,270.144,0.553
634,13.7,390.9309,0.835
635,12.8,1640.0028,4.3
636,13.6,413.179,0.903
637,8.295,120.7754,0.75
638,13.6,422.7139,0.923
639,12.4,3878.07724,11.2
640,13.3,762.78818,1.78
641,13.2,874.0325,2.09
642,13.2,861.28,2.06
643,6.81,37.24604,0.648
644,12.8,1634.10971,4.28
645,13.2,845.74563,2.02
646,13.4,594.02427,1.36
647,3.41,11.56,1.58
648,5.83,27.5,0.82
649,1.64,7.51,9.3
650,2.39,8.11,3.23
651,4.73,20.05856,1.04
652,4.33,17.30766,1.17
653,11.9,8680.48112,28.3
654,13.2,937.5985,2.24
655,2.46,6.6,2.44
656,13.9,260.6206,0.533
657,12.8,1706.7471,4.47
658,13.3,778.6835,1.82
659,13.2,819.97,1.96
660,14.0,238.37131,0.477
661,13.2,826.358,1.97
662,13.8,314.6517,0.658
663,13.9,261.0,0.534
664,2.65,7.50192,2.22
665,12.8,1849.85628,4.85
666,4.31,17.14419,1.18
667,12.8,1661.50392,4.35
668,12.5,2995.22334,8.43
669,12.5,3207.01405,9.02
670,14.0,235.18,0.471
671,1.87,4.15,3.49
672,6.17,31.4968,0.737
673,12.4,3391.2461,9.77
674,13.5,486.2799,1.09
675,1.292,2.22,6.12
676,2.23,5.6,2.77
677,2.18,5.41,2.87
678,2.34,6.08,2.61
679,2.35,6.14,2.6
680,12.3,4449.62,13.1
681,13.7,359.13,0.767
682,13.4,603.9,1.38
683,13.3,704.94694,1.65
684,14.0,244.09344,0.489
685,13.8,296.85322,0.621
686,13.0,1150.5446,2.88
689,3.17,10.17,1.75
691,14.1,181.16219,0.355
692,10.9,82.6358,0.351
693,12.8,1620.933,4.25
694,12.5,3127.4472,8.8
695,13.9,249.05159,0.51
696,13.3,699.54383,1.63
697,5.0,22.1,0.972
698,14.3,140.79869,0.265
699,4.16,16.14,1.23
700,13.4,635.0,1.45
701,13.3,116.0,0.271
702,3.66,13.0,1.46
