,orbital_period_[days],equilibrium_temperature_[k],orbit_semi-major_axis_[au])
1320,5.644207,1460.0,0.0694
1321,3.7521,1676.0,0.05165
1322,34.524,590.0,0.2044
1323,8.803809,940.0,0.08215
1324,4.60273,1404.0,0.0549
1325,1.7690381,1200.0,0.0261
1326,2.2783152,1260.0,0.0316
1327,2.052868,2000.0,0.0347
1328,3.310651,1540.0,0.0469
1329,2.2359835,1320.0,0.0323
1330,2.24375,1872.0,0.037
1331,5.924262,910.0,0.062
1332,3.634433,1590.0,0.0494
1333,5.215357,1742.0,0.0661
1334,1.4013794,1211.0,0.0243
1335,2.176423,1790.0,0.0345
1336,1.011534,1386.0,0.0182
1337,7.133514,763.0,0.067
1338,5.322023,1460.0,0.0607
1339,11.55098,833.0,0.1012
1340,4.35301,1531.0,0.05362
1341,5.748145,1100.0,0.0628
1342,4.17806203,1400.0,0.0484
1344,3.28883,1480.0,0.0449
1345,3.37265,1400.0,0.0449
1346,2.9776412,1520.0,0.04263
1347,1.27492504,2720.0,0.02596
1348,3.6112706,1880.0,0.0514
1349,1.09142,2593.0,0.0232
1350,2.49979,1600.0,0.0363
1351,4.0460435,1729.0,0.05453
1352,10.02165,1001.0,0.09459
1353,1.5487743,2043.0,0.02851
1354,4.54216875,1496.0,0.05885
1356,3.72247,992.0,0.0435
1358,5.7214742,736.0,0.055
1359,9.28971,1140.0,0.0917
1360,7.87288,900.0,0.075
1361,1.7554137,1516.0,0.02918
1362,0.925542,2508.0,0.01985
1363,3.58572,1560.0,0.05057
1364,2.84938,2190.0,0.04574
1365,3.0927616,1370.0,0.03781
1366,2.5199454,1812.0,0.03889
1369,60.0,492.0,0.308
1370,12.4032,845.0,0.1083
1371,8.24958,968.0,0.0825
1372,24.1396,677.0,0.1688
1376,3165.0796094172,2270.0,2880.0
1377,3165.0796094172,2240.0,3500.0
1380,1.48224686,1480.0,0.02459
1381,3.55395,1778.0,0.05084
1382,1.30618581,1638.0,0.02282
1383,2.47063,1466.0,0.03563
1384,3.03007,1140.0,0.03925
1387,3165.0796094172,1240.0,320.0
1390,26.468,1350.0,0.21
1396,18.772866,172.0,0.06189
1397,12.352446,197.0,0.04683
1398,9.20754,218.0,0.03849
1399,6.101013,250.0,0.02925
1400,4.049219,286.0,0.02227
1401,2.421937,340.0,0.0158
1402,1.510826,398.0,0.01154
1403,1700.0,96.0,2.52
1404,1.8237305,941.0,0.02636
1405,3.6849729,1526.0,0.04963
1407,4.32419,1120.0,0.04796
1408,3.739494,1192.0,0.04666
1409,10.62656,1397.0,0.092
1410,0.76552414,1932.0,0.01598
1412,8.59545,665.0,0.075
1413,3.81673,871.0,0.0422
1414,1.0418777,1118.0,0.0171
1415,1.392978,1253.0,0.02177
1416,83.8911,610.0,0.423
1417,15.6653,415.0,0.1
1418,8.24661,514.0,0.0652
1419,12.2737,800.0,0.1011
1420,5.6057,1038.0,0.06
1421,84.8396,314.0,0.3405
1422,51.69906,370.0,0.2447
1423,9.531361,650.0,0.07928
1424,27.80978,273.0,0.134
1425,37.42396,269.0,0.1633
1426,16.051137,356.0,0.0929
1427,9.977219,417.0,0.0677
1428,11.2366,1252.0,0.1038
1429,1.977143,635.0,0.025
1430,5.0037775,1749.0,0.06608
1431,3.4095675,1586.0,0.0486
1432,5.0988179,604.0,0.04825
1433,1.651144,1714.0,0.02734
1434,16.287,750.0,0.1174
1437,10.779,860.0,0.08809
1438,0.446578,2480.0,0.01055
1439,6.9839095,1180.0,0.0723
1440,14.574071,1061.0,0.1291
1441,75.12375,441.0,0.332
1442,1.548351,1082.0,0.0251
1443,1.2391491,611.0,0.01223
1445,2.3266508,867.0,0.0296
1446,6.387597,565.0,0.052
1448,1.2652328,760.0,0.012
1450,20.33003,906.0,0.158
1454,0.548177,1617.0,0.01189
1455,10.33111,1370.0,0.097
