,orbit_semi-major_axis_[au]),equilibrium_temperature_[k],insolation_flux_earth,orbital_period_[days]
168,0.13,990,160.00,15.624
169,0.22,752,53.00,35.747
170,800.0,2375, ,3165.0796094172
171,0.02279,587,20.50,2.30538
172,0.0525,387,3.87,8.0518
173,0.0385,456,7.20,5.746007
174,0.0457,231,0.67,10.3465
175,0.0738,182,0.26,21.202
176,0.021, ,3.80,3.204
177,0.035, ,1.40,6.689
178,0.054, ,0.60,13.031
179,0.0153,529,20.96,1.628931
180,0.0476,300, ,8.929
181,0.166, , ,41.38
182,0.912, , ,532.58
183,0.5714, , ,389.7
184,0.0149,596,21.00,1.58040433
185,0.00915,1089,233.00,0.5182416
186,0.026, , ,3.6511
187,0.1915,422,5.62,35.61253
188,0.072,550, ,11.4407
189,5.4, , ,7600.0
190,0.053, , ,5.2354
191,0.0607, , ,8.63182
192,0.1254, , ,25.63058
193,1.0304, , ,603.95116
194,2.41, , ,2288.0
195,0.092, , ,17.133
196,0.129, , ,24.329
197,0.309, , ,106.3
198,0.034411, , ,2.38128933
199,16.763449, , ,25533.11353048
200,0.283, , ,69.971
201,0.384214, , ,121.93267601
202,1.086215, , ,579.47494672
203,0.0818,351,2.53,14.238
204,0.101, , ,15.819
205,0.091101, ,1.06,18.6498
206,0.036467, ,6.66,4.7234
207,0.49,350, ,133.71
208,0.079, , ,11.949
209,0.03165,693,42.23,2.853136
210,0.0197, ,118.10,1.22003
211,0.057, ,13.90,5.974
212,0.698, ,0.10,257.8
213,1.151, , ,695.66
214,5.23, , ,6739.323
215,0.091179, , ,10.6666864
216,4.5, , ,4100.0
217,0.14339, ,1.07,30.5987
218,0.36175, ,0.17,122.6196
219,0.19394, ,0.59,48.1345
220,0.08208, ,3.34,13.2543
221,0.03282, ,2.58,5.3636
222,0.1264, ,0.17,40.54
223,0.089, , ,14.207
224,0.142,391, ,24.422
225,0.0355,594,40.58,3.3366496
226,0.01589,773,59.40,1.1980035
227,0.0876,329,1.95,15.509
228,0.337, , ,203.69
229,1.292, , ,1599.6
230,0.035,525,12.60,3.93072
231,0.061,401,4.45,9.1247
232,0.204,220,0.38,55.661
233,0.0287, , ,2.64561
234,0.0071,1745,586.61,0.321962
235,0.026, , ,3.0232
236,0.0252,568,17.30,2.616235
237,0.081,317,1.68,15.04
238,0.05402,485,9.21,7.02679
239,0.0608,590, ,6.905
240,0.029, , ,2.64977
241,0.089, , ,13.74
242,0.07879,350,3.13,12.9394
243,0.2324,309, ,50.8
244,1.4,125, ,749.83
245,0.111, , ,20.129
246,0.082, , ,13.352
247,0.062, , ,7.3705
248,4.819, , ,5094.105
249,0.178, , ,36.059
250,0.0291,686,29.43,2.64388312
251,0.068, , ,9.567
252,0.01734,701,40.30,1.467119
253,43.5,510, ,3165.0796094172
254,0.422,202,0.28,140.43
255,0.06661, , ,8.7076
256,0.04061, , ,5.3686
257,0.0721, , ,12.914
258,0.02815, , ,3.149
259,0.078361, , ,14.628
260,1.135, , ,598.3
261,0.0505, , ,7.2004
262,0.125, , ,28.14
263,0.213, , ,62.24
264,0.156, , ,39.026
265,0.549, , ,256.2
266,0.039, , ,4.6938
267,1.734535, , ,1051.44520601
268,9.67808, , ,13921.42302046
269,0.039322, , ,3.60075682
270,0.180707, , ,35.47357709
271,10.121898, , ,17281.66513958
272,0.08, , ,17.478
273,0.176, , ,57.32
274,0.1344, , ,24.16
275,0.163, , ,38.142
276,1.165, , ,727.562
277,0.119,401, ,19.466
278,0.029,829,79.00,2.37756
279,3.56, , ,3657.0
280,2.409, , ,1915.0
281,4.974, , ,7068.0
282,0.11, , ,15.76491
283,0.208317, , ,61.1166
284,0.12959, , ,30.0881
285,0.020807, , ,1.93778
286,0.3343, , ,124.26
287,0.068,468,7.95,9.262
288,0.12,352,2.56,21.789
289,0.63965, , ,284.39
290,0.88, , ,771.36
291,0.291, , ,73.94
292,0.1139,453, ,18.27
293,12.341073, , ,19240.75467009
294,0.0188,1044,256.00,1.2089819
295,0.03925,722,59.00,3.6480957
296,0.05591,605,29.00,6.2014698
297,0.0338,2300,4650.00,1.744579
298,100.0,2650, ,3165.0796094172
299,320.0,2300, ,3165.0796094172
300,2000.0,1050, ,3165.0796094172
301,0.04047, , ,3.052524
302,0.0467,1213,512.02,3.6915224
303,0.039435,830, ,3.822
304,0.0905, , ,13.8508
305,0.091,379, ,15.53
306,0.05561,1322,243.70,4.46529976
307,0.05254,838,100.77,4.88780244
308,4.13, , ,3407.0
309,0.0384,963,118.08,3.2130598
310,0.04383,1740,1978.52,2.91625
311,1.258,340, ,446.27
312,0.0596,1624,1038.78,4.62767
313,0.0965,904,79.76,10.8635
314,0.0413,1626,1186.35,2.77596
315,0.0882,792,65.68,10.33852
316,5.6, , ,5584.0
317,0.0559,852,82.24,5.508023
318,0.0466,1010,165.19,4.008778
319,0.06814,1540,839.62,5.6335158
320,0.0361,970,145.71,2.875317
321,0.0494,1283,459.54,4.12448
322,0.0414,1463,325.57,3.21222
323,0.0232,1951,2796.38,1.21288
324,0.04651,1637,1047.12,3.35524
325,0.0466,1182,325.00,3.65281514
326,0.0479,1001,185.07,4.23452
327,0.04,1092,336.04,3.039577
328,0.0434,1384,554.71,3.257215
329,0.0667,1271,433.00,5.72319
330,0.03866,1189,176.59,2.8997
331,0.0419,1630,1467.96,2.8106
332,0.061,1450,746.90,5.00542
333,0.03397,1836,1841.00,2.1500082
334,0.04995,1782,1701.38,3.47447
335,0.06774,1520,433.78,5.452654
336,0.04978,1581,999.67,3.646706
337,0.0241,1781,1821.00,1.32734683
338,0.0379,1271,412.40,2.797436
339,0.0523,1082,187.99,4.640382
340,0.0509,1752,1319.04,3.54387
341,0.04438,1686,1438.00,3.056536
342,0.0608,1770,1747.42,4.45724
343,0.04258,1941,2485.07,2.69405
344,0.0575,1428,469.05,4.641878
345,0.0444,1353,524.35,3.3326414
346,0.0507,1108,185.12,4.301219
347,1.752, , ,872.2
348,0.0452,1652, ,3.128992
349,0.0577,1458, ,4.463129
350,0.04378,2131,6508.84,2.69155
351,0.04073,1539,653.75,2.78849
352,0.0453,1862,1198.68,3.1220109
353,0.05069,1192,311.71,4.2180278
354,0.03694,1218,227.76,2.7535953
355,0.03159,1778,1611.53,1.9616241
356,0.04117,818,22.20,3.799847
357,0.04604,1313,410.03,3.5852467
358,0.0423,1840,3515.00,2.79083
359,0.0406,2200, ,2.4653
360,0.04994,1622,1146.00,4.0138379
361,0.05064,1278,441.40,4.1419771
362,0.05239,1675,1669.87,3.85298
363,0.06277,1772,1634.00,4.7947813
364,0.0301,1505,849.50,1.90231289
365,0.03772,1512,867.20,2.6453235
366,0.04294,1237,387.40,3.377728
367,0.05387,1766,1611.00,4.007232
368,0.03951,1930,2114.86,2.6054552
369,0.04363,1896,1939.51,2.972086
370,0.06505,1903,2884.55,4.8101025
371,0.02996,1028,184.80,2.29840551
372,0.06555,1930,2238.59,4.7869491
373,0.03676,2733,4353.41,2.20474
374,0.04739,2562,5626.34,2.74432452
375,0.04496,1700,1519.96,3.07634
376,0.05287,1540,931.00,3.92281072
377,0.0444,1359,489.95,3.446459
378,0.04491,1407, ,3.312846
379,0.0507,1596, ,3.619188
380,0.0441,1446, ,3.142702
381,0.04057,1244,315.99,3.0440499
382,0.03815,1276,505.89,2.7667641
383,0.02712,1505, ,1.74748753
384,0.03744,1592,994.81,2.686502
385,0.1308,814,72.70,16.254611
386,0.0174,2069,2990.00,0.83784
387,0.023,1577,667.12,1.354133
388,0.05025,858,111.30,4.7228124
389,0.03397,1654, ,2.1605156
390,0.0238,2166,2706.96,1.3484978
391,0.05163,1277,326.89,4.2986432
392,0.04735,1918,2236.58,3.3023881
393,0.0611,1659,1342.57,4.637038
394,0.04131,1253, ,3.1810781
395,0.05475,1212, ,4.6058749
396,0.0485,1648,1212.00,3.547851
397,0.04354,1414,718.91,3.1743516
398,0.0478,1823, ,3.37796
399,0.04024,1437,614.59,2.8126548
