,orbit_semi-major_axis_[au]),equilibrium_temperature_[k],insolation_flux_earth,orbital_period_[days]
899,1.9, , ,872.6
900,1.167, , ,528.07
901,1.6, , ,730.59998
902,2.37, , ,1211.17
903,0.567, , ,141.63
904,0.747, , ,192.0
905,2.827, , ,2058.0
906,0.1162,543,16.00,17.667087
907,0.1646,467,7.96,29.79749
908,0.04298,909,117.00,3.97664
909,0.068,723,46.70,7.90754
910,0.0906,630,26.30,12.1621839
911,2.692222, , ,1535.11912389
912,0.0932,470,8.10,13.671
913,5.7, , ,4100.0
914,1.16, , ,501.75
915,1.92, , ,745.70001
916,4.92, , ,3668.0
917,1.3, , ,515.4
918,1.29, , ,535.59998
919,0.034, , ,2.0455
920,6.245213, , ,6134.4269993
921,2.971, , ,1802.29
922,1.49, , ,457.01
923,0.241872, , ,41.83156448
924,17.779459, , ,26308.65618751
925,0.02933,709,42.20,2.76953
926,0.04749,557,16.10,5.70588
927,20.4, , ,32000.0
928,0.04, , ,3.4442
929,0.0568,2061,1451.24,4.12688
931,1.271, , ,428.1
932,3.242, , ,2198.14
933,0.125367, , ,18.01938802
934,0.198, , ,36.07
935,5.359964, , ,5019.54243994
936,1.552,261,0.76,654.5
937,0.1357,881,98.75,22.89104
938,0.308,585,29.95,56.00819
939,0.411,506,17.37,84.25999
940,1.034659, , ,385.52775151
941,13.109497, , ,17417.92078705
942,0.117885, , ,14.23283446
943,2.15, , ,1116.0
944,0.06, , ,6.0881
945,0.066,450, ,8.7836
946,1.18, , ,380.2
947,2.28, , ,1362.3
948,3.43, , ,2443.0
949,1.913, , ,892.7
950,1.23, , ,311.60001
951,13.283797, , ,20608.14048834
952,3.603011, , ,2514.53421506
953,10.273072, , ,12085.45185585
954,2.34, , ,1157.0
955,2.69, , ,1684.0
956,1.85, , ,847.0
957,1.26, , ,466.0
958,0.1254, , ,16.5535
959,0.2663, , ,51.2053
960,0.8098, , ,271.6737
961,0.01802,1777,1625.00,0.95965428
962,0.1783,565,16.60,29.8464948
963,0.07703,860,88.90,8.4783
964,0.4048,375, ,102.09
965,0.59, , ,157.54
966,3.41, , ,2372.0
967,0.04,990, ,3.38773
968,1.44, , ,621.62
969,1.074, , ,330.0
970,1.955, , ,810.2
971,0.452, , ,89.9
972,0.1436,876,98.09,18.71204
973,0.1508, , ,18.1991
974,1.1, , ,388.0
975,1.6, , ,551.40002
976,2.24, , ,916.0
977,2.07, , ,1049.0
978,0.7181, , ,214.67
979,0.4817, , ,117.87
980,0.2687, , ,49.175
981,1.543, , ,676.8
982,6.36, , ,5700.0
983,0.389, , ,82.467
984,0.98, , ,273.1
985,0.295, , ,62.25
986,0.53364, , ,154.378
987,1.71, , ,885.5
988,2.807, , ,1862.0
989,0.277, , ,55.01292
990,3.74, , ,2720.0
991,2.108, , ,1211.0
992,1.02, , ,363.20001
993,0.114551, , ,14.30990015
994,3.224617, , ,2127.60565656
995,1.623, , ,685.25
996,3.309065, , ,2088.75851193
997,0.056, , ,5.6368
998,0.103, , ,14.03
999,0.185, , ,33.91
1000,0.041, , ,3.2498
1001,0.0468,910, ,4.3123
1002,0.0799,696, ,9.6184
1003,0.1321,541, ,20.432
1004,0.247,398, ,51.76
1005,0.6,255, ,197.8
1006,1.4, , ,578.6
1007,0.85, , ,264.14999
1010,1.28031, , ,526.5239037
1011,1.67, , ,857.5
1012,1.17, , ,431.88
1013,6.95, , ,6700.0
1014,1.662, , ,832.97
1015,0.554,337,3.16,149.61
1016,0.12, , ,15.56
1017,1.157, , ,356.21
1018,0.881867, , ,308.92072284
1019,8.556456, , ,9295.97349931
1020,0.238, , ,36.9987
1021,1.19, , ,472.3
1022,0.0644, , ,5.8854
1023,0.11, , ,13.1354
1024,1.92, , ,963.6
1025,0.6793, , ,225.79
1026,0.902, , ,345.43
1027,0.237, , ,44.073
1028,15.443431, , ,20324.5815254
1029,0.0398, , ,3.023573
1030,0.05, , ,4.0845
1031,2.395, , ,1353.6
1032,1.19, , ,360.2
1033,4.6, , ,2732.0
1034,1.28, , ,359.15
1035,1.97, , ,682.85
1036,1.93, , ,712.13
1037,1.14, , ,434.0
1038,1.814, , ,778.51
1039,1.167, , ,400.5
1040,0.06, , ,4.94737
1041,3.833, , ,2447.1
1042,9.02, , ,8619.9
1043,2.353, , ,1293.0
1044,0.1059, , ,14.0726
1045,0.3809, , ,95.9446
1046,0.52,405, ,119.27
1047,0.1202,943,132.00,14.339156
1048,0.2416, , ,40.87
1049,1.57, , ,637.1
1050,1.93, , ,872.2
1051,3.18, , ,1827.0
1052,0.53, , ,139.35
1053,1.911, , ,779.9
1054,1.2, , ,492.3
1055,0.229,1133,273.43,29.04992
1056,6.431189, , ,5859.089924
1057,0.64, , ,177.11
1058,1.086, , ,299.36
1059,1.5, , ,495.4
1060,0.77, , ,201.9
1061,1.6, , ,600.1
1062,18.992328, , ,27399.80246717
1063,36.876426, , ,74839.94554588
1064,1.64, , ,589.64
1065,11.786592, , ,14306.8851878
1066,0.0719,886,145.57,7.10793
1067,0.1458,622,35.36,20.5453
1068,0.04, , ,2.81805
1069,0.94, , ,358.0
1070,288.6525,911,115.60,9.058811
1071,288.6525,684,36.70,21.4023
1072,0.246, , ,45.791
1073,1.51, , ,623.0
1074,0.14, , ,21.998
1075,1.301, , ,577.6
1076,5.75, , ,5370.0
1077,1.2, , ,480.5
1078,3.39291, , ,2269.81725722
1079,9.418207, , ,10478.84436542
1080,1.08, , ,352.2
1081,3.86, , ,2374.0
1082,3.55, , ,2496.0
1083,2.18, , ,1103.0
1084,0.07, , ,6.27711
1085,13.2, , ,16000.0
1086,2.482, , ,1193.3
1087,0.0785, , ,8.667
1088,0.186, , ,31.56
1089,0.63, , ,197.0
1090,1.76, , ,851.8
1091,3.318, , ,2124.54
1092,1.36, , ,615.0
1093,1.88, , ,858.0
1094,4.689125, , ,3549.39853518
1095,13.940621, , ,18207.72098165
1096,0.227825, , ,39.44603442
1097,2.227469, , ,1257.99159045
1098,12.621165, , ,17071.78044733
1099,0.65, , ,188.3
1100,1.03, , ,379.1
1101,2.99, , ,1750.0
1102,0.0604,714,43.30,6.398042
1103,0.1242,498,10.20,18.87974
1104,0.280148, , ,51.63563941
1105,3.676463, , ,2448.48726302
1106,2.43855, , ,1270.55194905
1107,0.05,1260, ,3.50927
1108,1.032, , ,341.2
1109,8.4, , ,7900.0
1110,1.191, , ,422.9
1111,0.05, , ,3.97097
1112,1.149, , ,415.4
1113,0.06, , ,5.7361
1114,0.9, , ,273.1
1115,0.06,826,113.70,5.39792
1116,0.1134,584,28.35,15.299
1117,0.1551,499,15.17,24.451
1118,2.98, , ,1807.0
1119,0.4565,405, ,111.4367
1120,0.0166,2302,6635.86,0.719573
1121,0.68, , ,136.75
1122,1.18, , ,385.2
1123,2.51329, , ,1276.46
1124,0.827774, , ,241.258
1125,0.059222, , ,4.617033
1126,1.17, , ,305.5
1127,0.243, , ,49.41
1128,0.133, , ,20.0
1129,1.334, , ,636.13
1130,0.538, , ,162.87
1131,0.049, , ,3.3124568
1132,0.4123,448,9.85,102.54
1133,0.2196,614,34.70,39.8458
1134,4.43, , ,3117.0
1136,0.068647,1170,309.00,6.26790772
1137,3.9, , ,1630.0
1138,0.83, , ,187.83
1139,1.1, , ,277.02
1140,5.931, , ,3184.83
1141,1.79, , ,530.21
1142,1.25, , ,417.0
1143,242.4, , ,3165.0796094172
1144,1.1, , ,357.8
1145,2.76, , ,1247.9
1146,55.0,1900, ,3165.0796094172
1147,19.4, , ,25000.0
1148,1.453, , ,510.8544
1149,1.19, , ,428.5
1150,1.32, , ,555.1
1151,2.17, , ,964.6
1152,1.24, , ,415.2
1153,2.05, , ,903.3
1154,1.93, , ,594.9
1155,11.55, , ,16510.0
1156,3.53, , ,2671.0
1157,1.3, , ,417.9
1158,1.4, , ,522.3
1159,2.680483, , ,1192.77951035
1160,10.019926,1612, ,8617.50951973
1161,1.7, , ,605.2
1162,556.0, , ,1790000.0
1163,1.46, , ,628.96
1164,1.2, , ,380.8
1165,0.02851,357,2.70,4.65626
1166,0.02156,410,4.72,3.05989
1167,0.01634,471,8.21,2.02087
1168,115.0, , ,3165.0796094172
1169,0.04421,1743,1540.00,2.8641424
1170,0.0815,1577,625.25,3.7650007
1171,0.0515,1230,397.48,4.1877558
1172,0.05524,1630,1041.48,4.12508
1173,0.0476,1729,1033.99,3.19154
1174,0.4756, , ,120.8
1175,0.13, , ,18.157
1176,0.0368,1328,1566.65,2.61586178
1177,0.0488,1210,321.85,3.94153
1178,0.05706,790,69.60,6.00127
1179,0.0672,250,0.65,15.564
1180,0.47, ,0.06,217.21
1181,0.089, ,1.30,17.8719
1182,0.0375, ,7.34,4.8869
1183,0.0234,2470,282.26,1.7522239
1184,0.0282,2198,113.59,2.663416
1185,0.01855,2000,2544.69,1.0187068
1186,0.047,1500, ,3.352057
1187,8.0,450, ,1023.0237537499988
1188,0.0204,163,0.18,1.4079405
1189,2500.0,340, ,3165.0796094172
1190,0.0717,1480,828.83,5.75251
1191,0.03762,1171,269.88,2.96264036
1192,0.03303,1555,1176.48,2.07276
1193,0.0453,1285,546.49,3.4252602
1194,0.03416,1570,1362.14,2.18467
1195,0.0335, , ,2.00839
1196,0.055,1604,1364.09,3.95019
1197,0.04211,1942,2531.13,2.7325321
1198,0.0348,1871,1054.95,2.1746742
1199,0.037,1160,332.56,2.798581
1200,0.0562,1840,1704.49,3.916243
1201,0.0427,1120, ,3.3564227
1202,0.06431,1772,1489.55,4.954
1203,0.02946,2050,4170.10,1.682795
1204,0.039,1452,640.33,2.6556777
1205,0.0771,797,76.19,8.5234865
1206,0.059,1120,238.88,4.971252
1207,0.0447,2190,3557.29,2.70579
1208,0.03908,1623,1034.09,2.7164762
1209,0.0344,825,72.44,3.06785234
1210,5.28, , ,4323.0
1211,0.0801,875,138.82,8.15872
1212,0.0519,1716,1645.99,3.66238
1213,0.03488,2470,4812.62,2.17518
1214,0.02335,1715,1440.00,1.36002854
1215,0.033,2160,5139.03,1.809886
1216,0.0375,1710,1657.00,2.484193
1217,0.03443,1926, ,2.13775
1218,0.05512,1790,2242.36,4.08722
1219,0.03711,2210,2007.96,2.21673
1220,0.04622,2049,3384.61,2.90367
1221,0.04853,1387, ,3.7130203
1222,0.0617,1487,902.20,4.9546416
1223,0.04525,963,180.56,3.86814
1224,0.06206,1490, ,5.0843
1225,0.05179,1003, ,4.61442
1226,0.0546,1570,1434.77,4.08605
1227,0.0334,1480,796.89,2.3114243
1228,0.02648,1689,1563.64,1.5732918
1229,0.0574,1470,1103.27,4.37808
1230,0.0571,1475,999.83,4.41195
1231,0.0521,1624,1062.03,3.8559
1232,0.05548,1479,925.49,4.305
1233,0.04217,1184,273.03,3.36101
1234,0.0697,670,38.03,7.919585
1235,0.0562,1270,404.71,5.01718
1236,0.03769,1338,702.39,2.83891856
1237,0.05614,1216,447.82,4.6171
1238,0.0558,1300,471.60,4.46563
1239,0.04988,1759,1639.11,3.69364
1240,3.73, , ,2840.0
1241,0.04101,1053,241.67,3.3098443
1242,0.0272,1315, ,1.7497798
1243,0.0293,1395,690.34,1.9551
1244,0.0267,1706,1559.48,1.6284279
1245,0.0379,1400,615.47,2.78174
1246,0.03444,2035,3410.26,2.14363
1247,0.01673, ,4895.00,0.7895933
1248,0.085, ,190.00,9.03055
1249,1.393,247, ,588.8
1250,0.052,1275,534.00,4.1591492
1251,0.02335,1636,1281.24,1.43036763
1252,0.03963,1153,294.00,3.126089
1253,0.03453,1337,533.00,2.423804
1254,0.0142,1427,680.89,0.813475
1255,0.0561,1021,137.12,4.9816819
1256,1.07,241, ,421.0
1257,0.04022,1244,344.15,3.0524
1258,0.0226,1673,1188.62,1.33823147
1259,0.0486,1166,316.31,4.055259
1260,0.07522,1250, ,6.87188
1261,0.0446,1232,545.33,3.577469
1262,0.02677,1733,1422.61,1.53736596
1263,0.04317,1338,758.10,3.16158
1264,0.0524,1250,425.71,4.31768
1265,0.0239,2782,9392.05,1.21987
1266,0.0394,1388,616.33,2.71866
1267,0.04659,1307,485.22,3.4059096
1268,0.0315,2020,2664.87,1.84683
1269,0.0457,970,121.77,3.92273
1270,0.0442,1456,724.65,3.40883495
1271,0.04,1650,1225.53,2.7566
1272,0.0473,1210,357.01,3.76483
1273,0.03651,1772,934.47,2.34121
1274,0.0376,1077,317.43,2.9444256
1275,0.047,1502,837.70,3.53269
1276,0.052,1340,705.04,4.322482
1277,0.06,1379,410.16,4.8996284
1278,0.03144,1311,492.00,2.152175
1279,0.0408,1620,471.14,2.8786765
1280,0.0663,1500,747.13,5.367753
1281,0.01652,2113,3320.00,0.78883852
1282,0.05053,3353, ,2.724033
1283,0.0653,1760,1594.76,5.147878
1284,0.06,1378,853.15,5.026799
1285,0.0904,1160, ,9.38755
1286,0.0627,1480,669.02,5.1817
1287,0.04632,1111,268.72,4.1117771
1288,0.0451,1479,756.26,3.3769848
1289,0.05427,1186,382.45,4.5195064
1290,0.048,1540,918.36,3.409264
1291,0.035, , ,2.1558
1292,0.02024,2429,5805.00,0.94145223
1293,0.0558,2470,5550.00,3.3448285
1294,0.03957,1142,279.76,3.071722
1295,0.0535,1721,1703.24,3.899052
1296,0.04403,1571,649.43,3.0652907
1297,0.05503,1528,901.90,4.2337005
1298,0.0248,1880,1920.00,1.38665318
1299,0.0694,1740,1506.50,5.477433
1300,0.0504,1642,1200.24,3.8186244
1301,0.0337,1422,680.00,2.34478022
1302,0.0515,1755,1292.19,3.73543
1303,0.0681,1604,1486.86,5.6114118
1304,0.0519,1340,278.89,4.153658
1305,0.0365,2329,6416.64,2.0219596
1306,0.0641,1270,440.00,5.44354
1307,0.04823,1624,545.16,3.465509
1308,0.02818,1610,1043.21,1.7771255
1309,0.0266,1638,1200.00,1.6096884
1310,0.0871,910,121.92,9.62468
1311,0.0673,1557,990.00,5.4060425
1312,0.0452,1119,210.58,3.7684952
1313,0.0415,1389,481.92,3.1186
1314,0.0538,1850,1599.92,3.840401
1315,0.0517,1590,903.01,3.656333
1316,0.0499,1193, ,3.951623
1317,0.0453,970,150.00,3.836169
1318,0.048,1700,1400.00,3.332609
1319,0.055,1312,460.00,4.5334775
1320,0.0694,1460,220.16,5.644207
1321,0.05165,1676,1237.74,3.7521
1322,0.2044,590, ,34.524
1323,0.08215,940,94.97,8.803809
1324,0.0549,1404,591.95,4.60273
1325,0.0261,1200,313.40,1.7690381
1326,0.0316,1260,775.88,2.2783152
1327,0.0347,2000,3140.92,2.052868
1328,0.0469,1540,1061.55,3.310651
1329,0.0323,1320,491.33,2.2359835
1330,0.037,1872,1356.33,2.24375
1331,0.062,910,120.71,5.924262
1332,0.0494,1590,1133.73,3.634433
1333,0.0661,1742,1843.47,5.215357
1334,0.0243,1211,357.18,1.4013794
1335,0.0345,1790, ,2.176423
1336,0.0182,1386,871.73,1.011534
1337,0.067,763,50.84,7.133514
1338,0.0607,1460,748.21,5.322023
1339,0.1012,833,99.63,11.55098
1340,0.05362,1531,617.31,4.35301
1341,0.0628,1100,345.72,5.748145
1342,0.0484,1400,679.79,4.17806203
1344,0.0449,1480,759.34,3.28883
1345,0.0449,1400,615.17,3.37265
1346,0.04263,1520,865.49,2.9776412
1347,0.02596,2720,5431.24,1.27492504
1348,0.0514,1880,1818.55,3.6112706
1349,0.0232,2593,5597.87,1.09142
1350,0.0363,1600,907.86,2.49979
1351,0.05453,1729,1687.71,4.0460435
1352,0.09459,1001,211.79,10.02165
1353,0.02851,2043,2978.20,1.5487743
1354,0.05885,1496,821.41,4.54216875
1356,0.0435,992,184.98,3.72247
1358,0.055,736,37.03,5.7214742
1359,0.0917,1140,315.86,9.28971
1360,0.075,900,166.54,7.87288
1361,0.02918,1516,867.74,1.7554137
1362,0.01985,2508, ,0.925542
1363,0.05057,1560,1089.17,3.58572
1364,0.04574,2190,3854.88,2.84938
1365,0.03781,1370,174.03,3.0927616
1366,0.03889,1812,2121.52,2.5199454
1367,102.0, , ,3165.0796094172
1368,0.057, , ,4.927
1369,0.308,492,10.00,60.0
1370,0.1083,845,85.00,12.4032
1371,0.0825,968,146.00,8.24958
1372,0.1688,677,35.00,24.1396
1373,1.7, , ,1170.0
1374,2.8, , ,1916.25
1375,5.9, , ,5840.0
1376,2880.0,2270, ,3165.0796094172
1377,3500.0,2240, ,3165.0796094172
1378,670.0, , ,3165.0796094172
1379,4.18, , ,378.9999783459997
1380,0.02459,1480,442.99,1.48224686
1381,0.05084,1778,764.74,3.55395
1382,0.02282,1638,1025.50,1.30618581
1383,0.03563,1466,903.86,2.47063
1384,0.03925,1140,318.46,3.03007
1385,0.0443, ,0.37,11.409
1386,0.0252, ,1.15,4.91
1387,320.0,1240, ,3165.0796094172
1388,162.0, , ,3165.0796094172
1389,0.422, , ,101.54
1390,0.21,1350, ,26.468
1391,1.414, , ,562.0
1392,1.22, , ,691.9
1393,1.37, , ,559.3
1394,0.69, , ,198.4
1395,0.66, , ,193.2
1396,0.06189,172,0.14,18.772866
1397,0.04683,197,0.25,12.352446
1398,0.03849,218,0.37,9.20754
1399,0.02925,250,0.65,6.101013
1400,0.02227,286,1.11,4.049219
1401,0.0158,340,2.21,2.421937
1402,0.01154,398,4.15,1.510826
1403,2.52,96,0.02,1700.0
1404,0.02636,941,188.00,1.8237305
1405,0.04963,1526,1393.00,3.6849729
1406,0.0847, , ,10.15643
1407,0.04796,1120,261.86,4.32419
1408,0.04666,1192,337.00,3.739494
1409,0.092,1397,571.01,10.62656
1410,0.01598,1932,2314.06,0.76552414
1411,288.6525,907,112.71,8.3248762
1412,0.075,665,26.71,8.59545
1413,0.0422,871,78.84,3.81673
1414,0.0171,1118,270.07,1.0418777
1415,0.02177,1253,412.00,1.392978
1416,0.423,610,23.10,83.8911
1417,0.1,415,4.90,15.6653
1418,0.0652,514,11.50,8.24661
1419,0.1011,800,64.32,12.2737
1420,0.06,1038,183.08,5.6057
1421,0.3405,314,1.60,84.8396
1422,0.2447,370,3.08,51.69906
1423,0.07928,650,22.60,9.531361
1424,0.134,273,1.27,27.80978
1425,0.1633,269,0.85,37.42396
1426,0.0929,356,2.64,16.051137
1427,0.0677,417,4.98,9.977219
1428,0.1038,1252,200.55,11.2366
1429,0.025,635,38.40,1.977143
1430,0.06608,1749,1720.77,5.0037775
1431,0.0486,1586,1052.90,3.4095675
1432,0.04825,604,20.80,5.0988179
1433,0.02734,1714,1423.00,1.651144
1434,0.1174,750,36.03,16.287
1435,0.3274, , ,77.23
1436,0.1569, , ,25.62
1437,0.08809,860,73.35,10.779
1438,0.01055,2480,4383.42,0.446578
1439,0.0723,1180,404.92,6.9839095
1440,0.1291,1061,248.86,14.574071
1441,0.332,441,9.60,75.12375
1442,0.0251,1082,240.20,1.548351
1443,0.01223,611,23.40,1.2391491
1444,288.6525,919,118.41,10.590923
1445,0.0296,867,94.10,2.3266508
1446,0.052,565,14.26,6.387597
1447,288.6525,1042,195.93,4.872171
1448,0.012,760,53.99,1.2652328
1449,288.6525,808,100.91,12.214286
1450,0.158,906,49.56,20.33003
1454,0.01189,1617,1138.00,0.548177
1455,0.097,1370,342.63,10.33111
1456,0.0555,1472,783.20,4.28088
1457,2148.015,815,73.29,31.034
1458,0.768,318,3.20,225.11781
1459,0.1208,722,38.24,16.364988
1460,0.0823,875,82.52,9.192522
1461,0.0283,1491,695.19,1.858703
1462,0.0164,861,92.50,1.1589
1463,0.04036,1395,633.00,2.8807198
1464,0.0814,509,11.18,10.688716
1465,0.05251,634,26.90,5.5382498
1466,288.6525,2027,3990.86,2.9223
1467,0.098,633,28.36,12.46103
1468,0.052,867, ,4.8494
1469,0.0113,1862,2120.45,0.490047
1470,0.1189,674,34.32,16.06819
1471,0.056,981,154.57,5.19672
1472,0.04823,1074,223.00,4.0664428
1473,0.05222,1570,1013.00,3.8016122
1474,0.0939,1033,186.02,9.573096
1475,0.0528,1378,587.59,4.040301
1476,0.04469,1458,753.90,3.1774835
1477,0.0743,1295,469.00,6.607662
1478,0.0463,1512,872.20,3.4936264
1479,0.0354,463,7.42,4.5445697
1480,0.04611,1633,1186.00,3.2443141
1481,0.0421,1646,1230.00,2.8989727
1482,0.03845,759,55.40,3.438753
1483,0.027,750,54.00,2.154849
1484,0.0813,801,68.60,9.088516
1485,0.0456,1534,924.30,3.246075
1486,0.043,690,39.00,3.936551
1487,0.04289,1498,841.30,3.119999
1488,0.0675,1264,425.00,5.8768918
1489,0.153,643,28.49,18.09547
1490,0.03144,1488,818.50,2.0180231
1491,0.02709,604,13.89,2.59261842
1492,0.0505,1596,1084.00,3.9014971
1493,0.03386,1544,947.80,2.3505614
1494,0.0475,1471,781.80,3.5514058
1495,0.0493,1376,598.00,4.039709
1496,0.03185,1893,2150.00,1.96229325
1497,0.0569,1205,352.00,4.8084983
1498,0.0269,588,28.24,3.994
1499,0.0721,387,3.92,11.379573
1500,0.04526,488,9.94,5.6605731
1501,0.03197,581,19.93,3.3601538
1502,0.0345,531,19.00,3.6977104
1503,288.6525,1182,324.07,6.2034
1504,0.0635,1445,728.00,5.45664
1505,0.0571,1456,750.90,4.5207265
1506,0.04145,1431,699.00,2.9887615
1507,0.1528,1027,186.00,18.38818
1508,0.0672,1352,558.00,5.983944
1509,288.6525,1023,258.82,7.994037
1510,0.249,603,21.98,49.2519
1511,0.1511,556,15.96,23.2856
1512,0.05741,1041,277.75,4.93777
1513,0.0064,1060,204.49,0.3711281
1514,0.0202,1117,62.71,1.3060011
1515,0.0543,1534,923.60,4.3474032
1516,0.0144,1355,651.91,0.7826942
1517,0.0228,447,6.55,3.0766896
1518,0.0341,388,3.70,5.436098
1519,0.04871,1091,237.00,4.0197517
1520,288.6525,1812,1792.60,2.99432
1521,0.1363,284,1.54,27.26955
1522,0.0097,2609,6839.40,0.3524728
1523,0.145,256,0.67,35.189346
1524,0.05009,1688,1356.00,3.5315902
1525,0.0854,1259,406.00,8.001968
1526,0.15544, , ,24.6744
1527,0.09564,652,42.72,11.9101
1528,0.08911,805,16.96,10.695264
1529,0.02234,1860,2000.00,1.1947268
1530,0.03319,1763,1600.00,2.1225735
1531,288.6525,1491,1429.00,6.90683
1532,0.828,348,2.71,260.79
1533,0.1293,628,25.90,17.16073
1534,0.2069,497,10.10,34.525528
1535,0.075,1188,81.50,8.60077
1536,0.057,395,4.00,7.851928
1537,0.01791,3646,14429.00,0.67247414
1538,0.0752,488,8.10,10.50534
1539,0.1539,530,16.50,35.12537
1540,0.1093,630,32.70,21.01538
1541,0.0682,797,84.06,10.35509
1542,0.0112,910,117.76,0.7363104
1543,288.6525,646,29.04,13.79019
1544,288.6525,1829,2643.65,1.4971842
1545,0.092,1167,130.34,8.872078
1546,0.3,759,8.08,52.97818
1547,0.01932,2097,3230.00,0.94667944
1548,0.1587,362,2.90,29.02
1549,0.0204,1885,1901.78,1.0662107
1550,0.1001,1208,354.64,9.5739
1551,0.061,1375,292.25,4.860674
1552,0.00812,2100,1407.22,0.549372
1553,0.04882,1927,2300.00,3.208664
1554,0.1275,470,19.50,20.7095
1555,0.1039,521, ,15.231915
1556,0.0783,600,21.82,9.961881
1557,0.0592,690,38.10,6.5577
1558,0.037,873,97.62,3.23845
1559,0.02607,1040, ,1.914558
1560,0.1177,443,6.39,18.85019
1561,0.0707,533,14.21,9.0497
1562,0.0443,673,28.55,4.4929
1563,0.0291,831, ,2.38839
1564,0.0391,767,57.78,3.49151
1565,0.0914,1198,299.00,9.47725
1566,0.16,800,68.02,24.283429
1567,0.0229,489,13.50,2.500311
1568,0.033548,698,39.00,3.1342791
1570,288.6525,953,195.29,3.77015
1571,0.0226,764,57.02,1.7666957
1572,0.03524,1715,1443.00,2.2554477
1573,0.011557,1069,217.00,0.6691403
1574,0.249,684,15.09,40.74976
1575,0.103,1062,123.81,10.98462
1577,0.01545,924,121.00,0.989343
1578,0.058,1669,1489.11,4.231306
1579,0.06864,1619,1071.42,5.331751
1580,0.03138,1588,1062.00,2.0845435
1581,0.0389,2492,17122.93,1.902603
1582,288.6525,1858,1979.69,2.056014
1583,0.07037,1404,750.92,5.857487
1584,0.0903,918,87.77,10.180249
1585,288.6525,338,2.15,15.532482
1586,288.6525,682,36.00,1.8805136
1587,0.061,326,1.80,11.06201
1589,227.9603571428572,2148,5028.51,0.4702694
1590,0.0071,1072,207.02,0.4090677
1591,0.046,2370,5300.00,2.650237
1592,0.108,867,88.46,12.9972
1593,0.023,1136,277.81,1.4520358
1594,0.4607,255,0.99,95.174
1595,0.0626,1679,1112.85,4.720219
1596,0.026,1395,860.00,2.1097019
1597,0.059,1388,490.12,4.537164
1598,0.0497,1562,810.21,3.9443715
1600,0.0429,1266,603.30,2.699835
1601,0.095,408,6.54,14.47567
1602,0.0783,697, ,8.689
1603,0.0412,961,120.59,3.31599
1604,0.0711,919,90.60,8.1577094
1605,0.1058,344,2.30,18.80151
1606,0.0736,413,4.90,10.894843
1607,0.1116,499,10.32,16.608164
1608,0.0657,651,29.81,7.493134
1609,0.0367,871,95.58,3.127463
1610,0.0407,963,116.75,3.477978
1611,0.137,638,26.70,19.98
1612,0.0814,828,77.59,9.15059
1613,0.05186,1037,185.00,4.65382
1614,0.211,462,11.00,37.9216
1615,0.131,586,28.00,18.6559
1616,0.061,860,129.00,5.904144
1617,0.049,955,196.00,4.30744
1618,0.03826,775,60.30,3.444717
1619,0.1288,330,1.93,24.245586
1620,0.0886,244,3.21,27.36397
1621,0.0392,471,8.80,5.07803
1622,0.0287,703,40.60,2.4919863
1623,288.6525,2097,3212.53,2.103195
1625,288.6525,631,26.43,26.3162
1626,288.6525,673,48.45,18.7992
1627,288.6525,1393,626.36,12.51937
1628,288.6525,1076,222.53,6.25725
1630,0.07098,637,19.93,8.350381
1631,0.04394,810,48.04,4.066499
1632,0.0561,1728,532.00,4.0782387
1633,0.01159,1323,509.20,0.6047328
1634,0.09429,634,26.80,12.226574
1635,0.06152,784,62.90,6.443868
1636,0.08,859,95.00,7.972
1637,0.052,1077,232.00,4.11296
1638,0.051,1762,1215.02,3.660028
1639,0.1207,974,83.39,15.168865
1640,0.90281, , ,200.452
1641,0.94, , ,70.04139053986407
1642,0.0968, , ,10.79
1643,0.055, , ,4.2
1644,0.03, , ,1.796
1646,0.05366, , ,10.77
1647,1100.0, , ,3165.0796094172
1648,0.0496,301,1.38,9.8658
1649,5.3, , ,4343.5
1650,157.0,1975, ,3165.0796094172
1651,210.0, , ,3165.0796094172
1652,0.0234,1134,210.67,1.540731
1653,0.0474,1457,698.15,3.71495
1654,0.0352,2053,2886.29,2.032046
1655,0.0423,1006,27.55,3.506195
1656,0.04127,1415,669.00,2.8792319
1657,0.02803,1385,614.00,1.8053564
1658,0.03783,1681,1330.00,2.5079204
1659,0.02153,1344, ,1.33711647
1660,0.0286,1955,1816.48,1.645321
1661,0.02332,1418,382.33,1.4200242
1662,0.04856,234,0.65,11.1868
1663,5.5, , ,4850.0
1664,0.03176, , ,2.1461
1665,0.06, , ,4.4264
1666,0.0102, , ,0.322964
1667,0.0044, , ,0.09070629
1668,23.0, , ,3165.0796094172
1669,0.46, , ,98.2114
1670,0.36, , ,66.5419
1671,0.19, , ,25.262
1672,10.26, , ,10140.0
1673,0.03734, , ,3.1606296
1674,0.828,281,1.21,282.5255
1675,0.652,481, ,138.317
1676,34.0,995, ,3165.0796094172
1677,20.0,1204, ,43500.0
1678,243.0,2175, ,7300000.0
1679,0.0308,2034,4135.36,2.4855335
1680,0.02383,2212, ,1.2119189
1681,0.051,1686, ,3.67724
1682,0.051,1550, ,3.9791
1683,0.03035,2013, ,1.689868
1684,0.02289,1342, ,1.4324752
1685,0.0473,1019, ,4.0144463
1686,0.0434,1702, ,3.101278
1687,2.7, , ,224.70208931179528
1688,3.2, , ,266.93813298400084
1689,3.4, , ,335.07737288583286
