,planet_mass,planet_radius,planet_density
310,270.462,14.258,0.362
311,4538.421,12.3,13.4
312,1093.3352,15.917,1.56
313,616.5902,11.882,1.96
314,1332.605,14.448,2.42
315,184.3414,11.769,0.64
316,1080.6,13.1,2.64
317,62.61,11.153,0.25
318,92.802,12.689,0.25
319,2765.121,10.66,7.29
320,2302.899,9.718,13.78
321,1547.8321,12.442,4.6
322,785.0401,12.89,2.14
323,425.8922,12.218,1.406
324,238.3725,14.572,0.44
325,180.84527,12.722,0.483
326,22.2481,7.062,0.4
327,197.05,11.43,0.76
328,198.953,13.585,0.44
329,279.6904,13.115,0.79
330,206.5895,10.536,0.855
331,263.7989,16.141,0.309
332,721.4741,12.218,2.18
333,216.1244,22.194,0.108
334,292.4036,20.737,0.2
335,1058.3739,13.417,2.5
336,335.62848,14.93,0.55
337,587.41341,14.314,1.175
338,371.528,13.204,0.89
339,84.857,9.247,0.59
340,190.372,17.609,0.19
341,213.255,14.28,0.403
342,152.5584,17.038,0.15
343,378.2177,22.978,0.204
344,331.801,14.348,0.61
345,210.395,13.63,0.39
346,111.871,13.922,0.23
347,1271.3,13.0,3.18
348,283.492,15.984,0.38
349,156.684,14.392,0.28
350,699.226,17.822,0.75
351,311.4734,13.563,0.642
352,429.0705,14.437,0.78
353,98.20947,14.493,0.178
354,259.98494,11.31,0.98
355,471.65972,14.773,0.8
356,241.5508,10.581,1.118
357,184.97706,13.249,0.435
358,734.1873,16.926,0.75
359,448.1403,19.504,0.332
360,118.23217,14.93,0.194
361,489.45575,12.588,1.347
362,419.5356,16.589,0.558
363,182.43351,18.282,0.164
364,335.94463,10.077,1.8
365,241.86742,12.027,0.77
366,195.14664,12.543,0.54
367,184.34048,19.089,0.144
368,167.49641,21.185,0.096
369,248.86089,17.822,0.242
370,108.0622,23.371,0.052
371,230.10892,12.016,0.727
372,1137.8314,18.786,1.02
373,584.8072,16.926,0.712
374,2154.8874,20.961,1.54
375,406.8224,15.693,0.568
376,238.05467,15.614,0.342
377,589.55,14.594,1.03
378,167.17858,10.862,0.7
379,263.7989,18.03,0.315
380,759.6137,7.76,1.12
381,172.58169,13.585,0.377
382,340.39593,11.646,1.191
383,689.6911,12.386,1.97
384,1039.3041,14.572,1.86
385,425.25654,8.709,3.5
386,629.14449,14.897,1.1169
387,427.463,13.092,1.05
388,870.8542,10.682,3.89
389,467.2101,20.849,0.29
390,718.2958,15.637,1.03
391,194.82979,14.123,0.38
392,206.5895,19.616,0.153
393,168.4499,16.814,0.18
394,213.58176,13.384,0.48
395,207.54299,14.022,0.411
396,340.382,15.48,0.51
397,224.38798,13.171,0.543
398,279.6904,18.383,0.243
399,292.4036,14.0,0.58
400,378.85336,13.787,0.79
401,299.07803,16.029,0.4
402,388.38826,16.41,0.484
403,1022.14128,12.92,2.12
404,31.46517,6.793,0.55
405,23.51942,6.882,0.403
406,200.2329,17.598,0.202
407,420.471,11.433,1.55
408,505.3497,17.71,0.49
409,3082.951,14.908,5.1
410,597.5204,15.693,0.83
411,82.95363,13.227,0.191
412,177.9848,11.96,0.56
413,222.481,14.415,0.41
414,54.98459,10.122,0.28
415,117.27927,12.52,0.331
416,77.23269,8.967,0.589
417,112.19399,8.575,0.986
418,75.323,10.223,0.39
419,123.9537,12.666,0.33
420,244.09344,15.805,0.34
421,711.9392,15.491,1.06
422,189.10885,15.02,0.303
423,239.32479,11.377,0.77
424,292.72143,14.022,0.587
425,191.33366,18.921,0.155
426,1000.21101,12.767,2.65
427,327.3649,12.274,0.96
428,256.17098,12.621,0.7
429,4036.441,12.3,11.9
430,101.38777,11.187,0.399
431,210.40346,12.924,0.537
432,1080.622,13.395,2.47
433,56.89157,11.825,0.076
434,305.1168,13.529,0.67
435,305.1168,18.82,0.245
436,260.93843,16.825,0.3
437,1694.0339,15.816,2.34
438,460.8535,18.887,0.374
439,410.0007,13.809,0.856
440,183.38791,10.593,0.46
441,38.1396,6.311,0.83
442,4100.007,15.513,6.64
443,117.5971,11.478,0.42
444,39.85588,8.097,0.411
445,464.02947,11.568,1.64
446,156.05375,9.909,0.878
447,835.57088,12.094,2.58
448,436.69623,13.058,1.077
449,43.86054,9.785,0.259
450,266.02371,13.85,0.626
451,239000.0,77.342,2.84
452,511.7063,13.5,1.14
