,stellar_age_[gyr],stellar_effective_temperature_[k],stellar_mass_[solar_mass]
1049,3.1,4871.0,1.27
1050,3.1,4871.0,1.27
1051,2.64,6012.0,1.29
1052,7.41,4830.0,1.01
1053,1.72,4877.0,1.53
1054,5.5,5902.0,0.96
1055,0.42,8500.0,1.89
1057,1.5,4673.0,1.93
1058,1.73,4658.0,1.9
1059,1.8,4348.0,1.7
1060,2.8,6245.0,1.5
1061,2.8,6245.0,1.5
1064,0.98,4892.63,2.0
1066,0.414,5640.0,0.99
1067,0.414,5640.0,0.99
1068,1.0,4812.0,0.42
1069,4.77,5449.0,0.65
1070,6.8,5534.0,0.93
1071,6.8,5534.0,0.93
1074,11.27,5769.0,1.1
1075,4.0,5612.0,0.87
1076,4.0,5612.0,0.87
1077,6.84,4323.0,1.1
1078,3.515,5716.0,1.01
1079,3.515,5647.6,1.01
1080,1.45,6330.0,1.36
1081,1.45,6330.0,1.36
1083,2.0,5950.0,1.12
1084,6.0,5932.0,1.28
1085,3.4,5883.41,1.17
1087,7.0,5385.0,0.86
1088,7.0,5385.0,0.86
1089,7.0,5385.0,0.86
1090,0.102,5737.0,1.0
1091,0.919,5732.0,1.08
1092,6.79,5371.0,0.77
1094,6.5,5932.0,1.09
1095,7.32,5932.0,1.09
1096,8.0,5688.0,1.01
1097,8.14,5387.0,0.93
1098,8.14,5387.0,0.93
1099,9.2,5601.0,1.14
1100,9.59,5633.0,1.01
1101,7.04,4917.0,1.16
1102,0.48,4511.0,0.73
1103,0.48,4511.0,0.73
1104,3.7,6068.0,1.1
1105,3.7,6068.0,1.1
1106,2.1,6024.0,1.2
1107,5.6,6117.0,1.29
1108,4.0,4867.0,1.26
1109,5.36,4867.0,1.26
1110,3.56,5963.0,1.26
1111,11.0,5644.0,0.99
1112,7.1,4698.0,1.17
1115,0.88,5131.0,0.65
1116,0.88,5075.0,0.83
1117,0.88,5075.0,0.83
1118,2.71,5748.0,1.08
1119,5.9,5561.0,1.15
1120,2.67,5910.0,1.18
1121,7.1,4780.0,2.2
1123,5.0,6156.77,1.3
1124,5.0,6156.77,1.3
1125,5.0,6156.77,1.3
1126,1.22,4388.0,2.3
1127,12.12,5310.0,0.78
1128,12.12,5310.0,0.78
1129,12.12,5310.0,0.78
1130,12.12,5310.0,0.78
1131,2.0,6466.27,1.32
1132,11.04,5627.0,0.89
1133,10.0,5627.0,0.89
1134,3.3,6212.0,1.19
1135,3.92,5998.0,1.07
1136,3.92,6037.0,1.1
1138,7.827,4749.0,2.13
1140,0.65,4886.0,2.7
1141,0.65,4886.0,2.7
1142,2.8,4860.0,1.61
1143,0.02,21700.0,9.1
1144,3.35,4538.2,1.5
1145,2.5,4970.0,1.8
1146,0.03,10900.0,2.6
1147,2.65,4504.0,1.54
1148,2.65,4504.0,1.54
1149,2.412,4330.0,1.23
1151,2.82,4822.0,1.47
1152,2.82,4822.0,1.47
1153,5.4,4888.0,1.4
1155,4.7,4754.0,0.75
1156,0.6,5020.38,0.82
1157,1.74,4406.0,1.7
1158,2.95,4126.0,1.4
1159,0.023,7890.0,1.8
1160,0.017,8038.68,1.8
1161,1.85,4092.1,1.7
1162,0.015,4763.297109236694,0.5075928571428556
1163,6.6,4055.0,1.13
1165,3.8,3151.0,0.14
1166,3.8,3151.0,0.14
1167,3.8,3151.0,0.14
1168,0.014,4749.0,1.1
1169,1.18,6250.0,1.41
1170,1.88,6720.0,1.47
1171,8.5,5430.0,1.04
1172,2.1,6397.0,1.1
1173,2.82,6429.0,0.58
1174,7.1,5399.0,0.98
1175,7.1,5399.0,0.98
1176,7.8,5340.0,0.97
1177,0.9,5750.0,0.88
1178,11.0,4716.0,0.69
1185,0.6,5000.0,0.82
1186,2.55,6250.0,1.2
1187,6.0,575.0,0.03
1188,7.93,4710.0,0.52
1189,2.1,9552.0,0.5075928571428556
1190,3.0,6150.0,1.21
1191,2.7,5473.0,0.81
1192,4.8,5640.0,1.18
1193,8.0,5540.0,1.06
1194,2.4,5830.0,1.46
1195,4.0,6040.0,1.24
