,stellar_age_[gyr],stellar_effective_temperature_[k],stellar_mass_[solar_mass]
2348,7.8,5599.0,1.17
2350,8.0,4950.0,0.75
2351,12.3,5775.0,0.84
2352,12.3,5775.0,0.84
2353,5.9,5660.0,1.04
2354,7.2,4920.0,0.86
2355,10.7,5657.0,0.95
2375,8.5,4840.0,1.08
2380,0.688,4499.0,0.74
2381,0.688,4499.0,0.74
2382,0.688,4499.0,0.74
2384,2.8,5356.3,0.94
2385,2.8,5356.3,0.94
2386,2.8,5356.3,0.94
2387,2.8,5356.3,0.94
2388,2.8,5356.3,0.94
2389,2.8,5356.3,0.94
2390,1.8,5370.0,0.96
2392,9.8,5585.0,0.96
2393,6.3,4599.0,0.71
2394,6.3,4599.0,0.71
2395,5.0,3385.0,0.33
2396,5.0,3385.0,0.33
2428,2.1,6141.0,1.34
2430,9.7,5477.0,0.92
2445,9.5,5306.0,0.72
2447,2.07,5170.0,0.86
2463,8.0,5322.0,0.88
2464,8.0,5322.0,0.88
2465,8.0,5322.0,0.88
2479,5.04,4491.0,0.71
2480,5.04,4491.0,0.71
2492,1.0,4222.06,0.68
2493,1.0,4222.06,0.68
2518,5.4,5315.0,0.87
2519,5.4,5315.0,0.87
2521,3.0,5695.0,1.01
2522,1.43,6154.0,1.19
2523,0.36,5033.0,0.79
2524,0.36,5033.0,0.79
2525,0.36,5033.0,0.79
2526,1.02,6360.0,1.26
2527,5.63,5630.0,1.19
2531,5.1,5625.0,1.07
2532,5.1,5625.0,1.07
2546,0.73,3207.0,0.26
2558,1.0,3785.0,0.56
2559,1.9,6367.0,1.39
2560,9.3,5445.0,1.09
2561,7.0,5368.0,0.88
2570,10.3,5248.0,0.87
2584,8.96,5500.0,1.03
2588,0.12,4140.0,0.63
2594,4.5,5695.0,1.06
2595,1.0,3341.0,0.33
2597,2.6,5358.0,0.94
2598,4.0,6302.0,1.19
2599,4.0,6302.0,1.19
2600,3.72,5520.0,0.93
2601,6.8,5725.0,1.0
2605,1.0,3896.0,0.6
2606,1.0,3896.0,0.6
2607,1.0,3896.0,0.6
2608,3.9,5425.0,0.9
2611,1.0,3300.0,0.17
2617,7.9,5271.0,0.83
2618,7.9,5271.0,0.83
2619,7.9,5271.0,0.83
2620,7.9,5271.0,0.83
2628,1.8,5282.0,0.9
2629,0.009,3540.0,0.56
2641,2.88,6168.0,1.16
2668,1.4,4916.0,0.79
2669,1.4,4953.0,0.81
2691,6.7,5731.0,1.03
2692,6.7,5731.0,1.03
2710,3.09,4881.0,0.66
2765,10.0,5500.0,0.97
2787,0.85,4970.0,0.8
2804,1.0,3390.0,0.3
2808,0.79,3566.0,0.41
2809,7.8,4717.0,1.2
2810,5.2,6172.0,1.2
2811,2.4,6217.0,1.63
2813,4.5,5948.0,1.11
2815,2.2,6279.0,1.59
2816,5.11,5720.0,1.24
2818,3.1,6236.0,1.21
2819,0.65,7454.0,1.64
2820,1.9,6670.0,1.52
2822,3.97,6327.0,1.54
2823,0.6,8720.0,1.76
2824,1.6,7598.0,1.46
2825,6.4,5899.0,0.94
2826,0.78,6509.0,1.46
2827,3.0,6304.0,1.96
2828,4.44,6206.0,1.2
2829,6.1,6102.0,1.42
2830,4.9,6272.0,1.13
2831,1.3,6768.0,1.76
2832,5.4,5754.0,0.81
2833,0.3,10170.0,2.52
2837,0.56,6118.4,1.22
2842,3.16,6340.0,1.07
2849,3.0,6065.0,0.98
2910,1.45,6635.0,1.5
2911,9.3,5520.0,0.99
2912,1.12,7650.0,1.72
2913,1.6,5466.0,0.99
2914,2.2,5466.0,0.99
2915,4.7,5833.0,1.02
2916,4.7,5833.0,1.02
2917,0.2,5922.0,1.08
2918,0.2,5922.0,1.08
2919,0.8,5233.0,0.9
2920,2.14,4413.0,0.68
2921,1.7,5545.0,0.95
2924,0.53,6080.0,1.2
2925,0.53,6080.0,1.2
2926,0.53,6080.0,1.2
2927,0.53,6080.0,1.2
2928,0.53,6080.0,1.2
2929,0.53,6080.0,1.2
2930,0.53,6080.0,1.2
2931,3.2,5830.0,1.01
2932,4.0,3515.0,0.41
2935,0.036,5241.0,0.88
2936,0.036,4324.0,0.76
2937,3.16,6182.0,1.28
2938,3.16,6182.0,1.28
2939,3.16,6182.0,1.28
2940,3.16,6182.0,1.28
2941,1.3,5295.0,0.93
2942,1.3,5295.0,0.93
2945,9.12,5627.0,0.91
2946,9.12,5706.0,1.02
2947,6.46,5825.0,1.08
2948,6.46,5825.0,1.08
2949,6.46,5825.0,1.08
2950,1.26,6453.0,1.4
2951,4.68,5491.0,0.9
2952,0.6,5376.0,0.93
2953,4.07,6144.0,1.22
2954,3.16,6109.0,1.11
2955,7.76,4972.0,1.11
2956,6.17,5782.0,1.0
2957,4.27,5328.0,0.78
2958,4.17,4587.0,0.73
2959,6.76,5066.0,0.81
2960,3.16,4027.0,0.59
2961,5.9,5667.0,1.17
2962,5.9,5667.0,1.17
2963,4.79,5253.0,0.86
2964,4.47,5416.0,0.91
2965,3.72,5556.0,0.95
2966,4.27,4954.0,0.81
2967,4.79,5388.0,0.88
2968,1.58,6769.0,1.49
2969,3.89,5821.0,0.99
2970,3.89,5821.0,0.99
2971,2.95,5473.0,0.93
2972,4.47,5518.0,0.91
2973,3.55,4433.0,0.7
2974,1.41,4903.0,0.8
2975,1.41,4903.0,0.8
2976,1.41,4903.0,0.8
2977,1.41,4903.0,0.8
2978,1.41,4903.0,0.8
2979,3.63,5227.0,0.87
2980,4.68,5431.0,0.89
2981,3.63,4445.0,0.71
2982,4.47,5494.0,0.93
2983,5.25,5143.0,0.81
2984,3.31,6089.0,1.09
2985,4.57,4948.0,0.79
2986,1.41,5436.0,0.91
2987,4.68,5522.0,0.9
2988,4.07,5030.0,0.82
2989,5.7,5845.0,1.09
2990,5.7,5845.0,1.09
2991,4.37,4983.0,0.8
2992,3.39,6011.0,1.09
2993,1.86,4647.0,0.77
2994,5.01,5547.0,0.94
2995,4.79,5198.0,0.83
2996,4.47,5763.0,0.98
2997,3.24,5533.0,0.95
2998,5.13,5105.0,0.82
2999,4.27,5335.0,0.87
3000,14.0,5159.0,0.87
3001,4.37,4870.0,0.79
3002,12.9,5711.0,0.81
3003,12.9,5711.0,0.81
3004,12.9,5711.0,0.81
3005,4.17,5694.0,0.98
3006,3.55,5957.0,1.06
3007,4.79,4815.0,0.75
3008,4.47,5629.0,0.92
3009,3.55,5985.0,1.08
3010,4.47,5301.0,0.86
3011,3.63,5913.0,1.04
3012,4.47,5754.0,1.08
3013,4.47,5754.0,1.08
3014,3.98,4651.0,0.75
3015,3.8,3864.0,0.51
3016,3.17,6397.0,1.28
3017,3.17,5827.0,0.96
3018,3.55,6010.0,1.09
3019,3.55,6010.0,1.09
3020,1.74,6675.0,1.43
3021,3.55,5888.0,1.03
3022,3.09,4529.0,0.74
3023,2.82,6209.0,1.22
3024,3.09,5723.0,0.98
3025,2.95,6127.0,1.12
3026,3.09,5987.0,1.07
3027,3.39,4644.0,0.73
3028,5.37,4906.0,0.75
3029,4.83,5858.0,1.0
3030,4.83,5858.0,1.0
3031,4.83,5858.0,1.0
3032,4.83,5858.0,1.0
3033,4.27,5797.0,0.99
3034,2.14,6067.0,1.09
3035,2.45,4597.0,0.75
3036,3.39,5945.0,1.09
3037,3.89,5153.0,0.85
3038,4.47,5635.0,0.94
3039,4.47,5635.0,0.94
3040,3.8,5762.0,0.98
3041,4.79,5592.0,0.95
3042,0.5,5594.0,0.98
3043,4.17,5806.0,1.01
3044,4.37,5722.0,0.99
3045,4.29,5854.0,1.24
3046,4.29,5854.0,1.24
3047,4.29,5854.0,1.24
3048,4.29,5854.0,1.24
3049,2.75,6261.0,1.21
3050,4.27,5215.0,0.86
3051,2.88,6199.0,1.2
3052,3.72,5792.0,1.0
3053,3.72,5792.0,1.0
3054,3.72,5509.0,0.92
3055,3.55,4002.0,0.6
3056,2.95,3959.0,0.56
3057,3.72,4868.0,0.79
3058,4.17,5816.0,1.02
3059,4.37,5612.0,0.94
3060,6.61,5758.0,1.08
3061,3.89,5854.0,1.25
3062,3.89,5854.0,1.25
3063,3.89,5956.0,1.1
3064,4.68,5345.0,0.88
3065,5.75,5923.0,1.03
3066,4.68,5049.0,0.81
3067,4.07,6113.0,1.12
3068,3.39,6000.0,1.11
3069,0.3,5816.0,1.05
3070,2.88,4350.0,0.7
3071,2.88,4350.0,0.7
3072,3.55,5589.0,0.96
3073,3.02,5975.0,1.08
3074,3.72,3753.0,0.52
3075,5.73,5952.0,1.04
3076,5.73,5952.0,1.04
3077,4.37,5321.0,0.86
3078,4.37,5863.0,1.03
3079,4.9,5075.0,0.82
3080,3.63,5618.0,0.95
3081,3.98,5777.0,0.99
3082,2.57,6191.0,1.18
3083,4.37,5485.0,0.88
3084,6.2,5012.0,0.83
3085,4.57,5099.0,0.83
3086,3.98,5871.0,1.04
3087,3.55,5995.0,1.09
3088,3.8,5785.0,0.98
3089,3.31,5148.0,0.84
3090,3.31,5148.0,0.84
3091,4.37,5222.0,0.84
3092,4.17,5611.0,0.94
3093,4.9,5071.0,0.8
3094,4.37,5692.0,0.97
3095,4.9,5099.0,0.8
3096,4.79,5394.0,0.87
3097,3.89,3722.0,0.53
3098,5.13,5616.0,0.97
3099,2.69,6185.0,1.18
3100,4.47,5419.0,0.9
3101,4.47,5343.0,0.88
3102,4.37,5692.0,0.98
3103,2.9,5933.0,1.36
3104,4.27,5612.0,0.94
3105,4.37,5513.0,0.92
3106,3.98,5903.0,1.06
3107,4.47,5181.0,0.84
3108,4.07,5700.0,0.97
3109,4.47,4881.0,0.76
3110,4.68,5440.0,0.9
3111,3.98,3715.0,0.53
3112,3.55,5913.0,1.11
3113,9.8,5638.0,0.81
3114,9.8,5638.0,0.81
3115,4.57,5518.0,0.91
3116,4.27,5715.0,0.98
3117,5.5,4841.0,0.77
3118,4.47,5649.0,0.94
3119,3.39,5963.0,1.11
3120,4.37,5493.0,0.89
3121,4.37,5703.0,0.96
3122,3.98,5559.0,0.92
3123,5.01,5021.0,0.8
3124,3.72,5890.0,1.08
3125,6.3,5875.23,1.06
3126,6.31,5875.23,1.06
3127,6.31,5875.23,1.06
3128,4.47,5403.0,0.87
3129,4.47,5520.0,0.94
3130,4.57,5723.0,1.0
3131,4.27,3701.0,0.51
3132,4.68,4945.0,0.79
3133,3.31,4192.0,0.6
3134,4.47,5355.0,0.88
3135,4.07,5627.0,0.95
3136,4.47,5624.0,0.97
3137,4.79,5709.0,0.99
3138,1.0,5331.0,0.86
3139,3.16,6038.0,1.15
3140,3.89,5352.0,0.87
3141,4.68,5327.0,0.91
3142,3.8,5887.0,1.03
3143,4.68,4913.0,0.79
3144,4.68,5754.0,1.01
3145,4.57,5264.0,0.86
3146,3.63,4897.0,0.79
3147,4.27,4483.0,0.7
3148,4.57,4779.0,0.75
3149,1.0,5962.0,1.04
3150,3.24,4870.0,0.79
3151,3.09,4103.0,0.63
3152,4.17,5808.0,1.01
3153,4.37,5281.0,0.86
3154,3.39,6170.0,1.15
3155,5.37,5865.0,1.04
3156,7.76,5665.0,1.02
3157,7.76,5665.0,1.02
3158,1.48,5490.0,0.97
3159,3.55,5522.0,0.92
3160,6.46,5849.0,1.08
3161,3.31,6220.0,1.25
3162,2.9,6211.0,1.25
3163,2.9,6211.0,1.25
3164,2.9,6211.0,1.25
3165,2.95,5871.0,0.97
3166,1.82,5741.0,1.05
3167,2.75,5906.74,1.07
3168,4.27,6020.0,1.03
3169,4.57,5634.0,0.93
3170,2.95,6170.0,1.13
3171,1.62,6747.0,1.49
3172,12.02,4908.0,1.0
3173,1.95,6570.0,1.4
3174,7.08,5713.0,1.02
3175,2.09,5653.0,1.01
3176,4.37,5896.0,1.14
3177,11.75,5382.0,0.88
3178,2.19,6096.0,1.64
3179,5.01,5203.0,0.85
3180,2.34,6174.0,1.33
3181,5.37,6075.0,1.03
3182,3.52,5877.0,1.0
3183,6.03,5899.0,1.02
3184,3.02,5322.0,0.91
3185,2.51,6185.0,1.24
3186,4.47,5829.0,1.02
3187,0.21,5576.0,0.98
3188,1.91,5444.0,0.93
3189,8.71,5721.0,1.0
3190,2.24,6424.0,1.3
3191,5.37,5813.0,1.01
3192,1.51,5789.0,1.04
3193,1.51,5789.0,1.04
3194,3.72,6117.0,1.1
3195,4.47,5443.0,0.9
3196,3.47,4201.0,0.64
3197,3.63,4521.0,0.72
3198,3.02,6155.0,1.15
3199,7.0,4925.0,0.69
3200,7.0,4925.0,0.69
3201,7.0,4925.0,0.69
3202,7.0,4925.0,0.69
3203,7.0,4925.0,0.69
3204,3.47,5980.0,1.09
3205,3.47,5980.0,1.09
3206,4.27,5860.0,1.05
3207,3.98,3712.0,0.51
3208,0.4,6004.0,1.06
3209,3.89,5753.0,0.98
3210,3.89,5753.0,0.98
3211,3.72,4655.0,0.73
3212,4.79,5268.0,0.85
3213,4.27,5723.0,0.98
3214,4.47,5693.0,0.98
3215,4.47,5761.0,1.01
3216,3.55,5943.0,1.1
3217,3.55,5943.0,1.1
3218,1.0,4017.0,0.64
3219,3.72,5971.0,1.09
3220,3.8,5820.0,1.0
3221,4.9,5244.0,0.81
3222,4.9,5196.0,0.84
3223,2.88,6161.0,1.13
3224,4.47,5462.0,0.91
3225,4.47,5462.0,0.91
3226,3.72,5890.0,1.02
3227,4.37,5808.0,1.01
3228,4.37,5808.0,1.01
3229,4.37,5808.0,1.01
3230,3.16,6062.0,1.08
3231,4.07,5160.0,0.85
3232,4.57,5279.0,0.84
3233,5.0,5905.0,1.04
3234,5.0,5905.0,1.04
3235,5.0,5905.0,1.04
3236,1.3,5647.0,1.21
3237,5.01,5127.0,0.83
3238,12.3,5245.0,0.9
3239,7.59,5307.0,0.87
3240,4.27,5683.0,0.97
3241,2.69,6267.0,1.21
3242,2.7,5138.5,0.93
3243,2.7,5138.5,0.93
3244,4.27,5485.0,0.91
3245,3.63,5967.0,1.08
3246,3.89,5913.0,1.04
3247,4.17,5677.0,0.97
3248,3.55,6000.0,1.1
3249,0.26,6074.0,1.04
3250,0.26,6074.0,1.04
3251,14.0,5372.0,0.83
3252,4.47,5296.0,0.88
3253,4.07,5835.0,1.01
3254,4.79,5549.0,0.92
3255,4.17,5575.0,0.94
3256,3.63,5593.0,0.96
3257,2.88,6195.0,1.17
3258,4.47,5523.0,0.94
3259,4.47,5564.0,0.93
3260,4.07,5772.0,1.0
3261,3.47,4298.0,0.67
3262,2.14,6099.0,1.04
3263,2.14,5843.0,0.95
3264,2.14,5843.0,0.95
3265,4.07,5636.0,0.99
3266,4.68,5334.0,0.87
3267,3.8,4984.0,0.78
3268,4.47,5672.0,0.99
3269,3.98,5710.0,0.97
3270,4.17,5612.0,0.95
3271,5.89,5746.0,0.99
3272,4.68,5212.0,0.83
3273,4.68,5527.0,0.93
3274,5.01,5496.0,0.93
3275,0.6,5145.0,0.83
3276,0.6,5145.0,0.83
3277,4.9,5616.0,0.95
3278,5.89,3768.0,0.55
3279,4.68,5148.0,0.84
3280,4.57,5132.0,0.83
3281,4.07,5735.0,0.98
3282,4.27,5626.0,0.95
3283,5.37,5066.0,0.8
3284,4.57,5575.0,0.93
3285,4.27,5646.0,0.96
3286,4.27,5646.0,0.96
3287,4.07,3556.0,0.34
3288,4.37,4819.44,1.29
3289,3.5,4840.0,1.32
3290,3.5,4840.0,1.32
3291,4.37,5630.0,0.96
3292,4.47,5242.0,0.85
3293,3.24,6068.0,1.11
3294,4.17,5740.0,1.0
3295,3.89,5894.0,1.03
3296,5.62,5447.0,0.93
3297,2.88,5266.0,0.92
3298,2.88,5266.0,0.92
3299,3.89,5863.0,1.03
3300,3.8,4286.0,0.65
3301,4.68,5322.0,0.87
3302,2.34,4503.0,0.63
3303,2.34,4503.0,0.63
3304,2.34,4503.0,0.63
3305,2.34,4362.0,0.62
3306,2.34,4362.0,0.62
3307,4.57,5360.0,0.88
3308,4.57,5360.0,0.88
3309,4.37,5535.0,0.93
3310,2.88,4828.0,0.78
3311,3.31,5967.0,1.11
3312,4.47,5882.0,1.04
3313,2.63,6206.0,1.16
3314,5.75,4671.0,0.7
3315,4.57,5526.0,0.93
3316,3.09,6166.0,1.41
3317,4.9,5946.0,1.02
3318,13.8,4252.0,0.52
3319,13.8,3705.0,0.51
3320,13.8,3705.0,0.51
3321,0.91,5820.0,1.05
3322,0.91,5820.0,1.05
3323,5.3,5547.0,0.89
3324,1.45,5763.0,1.07
3325,4.79,5524.0,0.92
3326,3.24,6123.0,1.18
3327,1.7,5936.0,1.07
3328,1.58,5884.0,1.05
3329,3.24,4758.0,0.78
3330,2.0,5192.0,0.87
3331,7.76,4893.0,0.78
3332,1.78,5697.0,0.97
3333,0.3,6085.0,0.98
3334,0.3,5858.0,0.98
3335,0.3,5858.0,0.98
3336,0.2,6078.0,1.01
3337,3.98,6087.0,1.07
3338,3.98,6087.0,1.07
3339,5.5,5807.0,1.01
3340,2.4,6388.0,1.28
3341,2.14,5894.0,1.15
3342,10.47,5573.0,0.95
3343,3.02,6014.0,1.09
3344,3.02,6014.0,1.09
3345,2.45,5515.0,0.93
3346,1.7,6392.0,1.54
3347,1.78,6406.0,1.34
3348,2.04,6112.0,1.1
3349,2.04,6112.0,1.1
3350,3.55,4263.0,0.58
3351,3.55,4075.0,0.54
3352,3.55,4075.0,0.54
3353,1.91,5260.0,0.89
3354,1.35,5842.0,0.96
3355,6.31,5690.0,0.95
3356,1.32,7099.0,1.62
3357,3.39,5293.0,0.9
3358,2.69,6106.0,1.28
3359,5.5,5849.0,1.02
3360,3.72,5997.0,1.17
3361,7.94,5866.0,0.96
3362,7.94,5770.0,1.0
3363,10.47,5746.0,0.91
3364,0.3,6018.0,1.04
3365,0.3,6018.0,1.04
3366,0.3,6018.0,1.04
3367,4.27,6060.0,1.1
3368,3.55,6025.0,1.16
3369,3.8,6113.0,1.16
3370,1.74,6236.0,1.19
3371,3.16,3931.0,0.55
3372,4.17,3519.0,0.33
3373,3.09,6125.0,1.15
3374,0.3,5794.0,1.03
3375,3.31,5904.0,1.03
3376,4.37,5813.0,1.02
3377,3.8,6225.0,1.24
3378,3.8,6225.0,1.24
3379,2.88,6297.0,1.37
3380,4.57,5312.0,0.87
3381,3.89,5744.0,0.98
3382,3.55,5834.0,1.09
3383,4.57,5293.0,0.86
3384,0.6,5392.0,0.89
3385,4.37,5346.0,0.86
3386,4.79,6007.0,1.1
3387,2.0,6457.0,1.36
3388,4.47,5582.0,1.04
3389,3.47,6045.0,1.08
3390,2.88,4252.0,0.55
3391,2.88,4252.0,0.55
3392,2.88,3974.0,0.55
3393,2.88,3974.0,0.55
3394,3.31,5014.0,0.82
3395,3.47,5970.0,1.07
3396,3.4,5422.0,0.87
3397,5.62,5444.0,0.91
3398,5.62,5444.0,0.91
3399,3.72,5958.0,1.07
3400,1.48,5668.0,0.96
3401,2.63,6346.0,1.28
3402,6.03,4871.0,0.75
3403,6.17,5802.0,1.01
3404,2.34,6322.0,1.25
3405,3.14,5194.0,0.88
3406,3.14,5194.0,0.88
3407,3.14,5194.0,0.88
3408,3.14,5194.0,0.88
3409,4.27,5247.0,0.86
3410,4.9,5210.0,0.85
3411,2.09,5240.0,0.87
3412,5.37,5837.0,1.03
3413,2.69,5009.0,0.86
3414,6.76,5785.0,0.99
3415,6.92,5816.0,1.06
3416,2.69,4996.0,0.85
3417,1.58,6733.0,1.49
3418,1.86,6613.0,1.4
3422,2.0,5498.0,0.96
3423,8.13,5809.0,1.05
3424,3.47,5927.0,1.04
3425,3.47,5927.0,1.04
3426,2.19,6310.0,1.23
3427,4.9,5933.0,1.21
3428,7.41,5661.0,0.87
3429,0.5,7500.0,1.59
3430,0.5,7500.0,1.59
3431,2.51,5634.0,0.98
3432,3.16,6146.0,1.17
3433,4.5,5309.0,0.92
3434,9.7,5155.0,0.9
3435,9.7,5155.0,0.9
3436,3.0,6117.21,1.15
3438,5.25,5701.0,1.03
3439,4.27,5701.0,0.85
3440,2.49,5527.0,0.94
3441,6.0,5757.0,1.04
3444,3.02,6197.21,1.19
3445,3.02,6197.21,1.19
3446,3.02,6197.21,1.19
3447,0.5,3820.0,0.59
3448,9.77,5649.18,1.02
3449,9.77,5649.18,1.02
3450,1.45,6466.33,1.5
3451,2.69,5493.0,1.0
3452,3.72,3359.0,0.22
3453,3.72,3359.0,0.22
3454,3.72,3359.0,0.22
3455,6.61,3157.0,0.18
3456,6.61,3157.0,0.18
3457,6.61,3157.0,0.18
3458,11.23,5046.0,0.76
3459,11.23,5046.0,0.76
3460,11.23,5046.0,0.76
3461,11.23,5046.0,0.76
3462,11.23,5046.0,0.76
3463,3.2,4723.0,0.74
3464,2.9,4402.0,0.61
3465,1.9,4340.0,0.57
3466,1.3,4134.0,0.57
3467,5.8,5800.0,1.12
3468,7.2,5431.0,0.88
3469,4.4,3748.0,0.54
3470,2.9,4551.0,0.71
3471,4.07,4685.0,0.75
3472,3.0,4651.0,0.73
3473,2.25,6161.0,1.54
3474,4.0,5977.0,1.2
3475,2.67,6360.0,1.46
3476,4.2,4995.0,1.32
3477,4.2,4995.0,1.32
3478,4.34,6004.0,1.07
3479,4.34,6004.0,1.07
3480,4.34,6004.0,1.07
3481,5.13,5884.0,1.17
3482,2.84,5884.0,1.17
3483,0.69,6041.0,1.32
3484,5.0,5150.0,0.87
3485,7.0,5800.0,0.96
3486,6.0,5725.0,0.91
3487,5.0,5170.0,0.93
3488,4.9,5460.0,1.01
3489,4.9,5460.0,1.01
3490,11.0,5560.0,0.85
3491,3.4,5972.0,1.15
3492,4.0,5308.0,0.79
3493,4.5,3068.0,0.13
3494,4.5,3068.0,0.13
3495,4.5,3068.0,0.13
3496,1.29,6430.0,1.39
3497,1.29,6430.0,1.39
3498,2.1,5822.0,0.96
3499,7.0,5820.0,0.98
3500,4.9,5177.0,0.9
3501,4.9,5177.0,0.9
3502,4.9,5758.0,1.0
3503,4.9,5758.0,1.0
3504,4.9,4362.0,0.67
3505,4.9,4362.0,0.67
3506,5.5,5536.0,0.89
3507,5.5,5536.0,0.89
3509,5.37,5750.0,1.17
3510,0.212,4832.69,0.87
3511,0.212,4987.0,0.87
3512,0.212,4906.0,0.87
3513,0.212,4974.0,0.87
3514,2.76,6273.0,1.21
3515,4.4,5750.0,1.15
3516,6.8,5460.0,0.92
3517,6.68,6104.0,1.08
3518,7.47,5476.0,1.0
3519,7.47,5476.0,1.0
3520,5.84,5538.0,1.07
3521,5.84,5538.0,1.07
3522,4.68,5818.0,0.91
3523,4.68,5818.0,0.91
3524,0.4,5654.0,0.93
3525,0.4,5654.0,0.93
3526,3.09,6209.0,1.25
3527,3.09,6090.0,1.25
3528,3.09,6090.0,1.25
3529,1.4,6090.0,1.15
3530,1.4,6090.0,1.15
3531,1.4,6090.0,1.15
3532,1.4,6090.0,1.15
3533,3.39,6184.0,1.17
3534,3.55,6117.0,1.17
3535,3.55,6117.0,1.17
3536,3.63,5886.0,1.08
3537,3.63,5886.0,1.08
3538,2.8,6510.0,1.48
3539,4.5,5857.0,1.22
3540,3.98,5502.0,0.9
3541,3.98,5502.0,0.9
3542,3.98,5502.0,0.9
3543,2.34,4557.0,0.72
3544,2.34,4493.0,0.65
3545,2.34,4493.0,0.65
3546,5.25,5307.0,0.84
3547,5.25,5307.0,0.84
3548,4.37,5565.0,0.85
3549,4.37,5565.0,0.85
3550,1.6,4262.0,0.62
3551,1.6,4262.0,0.62
3552,0.25,6398.0,1.14
3553,0.25,6402.0,1.13
3554,0.25,6402.0,1.13
3555,2.15,6189.0,1.21
3556,2.15,6189.0,1.21
3557,4.37,5938.0,1.07
3558,2.97,5938.0,1.07
3559,9.33,4940.0,1.03
3560,5.7,4940.0,1.03
3561,3.24,5166.0,0.86
3562,3.24,5166.0,0.86
3563,2.1,6350.0,1.29
3564,4.68,5376.0,0.81
3565,4.68,5376.0,0.81
3566,13.9,4498.0,0.64
3567,13.9,4498.0,0.64
3568,1.01,5774.0,0.82
3569,1.01,5774.0,0.82
3570,9.9,5178.0,0.82
3571,4.68,5178.0,0.82
3572,3.31,5829.0,1.05
3573,3.31,6326.0,1.12
3574,3.31,6326.0,1.12
3575,1.5,5577.0,0.97
3576,1.5,5577.0,0.97
3577,13.9,4710.0,0.67
3578,13.9,4710.0,0.67
3579,11.3,5600.0,0.88
3580,11.3,5600.0,0.88
3581,2.57,6197.0,1.2
3582,2.57,6152.0,1.2
3583,2.57,6152.0,1.2
3584,4.43,6045.0,1.08
3585,4.43,6045.0,1.08
3586,10.0,5623.0,0.94
3587,2.24,6054.0,1.15
3588,3.47,6054.0,1.15
3589,3.24,4661.0,0.78
3590,3.24,4661.0,0.78
3591,0.3,5949.0,1.07
3592,0.3,5949.0,1.07
3593,1.91,5900.0,1.06
3594,1.91,5900.0,1.06
3595,0.4,5826.0,0.92
3596,0.4,5826.0,0.92
3597,1.5,5977.0,1.04
3598,1.5,5977.0,1.04
3599,1.5,5977.0,1.04
3600,0.5,5787.0,0.93
3601,0.5,5787.0,0.93
3602,3.09,6509.0,1.15
3603,2.349,6509.0,1.2
3604,3.09,6509.0,1.15
3605,5.5,5666.0,0.93
3606,0.3,5666.0,0.93
3607,0.4,5852.0,0.98
3608,0.4,5852.0,0.98
3609,10.0,5288.0,0.8
3610,5.66,5417.0,0.8
3611,5.66,5417.0,0.8
3612,10.0,5417.0,0.87
3613,4.17,3591.0,0.5
3614,4.17,3591.0,0.5
3615,10.47,5502.0,0.97
3616,10.47,5502.0,0.97
3617,2.29,4710.0,0.68
3618,2.29,4710.0,0.68
3619,0.3,6209.0,1.06
3620,0.3,6209.0,1.06
3621,4.27,6012.0,1.02
3622,4.0,6012.0,1.02
3623,0.63,6108.0,1.19
3624,0.63,6108.0,1.19
3625,5.25,5593.0,1.1
3626,5.25,5593.0,1.1
3627,5.25,5593.0,1.1
3628,0.4,5788.0,1.02
3629,4.27,5788.0,1.02
3630,2.95,6169.0,1.17
3631,3.16,6169.0,1.17
3632,3.4,6053.0,0.95
3633,3.4,6053.0,0.95
3634,4.79,5979.0,1.03
3635,4.79,5979.0,1.03
3636,3.02,6248.0,1.14
3637,3.02,6248.0,1.14
3638,3.02,6248.0,1.14
3639,0.4,5908.0,0.94
3640,0.4,5908.0,0.94
3641,13.8,5036.0,0.79
3642,13.8,5036.0,0.79
3643,13.8,5036.0,0.79
3644,2.54,6133.0,1.17
3645,2.54,6133.0,1.17
3646,3.72,6184.0,0.99
3647,3.72,6184.0,0.99
3648,13.8,4648.0,0.65
3649,5.25,4648.0,0.73
3650,13.8,4648.0,0.65
3651,3.39,3903.0,0.55
3652,3.39,3903.0,0.55
3653,3.47,5208.0,0.8
3654,3.47,5212.0,0.83
3655,3.47,5212.0,0.83
3656,4.9,5225.0,0.81
3657,2.9,5643.0,0.81
3658,2.9,5643.0,0.81
3659,4.0,6492.3,1.0
3660,4.0,6492.3,1.0
3661,4.0,6186.0,1.19
3663,3.09,5956.0,1.02
3664,3.09,5956.0,1.02
3665,2.29,6177.0,1.27
3666,2.29,6177.0,1.27
3667,3.89,6088.0,1.05
3668,0.3,6088.0,1.05
3669,1.7,6033.0,0.95
3670,1.7,6033.0,0.95
3671,2.75,4504.0,0.61
3672,2.75,4504.0,0.61
3673,6.6,5774.0,0.93
3674,6.6,5774.0,0.93
3675,6.03,5807.0,1.08
3676,2.9,5807.0,1.08
3677,2.04,6366.0,1.26
3678,2.04,6175.0,1.26
3679,2.04,6175.0,1.26
3680,2.04,6175.0,1.26
3681,3.6,6012.0,1.0
3682,3.6,6012.0,1.0
3683,3.6,6012.0,1.0
3684,3.6,6012.0,1.0
3685,1.29,6620.0,1.65
3686,1.29,6620.0,1.65
3688,4.37,5631.0,0.93
3689,4.37,5631.0,0.93
3690,4.37,5631.0,0.93
3691,4.79,5999.0,1.14
