,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_surface_gravity
359,6330.0,1.85,2.77,4.25
360,6078.0,1.53,1.03,4.08
361,5678.0,1.1,1.01,4.36
362,6570.0,1.62,1.79,4.22
363,6212.0,2.2,1.44,3.91
364,5587.0,0.94,1.0,4.5
365,5629.0,1.17,1.02,4.31
366,5400.0,0.97,0.93,4.43
367,6457.0,1.74,1.3,4.07
368,5835.0,1.86,1.21,3.98
369,6002.0,1.88,1.26,3.99
370,6406.0,2.55,1.64,3.85
371,4508.0,0.67,0.68,4.62
372,7394.0,1.93,1.65,4.11
373,6389.0,2.0,1.56,4.07
374,8450.0,1.86,1.89,4.18
375,6200.0,1.57,1.27,4.15
376,6350.0,1.34,1.28,4.29
377,5870.0,1.04,0.99,4.4
378,5880.0,1.1,1.1,4.39
379,6563.0,1.54,1.33,4.19
380,6357.0,1.17,1.16,4.36
381,5523.0,0.89,0.96,4.52
382,5346.0,0.93,0.97,4.48
383,5311.0,0.92,0.87,4.45
384,5738.0,1.24,0.97,4.24
385,5846.0,1.09,1.13,4.42
386,5600.0,1.02,1.04,4.44
387,5227.0,0.9,0.88,4.48
388,4803.0,0.69,0.76,4.64
389,5780.0,1.2,1.12,4.33
390,6125.0,1.12,1.07,4.37
391,5715.0,1.11,0.99,4.35
392,6071.0,2.04,1.3,3.94
393,6438.0,1.74,1.42,4.11
394,5498.0,0.92,0.93,4.48
395,5670.0,1.07,1.03,4.39
396,6351.0,1.4,1.21,4.22
397,5943.0,1.06,1.09,4.42
398,6050.0,1.87,1.27,4.0
399,5700.0,1.1,1.1,4.4
400,5659.0,1.02,1.06,4.45
401,5380.0,0.98,0.96,4.44
402,6300.0,1.43,1.32,4.24
403,5950.0,1.1,1.1,4.4
404,5326.0,0.88,0.84,4.48
405,5732.0,1.1,0.89,4.3
406,6572.0,1.62,1.38,4.16
407,5403.0,0.93,1.0,4.51
408,6460.0,2.26,1.56,3.92
409,6424.0,1.71,1.5,4.14
410,6060.0,1.48,1.27,4.2
411,5099.0,0.81,0.84,4.54
412,5080.0,0.85,0.86,4.51
413,6450.0,1.32,1.27,4.31
414,5495.0,0.85,0.92,4.54
415,4512.0,0.66,0.67,4.63
416,4546.0,0.72,0.73,4.59
417,4405.0,0.7,0.71,4.6
418,5304.0,0.87,0.94,4.53
419,5990.0,1.12,1.17,4.41
420,5758.0,1.44,1.19,4.2
421,6010.0,1.05,1.11,4.45
422,5644.0,1.1,0.96,4.34
423,5621.0,1.23,1.05,4.2
424,6214.0,1.13,1.2,4.41
425,6536.0,2.2,1.57,3.95
426,5587.0,0.96,1.03,4.48
427,7175.0,1.43,1.46,4.29
428,5670.0,1.04,1.04,4.42
429,5670.0,1.04,1.04,4.42
430,3724.0,0.57,0.57,4.68
431,5688.0,1.46,1.1,4.15
432,5542.0,1.66,1.08,4.03
433,5416.0,0.93,0.9,4.45
434,5627.0,1.07,0.93,4.35
435,6554.0,2.11,1.56,3.98
436,6277.0,1.31,1.26,4.3
437,6626.0,1.84,1.41,4.06
438,6594.0,1.44,1.44,4.28
439,6147.0,1.75,1.35,4.08
440,5137.0,0.88,0.89,4.5
441,4985.0,0.82,0.85,4.54
