,insolation_flux_earth,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius]
3094,684.76,1221.0,3.16789194,0.0426,0.96
3095,336.67,1160.0,2.23749275,0.0325,0.76
3096,15.01,453.0,41.40831347,0.2162,0.84
3097,0.73,265.0,56.0560538,0.232,0.51
3098,514.12,1121.0,3.76182115,0.047,0.96
3099,373.11,1038.0,4.58352176,0.0535,1.27
3100,88.91,713.0,10.52629406,0.088,0.86
3101,75.62,777.0,10.35533177,0.0895,0.84
3102,12.07,452.0,80.8720639,0.3577,0.96
3103,1375.11,1630.0,4.8854892,0.06067,1.97
3104,172.56,727.0,16.32976218,0.1255,0.91
3105,472.24,1151.0,3.70987065,0.0471,0.88
3106,607.52,1234.0,4.19042557,0.0535,1.08
3107,499.06,1021.0,3.04033042,0.0374,0.8
3108,206.44,914.0,6.36584161,0.0659,0.95
3109,31.64,600.0,15.37563332,0.1121,0.72
3110,28.5,639.0,21.81293494,0.1495,0.86
3111,12.99,460.0,8.114379,0.0649,0.5
3112,225.7,964.0,7.74809437,0.081,1.16
3113,2.69,299.0,242.4613,0.64,0.93
3114,123.52,779.0,13.722341,0.094,0.93
3115,35.34,536.0,22.36656079,0.1449,0.88
3116,458.91,1005.0,3.89593684,0.046,0.96
3117,15.65,518.0,20.50586978,0.1326,0.73
3118,2132.9,1539.0,1.59474546,0.0258,0.92
3119,1137.12,1579.0,1.6255222,0.0265,1.16
3120,102.87,812.0,6.77030201,0.064,0.86
3121,702.28,1332.0,2.53918318,0.0355,0.95
3122,306.1,753.0,12.61190667,0.1058,0.89
3123,14.15,489.0,26.39435646,0.1635,0.76
3124,706.62,1147.0,3.68992629,0.0469,1.11
3126,204.48,941.0,9.6051,0.09059,1.26
3127,439.92,1280.0,5.3988,0.0617,1.26
3128,56.0,677.0,12.39358604,0.0983,0.84
3129,113.64,833.0,7.27503724,0.0732,0.91
3130,683.27,1015.0,6.57531678,0.067,0.99
3131,8.24,396.0,11.59822172,0.0798,0.49
3132,308.55,1070.0,2.33743801,0.0325,0.75
3133,146.51,822.0,2.24338185,0.028,0.57
3134,253.46,1023.0,3.72873109,0.0455,0.84
3135,16.36,529.0,38.3774623,0.2163,0.92
3136,331.44,1012.0,4.28095859,0.0503,0.95
3137,528.22,1219.0,2.81650485,0.0383,0.99
3138,34.2,602.0,15.7259,0.1171,0.78
3139,826.76,1243.0,4.12554687,0.0529,1.2
3140,77.62,790.0,8.35390639,0.0768,0.82
3141,71.82,516.0,41.43962808,0.2288,0.87
3142,575.64,1133.0,4.49876092,0.0542,1.05
3143,20.72,593.0,16.01310205,0.1148,0.74
3144,652.43,1406.0,2.52559332,0.0374,1.02
3145,167.98,917.0,4.99678284,0.0559,0.82
3146,23.82,530.0,21.67697486,0.1408,0.74
3147,45.53,678.0,6.02930132,0.0585,0.67
3148,44.09,649.0,9.27358194,0.0759,0.71
3149,62.84,699.0,17.815815,0.1352,0.97
3150,21.31,513.0,17.671796,0.1204,0.74
3151,223.75,871.0,1.28707676,0.0188,0.6
3152,34.07,616.0,24.54350418,0.1654,1.01
3153,924.37,1569.0,1.26025909,0.0232,0.82
3154,28.77,588.0,46.4063358,0.2559,1.24
3155,229.31,831.0,13.72465129,0.1116,1.11
3156,3743.28,2078.0,0.90037648,0.0186,1.19
3157,90.38,819.0,14.70748976,0.1197,1.19
3158,211.88,974.0,4.18200253,0.0503,0.88
3159,27.22,574.0,21.38521506,0.1409,0.87
3160,1218.88,1507.0,3.03214559,0.0421,1.35
3162,394.55,1117.0,8.13123,0.084,1.41
3163,609.99,1246.0,5.859944,0.068,1.41
3164,2316.1,1740.0,2.15491,0.035,1.41
3165,25.15,564.0,29.90722674,0.1805,0.94
3166,47.34,674.0,17.4211749,0.1341,0.98
3167,37.22,644.0,29.6663,0.1827,1.55
3168,162.79,788.0,16.2254649,0.1222,1.07
3169,38.23,632.0,15.87364565,0.1149,0.91
3170,1364.76,1730.0,3.27582262,0.049,1.21
3171,2381.77,1655.0,3.1739171,0.0466,1.81
3172,211.71,963.0,16.33889626,0.126,2.52
3173,719.37,1810.0,4.41745855,0.0589,1.66
3174,311.79,926.0,9.48961571,0.0879,1.13
3175,35.06,609.0,22.24813967,0.1566,0.94
3176,295.83,957.0,10.21420496,0.0966,1.29
