,insolation_flux_earth,equilibrium_temperature_[k],orbital_period_[days],orbit_semi-major_axis_[au]),stellar_radius_[solar_radius]
405,464.7,1294.0,4.375021,0.05036,1.1
406,1547.1,1645.0,4.5776348,0.06007,1.62
407,558.83,1315.0,2.516729,0.0362,0.93
408,3163.38,2101.0,3.2642736,0.04997,2.26
409,1300.31,1710.0,4.193649,0.0583,1.71
410,1637.21,1856.0,2.292102,0.03689,1.48
411,192.23,1003.0,4.3888497,0.04944,0.81
412,306.42,1161.0,2.7439004,0.03649,0.85
413,811.35,1518.0,4.1876244,0.05511,1.32
414,209.77,1054.0,4.7423729,0.05367,0.85
415,87.73,853.0,3.9228038,0.04269,0.66
416,137.6,955.0,3.1316666,0.03769,0.72
417,80.45,835.0,4.1480467,0.04515,0.7
418,183.24,1025.0,4.763387,0.0542,0.87
420,740.22,1553.0,3.3488702,0.04639,1.44
421,1310.22,1834.0,1.36665436,0.02498,1.05
422,471.61,1312.0,3.8537768,0.04753,1.1
423,476.97,1429.0,2.5441765,0.037,1.23
424,355.91,1367.0,4.2042001,0.05412,1.13
425,1080.87,1902.0,4.324799,0.06043,2.2
426,570.23,1413.0,2.350621,0.03493,0.96
427,382.71,1721.0,4.2180896,0.05798,1.43
428,269.0,1128.0,5.416081,0.06112,1.04
429,0.16,176.0,1422.0,2.504,1.04
430,47.33,713.0,3.3252725,0.03623,0.57
431,903.9,1528.0,3.560829,0.04708,1.46
432,374.2,1226.0,7.817953,0.07908,1.66
433,387.4,1237.0,3.2768837,0.04163,0.93
434,634.1,1398.0,3.0566527,0.04026,1.07
435,1711.0,1793.0,4.908897,0.06562,2.11
436,1178.0,1634.0,3.105161,0.04497,1.31
437,2637.0,1998.0,3.1414391,0.04714,1.84
438,3821.0,2193.0,1.6091788,0.03032,1.44
439,1521.0,1741.0,3.5862202,0.05071,1.75
440,466.6,1296.0,2.2252577,0.03211,0.88
441,211.62,1084.0,3.185315,0.04012,0.82
442,9110.0,2730.0,1.8882378,0.03632,1.88
443,18.08,587.0,3.7955202,0.03745,0.48
444,49.58,739.0,7.3279474,0.066517,0.72
445,106.9,895.0,1.73185606,0.02384,0.58
446,59.26,772.0,2.7886556,0.032742,0.58
447,129.8,940.0,1.9416423,0.02658,0.63
448,78.37,828.0,3.0876262,0.03607,0.64
482,240.0,1153.0,9.55237,0.0907,1.3
483,83.0,886.0,21.05704,0.1536,1.3
491,312.18,1099.0,3.795963,0.04527,0.88
492,162.17,932.0,6.203449,0.062,0.88
493,53.88,708.0,14.175685,0.1074,0.88
494,35.0,636.0,19.590025,0.1367,0.88
503,0.71,259.0,520.1,1.259,1.09
506,72.03,811.0,9.188526,288.6525,1.0
507,77.48,757.0,13.900148,288.6525,1.0
510,198.39,957.0,10.18271,0.113,1.19
511,735.49,1371.0,2.541,0.035,0.97
512,199.9,990.0,6.744,0.068,0.97
538,0.06,145.0,3700.0,5.0,1.21
544,861.55,1509.0,6.1335,0.07,2.06
586,111.6,905.0,11.57797,0.0964,1.06
587,35.1,677.0,27.59221,0.1721,1.06
588,5.74,431.0,107.245,0.425,1.06
601,356.0,1228.0,11.53533,0.1097,2.34
637,1530.04,1626.0,2.87589,0.04364,1.41
647,255.7,313.1535065361207,11.6264,0.1053,1.43
648,371.27,1120.0,24.38,288.6525,1.43
649,161.73,1001.0,4.75615,0.0522,0.86
650,29.18,642.0,17.1784,0.1268,0.86
675,794.22,1478.0,2.178,288.6525,1.21
701,0.16,159.0,1207.0,2.16,0.95
702,6.29,400.0,75.74,0.341,0.95
723,17.44,883.0,21.21663,0.16278,1.55
730,83.5,326.1236803647813,6.4898,0.06296,0.78
731,23.5,311.18088559308376,16.8191,0.11878,0.78
753,58.1,769.0,17.471278,0.1334,0.99
758,145.0,863.0,4.1374354,0.048,0.77
767,356.0,1209.0,2.21857567,0.03126,0.75
775,100.0,880.0,8.8803256,0.0804,0.94
776,21.0,600.0,28.579743,0.1752,0.94
777,14.3,540.0,38.353037,0.2132,0.94
778,3.9,390.0,101.12,0.407,0.94
780,0.99,278.0,284.0,0.812,0.94
801,3440.0,2132.0,3.308958,0.05208,2.59
803,3474.0,2141.0,0.926118,0.018,1.13
825,26.5,632.0,16.202159,0.1163,0.78
834,758.36,1459.0,3.52474859,0.04707,1.19
838,3.44,380.0,223.8,0.768,1.21
846,3253.81,2128.0,1.008035,0.02012,1.1
866,42.63,701.0,7.78993,0.0695,0.7
873,176.2,1015.0,3.092926,0.03876,0.78
874,62.1,782.0,6.76458,0.0653,0.78
875,4.72,410.0,46.859,0.237,0.78
876,12.38,523.0,22.717,0.1463,0.78
881,224.02,1073.0,6.03607,0.06356,1.03
890,91.65,789.0,14.2767,0.1228,2.94
898,26.0,573.0,5.09071,0.051,0.67
906,16.0,543.0,17.667087,0.1162,0.71
907,7.96,467.0,29.79749,0.1646,0.71
908,117.0,909.0,3.97664,0.04298,0.71
909,46.7,723.0,7.90754,0.068,0.71
910,26.3,630.0,12.1621839,0.0906,0.71
912,8.1,470.0,13.671,0.0932,0.57
925,42.2,709.0,2.76953,0.02933,0.44
926,16.1,557.0,5.70588,0.04749,0.44
929,1451.24,2061.0,4.12688,0.0568,1.56
936,0.76,261.0,654.5,1.552,1.27
937,98.75,881.0,22.89104,0.1357,1.45
938,29.95,585.0,56.00819,0.308,1.45
939,17.37,506.0,84.25999,0.411,1.45
961,1625.0,1777.0,0.95965428,0.01802,0.87
962,16.6,565.0,29.8464948,0.1783,0.87
963,88.9,860.0,8.4783,0.07703,0.87
972,98.09,876.0,18.71204,0.1436,1.28
1015,3.16,337.0,149.61,0.554,1.0
1047,132.0,943.0,14.339156,0.1202,1.19
1055,273.43,1133.0,29.04992,0.229,1.75
1066,145.57,886.0,7.10793,0.0719,0.91
1067,35.36,622.0,20.5453,0.1458,0.91
1070,115.6,911.0,9.058811,288.6525,0.96
1071,36.7,684.0,21.4023,288.6525,0.96
1102,43.3,714.0,6.398042,0.0604,0.65
1103,10.2,498.0,18.87974,0.1242,0.65
1115,113.7,826.0,5.39792,0.06,0.78
1116,28.35,584.0,15.299,0.1134,0.78
1117,15.17,499.0,24.451,0.1551,0.78
1120,6635.86,2302.0,0.719573,0.0166,1.22
1132,9.85,448.0,102.54,0.4123,1.36
1133,34.7,614.0,39.8458,0.2196,1.36
1136,309.0,1170.0,6.26790772,0.068647,1.19
1165,2.7,357.0,4.65626,0.02851,0.16
1166,4.72,410.0,3.05989,0.02156,0.16
1167,8.21,471.0,2.02087,0.01634,0.16
1169,1540.0,1743.0,2.8641424,0.04421,1.48
1170,625.25,1577.0,3.7650007,0.0815,1.93
1171,397.48,1230.0,4.1877558,0.0515,1.13
1172,1041.48,1630.0,4.12508,0.05524,1.45
1173,1033.99,1729.0,3.19154,0.0476,1.54
1176,1566.65,1328.0,2.61586178,0.0368,0.99
1177,321.85,1210.0,3.94153,0.0488,0.88
1178,69.6,790.0,6.00127,0.05706,0.69
1179,0.65,250.0,15.564,0.0672,0.18
1180,0.06,301.7641187945838,217.21,0.47,0.31
1181,1.3,301.7641187945838,17.8719,0.089,0.31
1182,7.34,319.6728033839903,4.8869,0.0375,0.31
1183,282.26,2470.0,1.7522239,0.0234,0.66
1184,113.59,2198.0,2.663416,0.0282,0.61
1185,2544.69,2000.0,1.0187068,0.01855,0.75
1188,0.18,163.0,1.4079405,0.0204,0.01
1190,828.83,1480.0,5.75251,0.0717,1.64
1191,269.88,1171.0,2.96264036,0.03762,0.74
1192,1176.48,1555.0,2.07276,0.03303,1.08
1193,546.49,1285.0,3.4252602,0.0453,1.05
1194,1362.14,1570.0,2.18467,0.03416,1.23
1196,1364.09,1604.0,3.95019,0.055,1.48
1197,2531.13,1942.0,2.7325321,0.04211,1.52
1198,1054.95,1871.0,2.1746742,0.0348,1.34
1199,332.56,1160.0,2.798581,0.037,0.86
1200,1704.49,1840.0,3.916243,0.0562,1.98
1202,1489.55,1772.0,4.954,0.06431,1.8
1203,4170.1,2050.0,1.682795,0.02946,1.63
1204,640.33,1452.0,2.6556777,0.039,0.94
1205,76.19,797.0,8.5234865,0.0771,0.75
1206,238.88,1120.0,4.971252,0.059,1.05
1207,3557.29,2190.0,2.70579,0.0447,2.1
1208,1034.09,1623.0,2.7164762,0.03908,1.28
1209,72.44,825.0,3.06785234,0.0344,0.59
1211,138.82,875.0,8.15872,0.0801,1.03
1212,1645.99,1716.0,3.66238,0.0519,1.6
1213,4812.62,2470.0,2.17518,0.03488,2.46
1214,1440.0,1715.0,1.36002854,0.02335,0.91
1215,5139.03,2160.0,1.809886,0.033,1.73
1216,1657.0,1710.0,2.484193,0.0375,1.26
1218,2242.36,1790.0,4.08722,0.05512,2.55
1219,2007.96,2210.0,2.21673,0.03711,2.18
1220,3384.61,2049.0,2.90367,0.04622,1.82
1222,902.2,1487.0,4.9546416,0.0617,1.43
1223,180.56,963.0,3.86814,0.04525,0.86
1226,1434.77,1570.0,4.08605,0.0546,1.76
1227,796.89,1480.0,2.3114243,0.0334,1.01
1228,1563.64,1689.0,1.5732918,0.02648,1.06
1229,1103.27,1470.0,4.37808,0.0574,1.86
1230,999.83,1475.0,4.41195,0.0571,1.23
1231,1062.03,1624.0,3.8559,0.0521,1.55
1232,925.49,1479.0,4.305,0.05548,1.17
1233,273.03,1184.0,3.36101,0.04217,0.73
1234,38.03,670.0,7.919585,0.0697,0.61
1235,404.71,1270.0,5.01718,0.0562,1.22
1236,702.39,1338.0,2.83891856,0.03769,0.93
1237,447.82,1216.0,4.6171,0.05614,0.96
1238,471.6,1300.0,4.46563,0.0558,1.09
1239,1639.11,1759.0,3.69364,0.04988,1.76
1241,241.67,1053.0,3.3098443,0.04101,0.8
1243,690.34,1395.0,1.9551,0.0293,0.84
1244,1559.48,1706.0,1.6284279,0.0267,1.03
1245,615.47,1400.0,2.78174,0.0379,0.97
1246,3410.26,2035.0,2.14363,0.03444,1.58
1247,4895.0,451.27148159647663,0.7895933,0.01673,1.14
1248,190.0,312.93778060523533,9.03055,0.085,1.14
1250,534.0,1275.0,4.1591492,0.052,1.14
1251,1281.24,1636.0,1.43036763,0.02335,0.86
1252,294.0,1153.0,3.126089,0.03963,0.86
1253,533.0,1337.0,2.423804,0.03453,0.91
1254,680.89,1427.0,0.813475,0.0142,0.6
1255,137.12,1021.0,4.9816819,0.0561,0.89
1257,344.15,1244.0,3.0524,0.04022,0.83
1258,1188.62,1673.0,1.33823147,0.0226,0.89
1259,316.31,1166.0,4.055259,0.0486,0.9
1261,545.33,1232.0,3.577469,0.0446,1.0
1262,1422.61,1733.0,1.53736596,0.02677,0.99
1263,758.1,1338.0,3.16158,0.04317,1.08
1264,425.71,1250.0,4.31768,0.0524,0.91
1265,9392.05,2782.0,1.21987,0.0239,1.44
1266,616.33,1388.0,2.71866,0.0394,0.95
1267,485.22,1307.0,3.4059096,0.04659,1.25
1268,2664.87,2020.0,1.84683,0.0315,1.44
1269,121.77,970.0,3.92273,0.0457,0.79
1270,724.65,1456.0,3.40883495,0.0442,1.08
1271,1225.53,1650.0,2.7566,0.04,1.22
1272,357.01,1210.0,3.76483,0.0473,0.8
1273,934.47,1772.0,2.34121,0.03651,1.42
1274,317.43,1077.0,2.9444256,0.0376,0.77
1275,837.7,1502.0,3.53269,0.047,1.24
1276,705.04,1340.0,4.322482,0.052,1.06
1277,410.16,1379.0,4.8996284,0.06,1.39
1278,492.0,1311.0,2.152175,0.03144,0.87
1279,471.14,1620.0,2.8786765,0.0408,1.32
1280,747.13,1500.0,5.367753,0.0663,1.6
1281,3320.0,2113.0,0.78883852,0.01652,1.01
1283,1594.76,1760.0,5.147878,0.0653,2.83
1284,853.15,1378.0,5.026799,0.06,1.47
1286,669.02,1480.0,5.1817,0.0627,1.65
1287,268.72,1111.0,4.1117771,0.04632,0.87
1288,756.26,1479.0,3.3769848,0.0451,1.34
1289,382.45,1186.0,4.5195064,0.05427,0.97
1290,918.36,1540.0,3.409264,0.048,1.19
1292,5805.0,2429.0,0.94145223,0.02024,1.32
1293,5550.0,2470.0,3.3448285,0.0558,1.67
1294,279.76,1142.0,3.071722,0.03957,0.89
1295,1703.24,1721.0,3.899052,0.0535,1.93
1296,649.43,1571.0,3.0652907,0.04403,1.2
1297,901.9,1528.0,4.2337005,0.05503,1.35
1298,1920.0,1880.0,1.38665318,0.0248,1.11
1299,1506.5,1740.0,5.477433,0.0694,1.91
1300,1200.24,1642.0,3.8186244,0.0504,1.64
1301,680.0,1422.0,2.34478022,0.0337,0.94
1302,1292.19,1755.0,3.73543,0.0515,1.49
1303,1486.86,1604.0,5.6114118,0.0681,2.01
1304,278.89,1340.0,4.153658,0.0519,1.12
1305,6416.64,2329.0,2.0219596,0.0365,1.79
1306,440.0,1270.0,5.44354,0.0641,1.22
1307,545.16,1624.0,3.465509,0.04823,1.75
1308,1043.21,1610.0,1.7771255,0.02818,0.93
1309,1200.0,1638.0,1.6096884,0.0266,1.01
1310,121.92,910.0,9.62468,0.0871,1.11
1311,990.0,1557.0,5.4060425,0.0673,1.71
1312,210.58,1119.0,3.7684952,0.0452,0.87
1313,481.92,1389.0,3.1186,0.0415,1.14
1314,1599.92,1850.0,3.840401,0.0538,2.11
1315,903.01,1590.0,3.656333,0.0517,1.39
1317,150.0,970.0,3.836169,0.0453,0.76
1318,1400.0,1700.0,3.332609,0.048,1.73
1319,460.0,1312.0,4.5334775,0.055,1.18
1320,220.16,1460.0,5.644207,0.0694,1.65
1321,1237.74,1676.0,3.7521,0.05165,1.48
1323,94.97,940.0,8.803809,0.08215,0.91
1324,591.95,1404.0,4.60273,0.0549,1.43
1325,313.4,1200.0,1.7690381,0.0261,0.68
1326,775.88,1260.0,2.2783152,0.0316,0.81
1327,3140.92,2000.0,2.052868,0.0347,1.64
1328,1061.55,1540.0,3.310651,0.0469,1.37
1329,491.33,1320.0,2.2359835,0.0323,0.87
1330,1356.33,1872.0,2.24375,0.037,1.4
1331,120.71,910.0,5.924262,0.062,0.8
1332,1133.73,1590.0,3.634433,0.0494,1.36
1333,1843.47,1742.0,5.215357,0.0661,2.21
1334,357.18,1211.0,1.4013794,0.0243,0.96
1336,871.73,1386.0,1.011534,0.0182,0.75
1337,50.84,763.0,7.133514,0.067,0.75
1338,748.21,1460.0,5.322023,0.0607,1.53
1339,99.63,833.0,11.55098,0.1012,0.96
1340,617.31,1531.0,4.35301,0.05362,1.37
1341,345.72,1100.0,5.748145,0.0628,0.9
1342,679.79,1400.0,4.17806203,0.0484,1.33
1344,759.34,1480.0,3.28883,0.0449,1.27
1345,615.17,1400.0,3.37265,0.0449,1.02
1346,865.49,1520.0,2.9776412,0.04263,1.29
1347,5431.24,2720.0,1.27492504,0.02596,1.46
1348,1818.55,1880.0,3.6112706,0.0514,1.87
1349,5597.87,2593.0,1.09142,0.0232,1.66
1350,907.86,1600.0,2.49979,0.0363,1.2
1351,1687.71,1729.0,4.0460435,0.05453,1.7
1352,211.79,1001.0,10.02165,0.09459,1.22
1353,2978.2,2043.0,1.5487743,0.02851,1.43
1354,821.41,1496.0,4.54216875,0.05885,1.61
1356,184.98,992.0,3.72247,0.0435,0.89
1358,37.03,736.0,5.7214742,0.055,0.67
1359,315.86,1140.0,9.28971,0.0917,1.31
1360,166.54,900.0,7.87288,0.075,0.9
1361,867.74,1516.0,1.7554137,0.02918,0.96
1363,1089.17,1560.0,3.58572,0.05057,1.31
1364,3854.88,2190.0,2.84938,0.04574,1.57
1365,174.03,1370.0,3.0927616,0.03781,0.7
1366,2121.52,1812.0,2.5199454,0.03889,1.47
1369,10.0,492.0,60.0,0.308,1.34
1370,85.0,845.0,12.4032,0.1083,1.34
1371,146.0,968.0,8.24958,0.0825,1.34
1372,35.0,677.0,24.1396,0.1688,1.34
1380,442.99,1480.0,1.48224686,0.02459,0.87
1381,764.74,1778.0,3.55395,0.05084,1.66
1382,1025.5,1638.0,1.30618581,0.02282,0.83
1383,903.86,1466.0,2.47063,0.03563,1.12
1384,318.46,1140.0,3.03007,0.03925,0.85
1385,0.37,295.390586371805,11.409,0.0443,0.11
1386,1.15,314.2294912500385,4.91,0.0252,0.11
1396,0.14,172.0,18.772866,0.06189,0.12
1397,0.25,197.0,12.352446,0.04683,0.12
1398,0.37,218.0,9.20754,0.03849,0.12
1399,0.65,250.0,6.101013,0.02925,0.12
1400,1.11,286.0,4.049219,0.02227,0.12
1401,2.21,340.0,2.421937,0.0158,0.12
1402,4.15,398.0,1.510826,0.01154,0.12
1403,0.02,96.0,1700.0,2.52,0.67
1404,188.0,941.0,1.8237305,0.02636,0.67
1405,1393.0,1526.0,3.6849729,0.04963,1.89
1407,261.86,1120.0,4.32419,0.04796,1.02
1408,337.0,1192.0,3.739494,0.04666,0.92
1409,571.01,1397.0,10.62656,0.092,1.39
1410,2314.06,1932.0,0.76552414,0.01598,0.92
1411,112.71,907.0,8.3248762,288.6525,1.02
1412,26.71,665.0,8.59545,0.075,0.67
1413,78.84,871.0,3.81673,0.0422,0.67
1414,270.07,1118.0,1.0418777,0.0171,0.6
1415,412.0,1253.0,1.392978,0.02177,0.7
1416,23.1,610.0,83.8911,0.423,1.94
1417,4.9,415.0,15.6653,0.1,0.54
1418,11.5,514.0,8.24661,0.0652,0.54
1419,64.32,800.0,12.2737,0.1011,0.9
1420,183.08,1038.0,5.6057,0.06,0.9
1421,1.6,314.0,84.8396,0.3405,0.67
1422,3.08,370.0,51.69906,0.2447,0.67
1423,22.6,650.0,9.531361,0.07928,0.67
1424,1.27,273.0,27.80978,0.134,0.42
1425,0.85,269.0,37.42396,0.1633,0.42
1426,2.64,356.0,16.051137,0.0929,0.42
1427,4.98,417.0,9.977219,0.0677,0.42
1428,200.55,1252.0,11.2366,0.1038,1.28
1429,38.4,635.0,1.977143,0.025,0.42
1430,1720.77,1749.0,5.0037775,0.06608,2.08
1431,1052.9,1586.0,3.4095675,0.0486,1.34
1432,20.8,604.0,5.0988179,0.04825,0.55
1433,1423.0,1714.0,1.651144,0.02734,1.09
1434,36.03,750.0,16.287,0.1174,0.83
1437,73.35,860.0,10.779,0.08809,0.85
1438,4383.42,2480.0,0.446578,0.01055,0.85
1439,404.92,1180.0,6.9839095,0.0723,1.23
1440,248.86,1061.0,14.574071,0.1291,1.5
1441,9.6,441.0,75.12375,0.332,1.06
1442,240.2,1082.0,1.548351,0.0251,0.66
1443,23.4,611.0,1.2391491,0.01223,0.19
1444,118.41,919.0,10.590923,288.6525,1.05
1445,94.1,867.0,2.3266508,0.0296,0.61
1446,14.26,565.0,6.387597,0.052,0.54
1447,195.93,1042.0,4.872171,288.6525,1.02
1448,53.99,760.0,1.2652328,0.012,0.37
1449,100.91,808.0,12.214286,288.6525,1.09
1450,49.56,906.0,20.33003,0.158,1.4
1454,1138.0,1617.0,0.548177,0.01189,0.68
1455,342.63,1370.0,10.33111,0.097,1.66
1456,783.2,1472.0,4.28088,0.0555,1.41
1457,73.29,815.0,31.034,2148.015,2.5
1458,3.2,318.0,225.11781,0.768,1.15
1459,38.24,722.0,16.364988,0.1208,0.88
1460,82.52,875.0,9.192522,0.0823,0.88
1461,695.19,1491.0,1.858703,0.0283,0.88
1462,92.5,861.0,1.1589,0.0164,0.45
1463,633.0,1395.0,2.8807198,0.04036,1.06
1464,11.18,509.0,10.688716,0.0814,0.6
1465,26.9,634.0,5.5382498,0.05251,0.6
1466,3990.86,2027.0,2.9223,288.6525,2.31
1467,28.36,633.0,12.46103,0.098,0.73
1469,2120.45,1862.0,0.490047,0.0113,0.73
1470,34.32,674.0,16.06819,0.1189,0.87
1471,154.57,981.0,5.19672,0.056,0.87
1472,223.0,1074.0,4.0664428,0.04823,0.86
1473,1013.0,1570.0,3.8016122,0.05222,1.44
1474,186.02,1033.0,9.573096,0.0939,1.16
1475,587.59,1378.0,4.040301,0.0528,1.16
1476,753.9,1458.0,3.1774835,0.04469,1.11
1477,469.0,1295.0,6.607662,0.0743,1.5
1478,872.2,1512.0,3.4936264,0.0463,1.39
1479,7.42,463.0,4.5445697,0.0354,0.3
1480,1186.0,1633.0,3.2443141,0.04611,1.54
1481,1230.0,1646.0,2.8989727,0.0421,1.47
1482,55.4,759.0,3.438753,0.03845,0.62
1483,54.0,750.0,2.154849,0.027,0.51
1484,68.6,801.0,9.088516,0.0813,0.79
1485,924.3,1534.0,3.246075,0.0456,1.3
1486,39.0,690.0,3.936551,0.043,0.6
1487,841.3,1498.0,3.119999,0.04289,1.23
1488,425.0,1264.0,5.8768918,0.0675,1.42
1489,28.49,643.0,18.09547,0.153,1.83
1490,818.5,1488.0,2.0180231,0.03144,0.95
1491,13.89,604.0,2.59261842,0.02709,0.37
1492,1084.0,1596.0,3.9014971,0.0505,1.67
1493,947.8,1544.0,2.3505614,0.03386,1.07
1494,781.8,1471.0,3.5514058,0.0475,1.27
1495,598.0,1376.0,4.039709,0.0493,1.23
1496,2150.0,1893.0,1.96229325,0.03185,1.25
1497,352.0,1205.0,4.8084983,0.0569,1.07
1498,28.24,588.0,3.994,0.0269,0.36
1499,3.92,387.0,11.379573,0.0721,0.38
1500,9.94,488.0,5.6605731,0.04526,0.38
1501,19.93,581.0,3.3601538,0.03197,0.38
1502,19.0,531.0,3.6977104,0.0345,0.4
1503,324.07,1182.0,6.2034,288.6525,4.1
1504,728.0,1445.0,5.45664,0.0635,1.73
1505,750.9,1456.0,4.5207265,0.0571,1.48
1506,699.0,1431.0,2.9887615,0.04145,1.09
1507,186.0,1027.0,18.38818,0.1528,1.87
1508,558.0,1352.0,5.983944,0.0672,1.69
1509,258.82,1023.0,7.994037,288.6525,1.25
1510,21.98,603.0,49.2519,0.249,0.79
1511,15.96,556.0,23.2856,0.1511,0.79
1512,277.75,1041.0,4.93777,0.05741,0.88
1513,204.49,1060.0,0.3711281,0.0064,0.27
1514,62.71,1117.0,1.3060011,0.0202,0.65
1515,923.6,1534.0,4.3474032,0.0543,1.75
1516,651.91,1355.0,0.7826942,0.0144,0.68
1517,6.55,447.0,3.0766896,0.0228,0.2
1518,3.7,388.0,5.436098,0.0341,0.21
1519,237.0,1091.0,4.0197517,0.04871,0.89
1520,1792.6,1812.0,2.99432,288.6525,3.22
1521,1.54,284.0,27.26955,0.1363,0.46
1522,6839.4,2609.0,0.3524728,0.0097,0.94
1523,0.67,256.0,35.189346,0.145,0.31
1524,1356.0,1688.0,3.5315902,0.05009,1.57
1525,406.0,1259.0,8.001968,0.0854,1.56
1527,42.72,652.0,11.9101,0.09564,0.79
1528,16.96,805.0,10.695264,0.08911,0.86
1529,2000.0,1860.0,1.1947268,0.02234,1.04
1530,1600.0,1763.0,2.1225735,0.03319,1.25
1531,1429.0,1491.0,6.90683,288.6525,2.9
1532,2.71,348.0,260.79,0.828,1.64
1533,25.9,628.0,17.16073,0.1293,0.75
1534,10.1,497.0,34.525528,0.2069,0.75
1535,81.5,1188.0,8.60077,0.075,1.41
1536,4.0,395.0,7.851928,0.057,0.34
1537,14429.0,3646.0,0.67247414,0.01791,1.7
1538,8.1,488.0,10.50534,0.0752,0.53
1539,16.5,530.0,35.12537,0.1539,0.77
1540,32.7,630.0,21.01538,0.1093,0.77
1541,84.06,797.0,10.35509,0.0682,0.77
1542,117.76,910.0,0.7363104,0.0112,0.35
1543,29.04,646.0,13.79019,288.6525,0.79
1544,2643.65,1829.0,1.4971842,288.6525,1.21
1545,130.34,1167.0,8.872078,0.092,1.56
1546,8.08,759.0,52.97818,0.3,1.32
1547,3230.0,2097.0,0.94667944,0.01932,1.08
1548,2.9,362.0,29.02,0.1587,0.61
1549,1901.78,1885.0,1.0662107,0.0204,0.94
1550,354.64,1208.0,9.5739,0.1001,2.02
1551,292.25,1375.0,4.860674,0.061,1.51
1552,1407.22,2100.0,0.549372,0.00812,0.68
1553,2300.0,1927.0,3.208664,0.04882,2.17
1554,19.5,470.0,20.7095,0.1275,0.65
1556,21.82,600.0,9.961881,0.0783,0.65
1557,38.1,690.0,6.5577,0.0592,0.65
1558,97.62,873.0,3.23845,0.037,0.65
1560,6.39,443.0,18.85019,0.1177,0.6
1561,14.21,533.0,9.0497,0.0707,0.55
1562,28.55,673.0,4.4929,0.0443,0.55
1564,57.78,767.0,3.49151,0.0391,0.62
1565,299.0,1198.0,9.47725,0.0914,1.78
1566,68.02,800.0,24.283429,0.16,0.97
1567,13.5,489.0,2.500311,0.0229,0.28
1568,39.0,698.0,3.1342791,0.033548,0.52
1570,195.29,953.0,3.77015,288.6525,0.82
1571,57.02,764.0,1.7666957,0.0226,0.46
1572,1443.0,1715.0,2.2554477,0.03524,1.29
1573,217.0,1069.0,0.6691403,0.011557,0.49
1574,15.09,684.0,40.74976,0.249,1.32
1575,123.81,1062.0,10.98462,0.103,1.32
1577,121.0,924.0,0.989343,0.01545,0.45
1578,1489.11,1669.0,4.231306,0.058,1.65
1579,1071.42,1619.0,5.331751,0.06864,2.19
1580,1062.0,1588.0,2.0845435,0.03138,1.17
1581,17122.93,2492.0,1.902603,0.0389,1.95
1582,1979.69,1858.0,2.056014,288.6525,1.14
1583,750.92,1404.0,5.857487,0.07037,1.53
1584,87.77,918.0,10.180249,0.0903,1.05
1585,2.15,338.0,15.532482,288.6525,0.34
1586,36.0,682.0,1.8805136,288.6525,0.34
1587,1.8,326.0,11.06201,0.061,0.28
1589,5028.51,2148.0,0.4702694,227.9603571428572,0.91
1590,207.02,1072.0,0.4090677,0.0071,0.31
1591,5300.0,2370.0,2.650237,0.046,1.92
1592,88.46,867.0,12.9972,0.108,1.02
1593,277.81,1136.0,1.4520358,0.023,0.66
1594,0.99,255.0,95.174,0.4607,1.33
1595,1112.85,1679.0,4.720219,0.0626,1.93
1596,860.0,1395.0,2.1097019,0.026,0.9
1597,490.12,1388.0,4.537164,0.059,1.41
1598,810.21,1562.0,3.9443715,0.0497,1.66
1600,603.3,1266.0,2.699835,0.0429,1.01
1601,6.54,408.0,14.47567,0.095,0.57
1603,120.59,961.0,3.31599,0.0412,0.79
1604,90.6,919.0,8.1577094,0.0711,0.92
1605,2.3,344.0,18.80151,0.1058,0.42
1606,4.9,413.0,10.894843,0.0736,0.42
1607,10.32,499.0,16.608164,0.1116,0.67
1608,29.81,651.0,7.493134,0.0657,0.67
1609,95.58,871.0,3.127463,0.0367,0.67
1610,116.75,963.0,3.477978,0.0407,0.71
1611,26.7,638.0,19.98,0.137,0.85
1612,77.59,828.0,9.15059,0.0814,0.85
1613,185.0,1037.0,4.65382,0.05186,0.85
1614,11.0,462.0,37.9216,0.211,0.86
1615,28.0,586.0,18.6559,0.131,0.86
1616,129.0,860.0,5.904144,0.061,0.86
1617,196.0,955.0,4.30744,0.049,0.86
1618,60.3,775.0,3.444717,0.03826,0.62
1619,1.93,330.0,24.245586,0.1288,0.48
1620,3.21,244.0,27.36397,0.0886,0.56
1621,8.8,471.0,5.07803,0.0392,0.33
1622,40.6,703.0,2.4919863,0.0287,0.51
1623,3212.53,2097.0,2.103195,288.6525,1.75
1625,26.43,631.0,26.3162,288.6525,0.97
1626,48.45,673.0,18.7992,288.6525,0.97
1627,626.36,1393.0,12.51937,288.6525,0.97
1628,222.53,1076.0,6.25725,288.6525,0.97
1630,19.93,637.0,8.350381,0.07098,0.69
1631,48.04,810.0,4.066499,0.04394,0.69
1632,532.0,1728.0,4.0782387,0.0561,1.81
1633,509.2,1323.0,0.6047328,0.01159,0.58
1634,26.8,634.0,12.226574,0.09429,0.73
1635,62.9,784.0,6.443868,0.06152,0.73
1636,95.0,859.0,7.972,0.08,0.84
1637,232.0,1077.0,4.11296,0.052,0.84
1638,1215.02,1762.0,3.660028,0.051,1.82
1639,83.39,974.0,15.168865,0.1207,1.09
1648,1.38,301.0,9.8658,0.0496,0.2
1652,210.67,1134.0,1.540731,0.0234,0.7
1653,698.15,1457.0,3.71495,0.0474,1.32
